brand_id,brand,i_manufact_id,i_manufact,ext_price
1002001,importoamalg #1,126,callyableought,388568.13
4004001,edu packedu pack #1,257,ationantiable,341778.35
2004001,edu packimporto #1,331,oughtpripri,339251.22
3003002,exportiexporti #2,161,oughtcallyought,337305.89
3001001,amalgexporti #1,6,cally,336667.80
3002001,importoexporti #1,287,ationeingable,333016.53
1001001,amalgamalg #1,644,eseesecally,332727.87
2002001,importoimporto #1,179,n stationought,328620.28
1004001,edu packamalg #1,222,ableableable,287703.59
3003001,exportiexporti #1,264,esecallyable,285807.22
3003001,exportiexporti #1,209,n stbarable,285288.07
3002002,importoexporti #2,581,oughteinganti,274203.72
5002002,importoscholar #2,503,pribaranti,273173.39
2002001,importoimporto #1,100,barbarought,270020.69
3003002,exportiexporti #2,217,ationoughtable,268998.91
2002001,importoimporto #1,186,callyeingought,260913.29
1003001,exportiamalg #1,162,ablecallyought,250854.53
6007005,brandcorp #5,241,oughteseable,240845.49
6011004,amalgbrand #4,61,oughtcally,234914.57
5001002,amalgscholar #2,411,oughtoughtese,234339.83
1003001,exportiamalg #1,37,ationpri,231938.20
7011007,amalgnameless #7,153,priantiought,231096.74
4001002,amalgedu pack #2,170,barationought,230865.45
3004001,edu packexporti #1,109,n stbarought,228063.48
9007005,brandmaxi #5,118,eingoughtought,224527.54
1001002,amalgamalg #2,179,,223403.60
3001002,amalgexporti #2,354,eseantipri,222094.16
1001001,amalgamalg #1,305,antibarpri,221976.36
3003001,exportiexporti #1,524,eseableanti,220925.82
10010012,univamalgamalg #12,661,oughtcallycally,219577.63
1001002,amalgamalg #2,514,eseoughtanti,219292.72
8005003,scholarnameless #3,252,ableantiable,218778.05
6015007,scholarbrand #7,263,pricallyable,217715.19
1002002,importoamalg #2,204,esebarable,217372.07
4004002,edu packedu pack #2,300,barbarpri,217256.79
2003001,exportiimporto #1,527,ationableanti,215971.03
9012011,importounivamalg #11,999,n stn stn st,215759.27
6016004,corpbrand #4,220,barableable,215107.29
4001001,amalgedu pack #1,93,prin st,214821.20
8013002,exportimaxi #2,50,baranti,214574.06
7006009,corpbrand #9,113,prioughtought,214360.47
5003001,exportischolar #1,611,oughtoughtcally,213379.18
2002002,importoimporto #2,516,callyoughtanti,213014.06
1002002,importoamalg #2,489,n steingese,212744.86
3002002,importoexporti #2,20,barable,212463.63
8015003,scholarmaxi #3,61,oughtcally,212126.76
9010002,univunivamalg #2,50,baranti,211783.49
7013002,exportinameless #2,520,barableanti,211365.60
7005009,scholarbrand #9,885,antieingeing,211242.47
1003002,exportiamalg #2,444,eseeseese,211222.60
6010003,univbrand #3,165,anticallyought,211142.94
8002001,importonameless #1,148,eingeseought,211011.04
8011001,amalgmaxi #1,380,bareingpri,210808.44
1001002,amalgamalg #2,517,ationoughtanti,210503.74
6004002,edu packcorp #2,82,ableeing,210381.66
10001005,amalgunivamalg #5,559,n stantianti,210320.91
8007009,brandnameless #9,989,n steingn st,210164.25
8016001,corpmaxi #1,769,n stcallyation,209977.93
3002001,importoexporti #1,34,esepri,209724.83
5004001,edu packscholar #1,238,eingpriable,208432.48
6008001,namelesscorp #1,812,ableoughteing,208337.79
5004001,edu packscholar #1,173,priationought,208153.26
5002002,importoscholar #2,294,esen stable,207778.48
7006009,corpbrand #9,186,callyeingought,207353.12
2003001,exportiimporto #1,653,priantically,207109.89
8011008,amalgmaxi #8,733,pripriation,206504.80
8008006,namelessnameless #6,202,ablebarable,205784.20
3002001,importoexporti #1,25,antiable,205436.43
4001001,amalgedu pack #1,98,eingn st,204936.86
2004002,edu packimporto #2,771,oughtationation,204806.91
2001001,amalgimporto #1,892,ablen steing,204681.33
4003001,exportiedu pack #1,252,ableantiable,203947.54
2003001,exportiimporto #1,288,eingeingable,203830.48
10008002,namelessunivamalg #2,657,ationantically,203795.86
9001003,amalgmaxi #3,487,ationeingese,202918.19
1004001,edu packamalg #1,37,ationpri,202839.87
6002004,importocorp #4,39,n stpri,202697.65
4001001,amalgedu pack #1,236,callypriable,202509.98
2003002,exportiimporto #2,87,ationeing,202017.45
5002002,importoscholar #2,345,antiesepri,201743.07
6002007,importocorp #7,503,pribaranti,200836.10
7015002,scholarnameless #2,326,callyablepri,200511.74
3002002,importoexporti #2,297,ationn stable,200269.93
5004001,edu packscholar #1,824,eseableeing,199929.13
5003001,exportischolar #1,520,barableanti,199559.95
8004002,edu packnameless #2,210,baroughtable,199409.44
4003001,exportiedu pack #1,222,ableableable,199253.74
2003001,exportiimporto #1,203,pribarable,199187.41
5002001,importoscholar #1,915,antioughtn st,199070.98
10006010,corpunivamalg #10,415,antioughtese,198948.39
2002002,importoimporto #2,257,ationantiable,198652.87
5002002,importoscholar #2,245,antieseable,198356.12
4004002,edu packedu pack #2,565,anticallyanti,198288.14
3002002,importoexporti #2,409,n stbarese,198182.70
9006002,corpmaxi #2,530,barprianti,197918.34
1004001,edu packamalg #1,622,ableablecally,197639.97
2004002,edu packimporto #2,149,n steseought,197616.80
8007001,brandnameless #1,219,n stoughtable,197602.17
7002007,importobrand #7,194,esen stought,197501.95
2002001,importoimporto #1,229,n stableable,197454.45
