i_product_name,i_brand,i_class,i_category,qoh
antieingprin stanti,amalgscholar #2,rock,Music,417.56962025316454
antieingprin stanti,amalgscholar #2,rock,,417.56962025316454
antieingprin stanti,amalgscholar #2,,,417.56962025316454
antieingprin stanti,,,,417.56962025316454
pricallyationantiantiought,edu packbrand #4,estate,Jewelry,428.6599190283401
pricallyationantiantiought,edu packbrand #4,estate,,428.6599190283401
pricallyationantiantiought,edu packbrand #4,,,428.6599190283401
pricallyationantiantiought,,,,428.6599190283401
antiationantibarought,amalgunivamalg #4,cooking,Books,428.7061224489796
antiationantibarought,amalgunivamalg #4,cooking,,428.7061224489796
antiationantibarought,amalgunivamalg #4,,,428.7061224489796
antiationantibarought,,,,428.7061224489796
ationantioughtn stationought,exportibrand #8,kids,Home,429.97131147540983
ationantioughtn stationought,exportibrand #8,kids,,429.97131147540983
ationantioughtn stationought,exportibrand #8,,,429.97131147540983
ationantioughtn stationought,,,,429.97131147540983
ationeingantibarese,edu packamalgamalg #9,automotive,Electronics,430.1404958677686
ationeingantibarese,edu packamalgamalg #9,automotive,,430.1404958677686
ationeingantibarese,edu packamalgamalg #9,,,430.1404958677686
ationeingantibarese,,,,430.1404958677686
oughteingn steseeing,amalgunivamalg #10,cooking,Books,433.8491379310345
oughteingn steseeing,amalgunivamalg #10,cooking,,433.8491379310345
oughteingn steseeing,amalgunivamalg #10,,,433.8491379310345
oughteingn steseeing,,,,433.8491379310345
ationationpricallycallyought,importobrand #8,bedding,Home,435.0995850622407
ationationpricallycallyought,importobrand #8,bedding,,435.0995850622407
ationationpricallycallyought,importobrand #8,,,435.0995850622407
ationationpricallycallyought,,,,435.0995850622407
antiantieingeingpriought,amalgedu pack #2,womens,Shoes,436.69547325102883
antiantieingeingpriought,amalgedu pack #2,womens,,436.69547325102883
antiantieingeingpriought,amalgedu pack #2,,,436.69547325102883
antiantieingeingpriought,,,,436.69547325102883
ationbarableablecallyought,importounivamalg #11,camcorders,Electronics,437.01234567901236
ationbarableablecallyought,importounivamalg #11,camcorders,,437.01234567901236
ationbarableablecallyought,importounivamalg #11,,,437.01234567901236
ationbarableablecallyought,,,,437.01234567901236
oughtprin stbaroughtought,corpnameless #2,football,Sports,437.502024291498
oughtprin stbaroughtought,corpnameless #2,football,,437.502024291498
oughtprin stbaroughtought,corpnameless #2,,,437.502024291498
oughtprin stbaroughtought,,,,437.502024291498
ationcallyationeingeing,exportiedu pack #2,kids,Shoes,437.97119341563786
ationcallyationeingeing,exportiedu pack #2,kids,,437.97119341563786
ationcallyationeingeing,exportiedu pack #2,,,437.97119341563786
ationcallyationeingeing,,,,437.97119341563786
ationcallyantiantin stought,importobrand #8,bedding,Home,438.31983805668017
ationcallyantiantin stought,importobrand #8,bedding,,438.31983805668017
ationcallyantiantin stought,importobrand #8,,,438.31983805668017
ationcallyantiantin stought,,,,438.31983805668017
antin stesebarn st,exportiedu pack #2,kids,Shoes,438.5532786885246
antin stesebarn st,exportiedu pack #2,kids,,438.5532786885246
antin stesebarn st,exportiedu pack #2,,,438.5532786885246
antin stesebarn st,,,,438.5532786885246
priesen stable,edu packscholar #2,classical,Music,438.59322033898303
priesen stable,edu packscholar #2,classical,,438.59322033898303
priesen stable,edu packscholar #2,,,438.59322033898303
priesen stable,,,,438.59322033898303
oughtantibaroughtable,corpunivamalg #6,musical,Electronics,438.8595041322314
oughtantibaroughtable,corpunivamalg #6,musical,,438.8595041322314
oughtantibaroughtable,corpunivamalg #6,,,438.8595041322314
oughtantibaroughtable,,,,438.8595041322314
oughtantiablebarn stought,amalgedu pack #2,womens,Shoes,439.1737288135593
oughtantiablebarn stought,amalgedu pack #2,womens,,439.1737288135593
oughtantiablebarn stought,amalgedu pack #2,,,439.1737288135593
oughtantiablebarn stought,,,,439.1737288135593
oughtbarableeingought,corpbrand #2,rugs,Home,439.1966527196653
oughtbarableeingought,corpbrand #2,rugs,,439.1966527196653
oughtbarableeingought,corpbrand #2,,,439.1966527196653
oughtbarableeingought,,,,439.1966527196653
n stcallyantin station,importoedu pack #2,mens,Shoes,439.6333333333333
n stcallyantin station,importoedu pack #2,mens,,439.6333333333333
n stcallyantin station,importoedu pack #2,,,439.6333333333333
n stcallyantin station,,,,439.6333333333333
n stationn stbarable,maxicorp #4,womens watch,Jewelry,440.0168776371308
n stationn stbarable,maxicorp #4,womens watch,,440.0168776371308
n stationn stbarable,maxicorp #4,,,440.0168776371308
n stationn stbarable,,,,440.0168776371308
n stbaroughtbarbarable,scholaramalgamalg #3,portable,Electronics,440.2396694214876
n stbaroughtbarbarable,scholaramalgamalg #3,portable,,440.2396694214876
n stbaroughtbarbarable,scholaramalgamalg #3,,,440.2396694214876
n stbaroughtbarbarable,,,,440.2396694214876
antieingn stbareing,importobrand #2,costume,Jewelry,440.34453781512605
antieingn stbareing,importobrand #2,costume,,440.34453781512605
antieingn stbareing,importobrand #2,,,440.34453781512605
antieingn stbareing,,,,440.34453781512605
n stationationcallyese,scholaramalgamalg #13,portable,Electronics,440.8395061728395
n stationationcallyese,scholaramalgamalg #13,portable,,440.8395061728395
n stationationcallyese,scholaramalgamalg #13,,,440.8395061728395
n stationationcallyese,,,,440.8395061728395
priantipriought,corpmaxi #10,parenting,Books,441.68979591836734
priantipriought,corpmaxi #10,parenting,,441.68979591836734
