d_year,brand_id,brand,sum_agg
1998,1002001,importoamalg #1,18083.91
1998,2002001,importoimporto #1,18025.96
1998,4002001,importoedu pack #1,18007.00
1998,2001001,amalgimporto #1,14094.12
1998,4003001,exportiedu pack #1,13315.75
1998,2003001,exportiimporto #1,12842.90
1998,1001002,amalgamalg #2,12769.61
1998,3002001,importoexporti #1,12664.30
1998,1001001,amalgamalg #1,12550.56
1998,1004001,edu packamalg #1,12230.09
1998,1003001,exportiamalg #1,12186.54
1998,3002002,importoexporti #2,12183.22
1998,5003001,exportischolar #1,10711.00
1998,4001002,amalgedu pack #2,10170.35
1998,2004002,edu packimporto #2,9893.11
1998,3004001,edu packexporti #1,9045.26
1998,1003002,exportiamalg #2,8915.14
1998,4004001,edu packedu pack #1,8806.17
1998,6005001,scholarcorp #1,7510.54
1998,4002002,importoedu pack #2,7204.39
1998,3004002,edu packexporti #2,6997.85
1998,2004001,edu packimporto #1,6940.10
1998,5002001,importoscholar #1,6802.85
1998,7006007,corpbrand #7,6709.03
1998,1002002,importoamalg #2,6651.36
1998,5003002,exportischolar #2,6646.25
1998,3003002,exportiexporti #2,6131.63
1998,5004002,edu packscholar #2,5961.30
1998,5004001,edu packscholar #1,5815.62
1998,8003006,exportinameless #6,5167.35
1998,9006009,corpmaxi #9,5082.14
1998,7014007,edu packnameless #7,4667.91
1998,8009006,maxinameless #6,4348.14
1998,9011011,amalgunivamalg #11,3993.60
1998,9013003,exportiunivamalg #3,3948.77
1998,7012006,importonameless #6,3862.27
1998,6010004,univbrand #4,3837.75
1998,10003006,exportiunivamalg #6,3751.81
1998,6003002,exporticorp #2,3727.43
1998,8003008,exportinameless #8,3718.73
1998,9004002,edu packmaxi #2,3704.16
1998,8001007,amalgnameless #7,3693.54
1998,10003002,exportiunivamalg #2,3667.14
1998,8015005,scholarmaxi #5,3660.67
1998,9006003,corpmaxi #3,3656.52
1998,6013003,exportibrand #3,3643.17
1998,8015008,scholarmaxi #8,3626.14
1998,7015001,scholarnameless #1,3624.62
1998,10003016,exportiunivamalg #16,3615.70
1998,6012001,importobrand #1,3610.87
1998,5001001,amalgscholar #1,3605.53
1998,9014011,edu packunivamalg #11,3596.66
1998,7010007,univnameless #7,3596.39
1998,7014009,edu packnameless #9,3581.58
1998,10016001,corpamalgamalg #1,3579.13
1998,9010002,univunivamalg #2,3578.52
1998,3001002,amalgexporti #2,3538.26
1998,8008001,namelessnameless #1,3537.69
1998,9009003,maximaxi #3,3501.22
1998,9010005,univunivamalg #5,3485.96
1998,6015001,scholarbrand #1,3477.14
1998,6014006,edu packbrand #6,3451.58
1998,8001006,amalgnameless #6,3426.18
1998,8010006,univmaxi #6,3418.00
1998,6009003,maxicorp #3,3414.44
1998,8014003,edu packmaxi #3,3394.84
1998,9016009,corpunivamalg #9,3394.33
1998,7009008,maxibrand #8,3386.37
1998,10011014,amalgamalgamalg #14,3382.78
1998,8006002,corpnameless #2,3379.61
1998,10001016,amalgunivamalg #16,3350.51
1998,8015003,scholarmaxi #3,3338.79
1998,3001001,amalgexporti #1,3317.32
1998,7012007,importonameless #7,3315.39
1998,8010001,univmaxi #1,3250.14
1998,10002006,importounivamalg #6,3237.64
1998,7013007,exportinameless #7,3222.97
1998,7004003,edu packbrand #3,3217.16
1998,10012013,importoamalgamalg #13,3207.21
1998,8006009,corpnameless #9,3184.90
1998,7002001,importobrand #1,3179.89
1998,8014002,edu packmaxi #2,3167.69
1998,4003002,exportiedu pack #2,3165.43
1998,7005009,scholarbrand #9,3148.71
1998,9012002,importounivamalg #2,3138.99
1998,9010008,univunivamalg #8,3135.19
1998,8005009,scholarnameless #9,3098.65
1998,9010009,univunivamalg #9,3086.10
1998,9005008,scholarmaxi #8,3058.01
1998,9009009,maximaxi #9,3052.77
1998,3003001,exportiexporti #1,3042.25
1998,7011004,amalgnameless #4,3036.53
1998,6004005,edu packcorp #5,3018.24
1998,6012005,importobrand #5,3012.58
1998,10014012,edu packamalgamalg #12,3005.21
1998,10008002,namelessunivamalg #2,2994.35
1998,9002011,importomaxi #11,2986.54
1998,7006003,corpbrand #3,2957.21
1998,7001009,amalgbrand #9,2924.68
1998,9013005,exportiunivamalg #5,2916.38
