ca_county,d_year,web_q1_q2_increase,store_q1_q2_increase,web_q2_q3_increase,store_q2_q3_increase
De Kalb County,1998,1.37,1.21,1.57,1.48
Aroostook County,1998,1.10,1.01,1.85,1.74
McKean County,1998,0.96,0.77,2.35,1.99
Leelanau County,1998,1.22,0.99,1.97,1.93
Ramsey County,1998,0.96,0.91,1.88,1.84
Iosco County,1998,1.14,1.13,2.08,1.87
Carver County,1998,0.94,0.77,2.71,2.11
Marlboro County,1998,1.30,0.88,2.03,1.84
Maui County,1998,0.92,0.91,2.00,1.84
Susquehanna County,1998,0.96,0.95,1.84,1.78
Allen Parish,1998,1.14,1.05,2.01,1.78
Isabella County,1998,1.02,0.95,2.12,1.80
Howard County,1998,1.00,0.98,1.96,1.93
Grand Isle County,1998,1.15,1.02,2.89,1.88
Oklahoma County,1998,1.06,0.78,2.23,2.07
Garfield County,1998,1.11,1.09,1.83,1.78
Val Verde County,1998,1.08,0.99,1.99,1.73
Poweshiek County,1998,1.28,0.99,1.99,1.62
Suffolk city,1998,1.20,1.14,1.99,1.68
Sierra County,1998,1.25,1.08,1.83,1.74
Nelson County,1998,1.09,1.06,2.13,1.84
Oglethorpe County,1998,1.43,1.32,1.90,1.64
Hudspeth County,1998,1.04,0.93,2.22,1.90
Kitsap County,1998,1.32,0.97,1.96,1.88
Schuyler County,1998,1.03,0.97,2.04,1.80
Albany County,1998,1.05,1.01,1.94,1.71
Hunterdon County,1998,1.35,1.11,1.95,1.70
Randolph County,1998,1.04,0.98,1.97,1.85
Union County,1998,1.06,1.00,1.87,1.86
Newport News city,1998,1.20,1.06,1.98,1.72
Blaine County,1998,1.06,1.03,2.03,1.73
Archuleta County,1998,1.08,0.96,1.75,1.72
Sutton County,1998,0.97,0.88,2.42,1.89
Bannock County,1998,1.12,0.94,2.03,1.97
Kidder County,1998,1.13,1.06,2.01,1.85
Floyd County,1998,0.97,0.93,1.84,1.81
Stafford County,1998,1.16,1.04,1.86,1.71
Rosebud County,1998,1.00,0.89,2.36,1.73
Silver Bow County,1998,1.19,0.99,2.25,1.89
Cameron Parish,1998,1.16,1.08,1.98,1.64
Abbeville County,1998,1.15,0.80,2.38,1.85
Collin County,1998,1.32,1.14,1.70,1.65
Cortland County,1998,1.11,0.96,2.03,1.78
Dauphin County,1998,1.19,1.06,2.22,1.78
Garden County,1998,1.31,0.89,2.06,1.82
Iredell County,1998,1.18,1.04,2.14,1.76
Cotton County,1998,0.97,0.94,1.79,1.78
Hopkins County,1998,1.19,1.01,1.82,1.68
Robertson County,1998,1.05,1.03,1.87,1.78
Hooker County,1998,1.04,0.94,1.97,1.92
Howell County,1998,1.13,1.07,2.35,1.72
Lander County,1998,1.25,0.91,1.77,1.71
Green County,1998,1.24,1.04,1.88,1.80
Tucker County,1998,1.04,0.91,2.10,1.93
Salem city,1998,1.11,0.99,2.09,1.82
Kendall County,1998,1.19,1.01,1.76,1.68
Haywood County,1998,0.92,0.91,2.34,1.96
Des Moines County,1998,1.16,1.00,1.90,1.81
Nueces County,1998,1.12,0.90,2.33,2.15
Dane County,1998,1.15,0.97,1.89,1.81
Pondera County,1998,1.23,1.02,1.81,1.64
Virginia Beach city,1998,1.40,1.15,1.83,1.72
Love County,1998,1.46,1.23,2.17,1.80
Dunn County,1998,1.06,0.97,2.04,1.97
Smyth County,1998,1.13,0.89,2.11,1.83
Wapello County,1998,1.00,0.93,2.19,1.69
Moffat County,1998,1.03,0.92,2.36,1.87
Isanti County,1998,1.43,1.15,1.83,1.80
El Dorado County,1998,0.93,0.90,1.96,1.95
Cullman County,1998,1.23,1.01,2.06,1.77
Judith Basin County,1998,0.82,0.81,2.07,1.86
Burleson County,1998,1.00,0.93,2.19,2.05
Kittson County,1998,1.28,0.89,2.13,1.93
Deuel County,1998,1.23,0.97,2.32,1.81
Fillmore County,1998,1.01,0.93,2.09,1.96
Bureau County,1998,1.05,0.97,2.13,2.00
Conejos County,1998,1.10,0.89,2.04,1.99
Cambria County,1998,1.16,0.95,1.97,1.91
Nolan County,1998,1.06,1.00,2.04,1.80
De Witt County,1998,1.22,1.06,1.94,1.83
Linn County,1998,0.99,0.98,2.12,1.86
Danville city,1998,0.99,0.94,2.89,2.20
Ouachita County,1998,1.00,0.98,1.90,1.81
Lorain County,1998,1.00,0.98,1.89,1.72
McCulloch County,1998,1.30,1.05,2.02,1.71
Grays Harbor County,1998,1.10,0.95,1.87,1.85
Darlington County,1998,1.13,0.99,2.19,1.86
Amherst County,1998,0.88,0.86,1.91,1.84
Johnston County,1998,1.14,1.01,2.14,1.85
Cerro Gordo County,1998,1.19,1.09,2.05,1.99
Pontotoc County,1998,1.04,0.99,1.94,1.91
Blount County,1998,1.21,0.93,1.86,1.83
Dyer County,1998,1.04,1.02,2.21,1.83
Fentress County,1998,1.24,1.01,1.91,1.89
Tift County,1998,1.08,0.97,2.32,1.68
Wilson County,1998,1.07,0.95,2.20,1.98
Pender County,1998,1.30,1.13,2.03,1.61
Chesterfield County,1998,1.11,1.05,1.85,1.70
Wilkin County,1998,1.09,1.03,2.25,1.87
Le Flore County,1998,1.06,1.05,2.33,1.78
Gonzales County,1998,1.24,1.01,1.93,1.81
Eastland County,1998,1.59,1.06,1.94,1.72
Hayes County,1998,1.42,0.94,2.11,1.87
Benzie County,1998,1.02,0.90,2.13,1.94
Pickaway County,1998,1.31,1.23,1.92,1.53
Davis County,1998,1.07,1.01,1.85,1.83
Matagorda County,1998,1.26,1.12,1.82,1.79
Bear Lake County,1998,1.37,1.01,1.79,1.68
Ingham County,1998,0.99,0.95,2.06,1.97
Lenoir County,1998,0.95,0.94,2.02,1.98
Rowan County,1998,1.12,0.97,2.02,1.93
Phillips County,1998,1.07,0.98,2.05,1.86
Gillespie County,1998,1.18,0.94,2.07,1.99
Sawyer County,1998,0.92,0.86,2.35,1.99
Harlan County,1998,1.10,0.97,2.03,1.92
Forsyth County,1998,1.10,0.94,2.12,1.91
Prentiss County,1998,1.11,1.10,2.02,1.83
Taos County,1998,1.41,0.97,2.18,1.72
Person County,1998,0.92,0.91,2.41,1.98
Shenandoah County,1998,1.22,1.06,1.93,1.59
Franklin Parish,1998,1.00,0.86,2.20,1.82
Creek County,1998,1.28,1.16,1.64,1.57
Nicollet County,1998,0.94,0.93,2.33,2.02
Albemarle County,1998,1.05,1.00,2.30,1.96
Muskingum County,1998,1.37,1.24,2.12,1.84
Bennett County,1998,1.10,1.06,1.80,1.74
Lyon County,1998,0.98,0.93,2.01,1.85
Berrien County,1998,1.11,0.97,1.87,1.57
Greensville County,1998,1.11,0.85,2.21,2.05
Butler County,1998,1.06,1.00,1.80,1.74
San Francisco County,1998,0.96,0.94,2.31,1.72
Alexandria city,1998,1.24,0.91,1.97,1.73
Sandoval County,1998,0.87,0.85,2.05,2.00
Mountrail County,1998,1.41,0.99,1.96,1.74
Steuben County,1998,1.13,1.07,2.06,1.65
Greenwood County,1998,1.02,0.93,2.00,1.79
Dukes County,1998,1.14,0.94,1.83,1.80
Montmorency County,1998,0.98,0.94,2.12,1.81
Coffey County,1998,1.74,0.98,2.03,1.90
Cowley County,1998,1.08,0.99,2.00,1.87
Montrose County,1998,1.06,1.04,1.89,1.85
Lowndes County,1998,1.08,1.01,1.93,1.75
Powhatan County,1998,1.12,1.04,2.03,1.58
