channel,item,return_ratio,return_rank,currency_rank
catalog,76063,0.0000,1,45
catalog,61478,0.0000,1,63
catalog,18217,0.0000,1,157
catalog,79253,0.0000,1,262
catalog,18071,0.0000,1,396
catalog,142879,0.0000,1,563
catalog,110033,0.0000,1,590
catalog,104954,0.0000,1,663
catalog,179594,0.0000,1,798
catalog,74389,0.0000,1,912
catalog,136682,0.0000,1,992
catalog,89441,0.0000,1,1087
catalog,31820,0.0000,1,1206
catalog,53275,0.0000,1,1206
catalog,191663,0.0000,1,1348
catalog,92618,0.0000,1,1548
catalog,163904,0.0000,1,1557
catalog,195767,0.0000,1,1561
catalog,106004,0.0000,1,1860
catalog,182813,0.0000,1,2497
catalog,73016,0.0000,1,2588
catalog,139205,0.0000,1,2663
catalog,150026,0.0000,1,2722
catalog,192211,0.0000,1,2755
catalog,5396,0.0000,1,2799
catalog,93818,0.0000,1,2845
catalog,56987,0.0000,1,2856
catalog,178315,0.0000,1,2916
catalog,4583,0.0000,1,3113
catalog,85669,0.0000,1,3113
catalog,119414,0.0000,1,3113
catalog,143929,0.0000,1,3113
catalog,148621,0.0000,1,3364
catalog,160586,0.0000,1,3471
catalog,127163,0.0000,1,3512
catalog,88817,0.0000,1,3578
catalog,32504,0.4166,38,1
catalog,65216,0.4200,39,2
catalog,107857,0.4200,39,2
catalog,115460,0.4387,41,4
catalog,29867,0.4591,43,5
catalog,20717,0.4606,44,6
catalog,110774,0.4631,45,7
catalog,190891,0.4736,46,8
catalog,154523,0.4795,47,9
catalog,148910,0.4800,48,10
store,168367,0.0000,1,101
store,143201,0.0000,1,191
store,169075,0.0000,1,221
store,203045,0.0000,1,226
store,71797,0.0000,1,233
store,166898,0.0000,1,242
store,182033,0.0000,1,244
store,82117,0.0000,1,415
store,132272,0.0000,1,434
store,57512,0.0000,1,487
store,32780,0.0000,1,518
store,12986,0.0000,1,542
store,198853,0.0000,1,585
store,144427,0.0000,1,594
store,55688,0.0000,1,640
store,109207,0.0000,1,653
store,134750,0.0000,1,713
store,186697,0.0000,1,780
store,144179,0.0000,1,786
store,67675,0.0000,1,816
store,28613,0.0000,1,973
store,51601,0.0000,1,1079
store,97196,0.0000,1,1079
store,182309,0.0000,1,1079
store,65474,0.5937,25,1
store,88511,0.6000,26,2
store,23773,0.6082,27,3
store,148430,0.6153,28,4
store,127232,0.6263,29,5
store,155552,0.6300,30,6
store,166592,0.6458,32,7
store,89387,0.6526,33,8
store,180185,0.6530,34,9
store,109313,0.6593,35,10
web,33661,0.0000,1,7
web,28523,0.0000,1,21
web,8678,0.0000,1,71
web,45650,0.0000,1,84
web,61583,0.0000,1,149
web,176663,0.0000,1,155
web,155924,0.0000,1,562
web,92639,0.0000,1,595
web,180719,0.0000,1,597
web,69629,0.0000,1,628
web,74461,0.0000,1,631
web,66709,0.0000,1,640
web,61991,0.0000,1,674
web,196379,0.0000,1,680
web,11737,0.0000,1,717
web,16169,0.0000,1,721
web,110420,0.0000,1,742
web,201722,0.0000,1,879
web,1322,0.0000,1,964
web,70658,0.0000,1,1052
