s_store_name,s_company_id,s_street_number,s_street_name,s_street_type,s_suite_number,s_city,s_county,s_state,s_zip,30 days,31-60 days,61-90 days,91-120 days,>120 days
able,1,128,15th ,RD,Suite T,Oakland,Luce County,MI,49843,345,351,276,163,333
able,1,227,8th ,Road,Suite 290,New Hope,Luce County,MI,49431,314,371,286,163,333
able,1,228,Cherry ,Avenue,Suite G,Centerville,Walker County,AL,30059,316,390,252,165,320
able,1,255,Sycamore ,Dr.,Suite 410,Midway,Ziebach County,SD,51904,349,382,271,168,344
able,1,292,Walnut North,Circle,Suite Q,Pleasant Valley,Franklin Parish,LA,72477,329,379,288,185,328
able,1,300,Forest ,Lane,Suite 230,Riverside,Walker County,AL,39231,378,363,258,179,332
able,1,302,Walnut Madison,Wy,Suite T,Oakland,Ziebach County,SD,59843,361,352,250,142,359
able,1,441,11th ,ST,Suite H,Union,Williamson County,TN,38721,353,349,272,169,339
able,1,443,Hickory Sycamore,Street,Suite C,Fairview,Richland County,OH,45709,340,355,266,167,305
able,1,479,Park First,Lane,Suite 20,Salem,Walker County,AL,38048,338,423,278,161,370
able,1,49,Highland 1st,Drive,Suite 80,Greenwood,Ziebach County,SD,58828,347,389,301,183,321
able,1,543,West Elm,Ln,Suite A,Pleasant Grove,Luce County,MI,44136,344,385,302,151,341
able,1,545,Pine ,ST,Suite D,Liberty,Richland County,OH,43451,336,383,268,182,325
able,1,557,Elevnth 7th,Pkwy,Suite L,Oakland,Walker County,AL,39843,299,387,287,172,319
able,1,605,Williams South,Ln,Suite D,Fairview,Richland County,OH,45709,330,372,276,144,347
able,1,667,Ridge Maple,Pkwy,Suite X,Bethel,Ziebach County,SD,55281,336,372,232,159,343
able,1,702,Cedar 6th,Blvd,Suite 370,Fairview,Richland County,OH,45709,316,355,229,165,289
able,1,722,Railroad Spring,Ct.,Suite M,Pleasant Grove,Richland County,OH,44136,373,397,249,149,295
able,1,738,Miller ,Court,Suite R,New Hope,Luce County,MI,49431,360,391,265,171,312
able,1,749,Railroad Maple,Drive,Suite 10,New Hope,Fairfield County,SC,29431,336,383,256,155,321
able,1,822,Johnson Third,ST,Suite P,Midway,Richland County,OH,41904,333,380,250,148,288
able,1,824,Valley ,Cir.,Suite A,Fairview,Daviess County,MO,65709,339,370,235,156,312
able,1,841,Mill Woodland,Pkwy,Suite S,Pleasant Grove,Luce County,MI,44136,359,397,261,186,336
