item_sk,d_date,web_sales,store_sales,web_cumulative,store_cumulative
11,2001-01-02,,31.20,53.58,31.20
11,2001-01-03,,32.31,53.58,32.31
13,2001-01-04,198.63,,198.63,142.00
13,2001-01-06,369.40,313.41,369.40,313.41
13,2001-01-09,563.30,507.08,563.30,507.08
13,2001-01-10,,540.83,563.30,540.83
13,2001-01-12,667.09,611.10,667.09,611.10
17,2001-01-02,95.73,,95.73,5.66
17,2001-01-04,,12.19,95.73,12.19
17,2001-01-05,,27.67,95.73,27.67
17,2001-01-07,179.30,,179.30,27.67
17,2001-01-08,,154.72,179.30,154.72
17,2001-01-21,446.90,414.63,446.90,414.63
17,2001-01-22,,418.73,446.90,418.73
17,2001-01-25,478.95,449.89,478.95,449.89
17,2001-01-27,,474.30,478.95,474.30
23,2001-01-01,352.44,181.45,352.44,181.45
23,2001-01-02,550.17,,550.17,181.45
23,2001-01-03,,205.43,550.17,205.43
23,2001-01-04,,217.02,550.17,217.02
23,2001-01-05,,250.30,550.17,250.30
23,2001-01-08,,289.59,550.17,289.59
23,2001-01-09,604.77,416.20,604.77,416.20
23,2001-01-10,611.25,439.35,611.25,439.35
23,2001-01-12,,476.35,611.25,476.35
23,2001-01-13,,496.49,611.25,496.49
23,2001-01-14,,544.77,611.25,544.77
23,2001-01-15,677.36,628.11,677.36,628.11
25,2001-01-01,98.61,24.83,98.61,24.83
25,2001-01-03,220.23,36.20,220.23,36.20
25,2001-01-04,,147.35,220.23,147.35
25,2001-01-06,,168.95,220.23,168.95
25,2001-01-08,,191.46,220.23,191.46
25,2001-01-09,333.93,220.39,333.93,220.39
25,2001-01-11,,278.66,333.93,278.66
25,2001-01-12,340.77,,340.77,278.66
25,2001-01-13,,337.87,340.77,337.87
31,2001-01-01,104.24,46.82,104.24,46.82
31,2001-01-04,,68.91,104.24,68.91
37,2001-01-01,105.50,29.35,105.50,29.35
45,2001-01-01,54.70,43.16,54.70,43.16
47,2001-01-01,170.51,51.64,170.51,51.64
47,2001-01-02,,90.80,170.51,90.80
47,2001-01-03,247.25,156.26,247.25,156.26
47,2001-01-05,,186.28,247.25,186.28
47,2001-01-08,,189.05,247.25,189.05
47,2001-01-09,,193.44,247.25,193.44
51,2001-01-04,180.12,145.76,180.12,145.76
57,2001-01-05,212.45,201.05,212.45,201.05
61,2001-01-01,234.34,129.44,234.34,129.44
61,2001-01-02,,134.09,234.34,134.09
61,2001-01-03,325.38,256.85,325.38,256.85
61,2001-01-04,,302.37,325.38,302.37
61,2001-01-10,483.97,467.95,483.97,467.95
61,2001-01-11,510.35,476.28,510.35,476.28
63,2001-01-01,147.15,47.91,147.15,47.91
63,2001-01-02,,127.99,147.15,127.99
67,2001-01-01,137.72,58.09,137.72,58.09
67,2001-01-05,240.19,209.50,240.19,209.50
67,2001-01-06,,237.62,240.19,237.62
69,2001-01-05,172.25,93.72,172.25,93.72
69,2001-01-06,,97.40,172.25,97.40
69,2001-01-09,172.25,157.20,172.25,157.20
69,2001-01-11,289.60,166.85,289.60,166.85
69,2001-01-12,302.01,172.66,302.01,172.66
69,2001-01-14,,298.35,302.01,298.35
69,2001-01-15,,300.19,302.01,300.19
69,2001-01-16,444.82,354.19,444.82,354.19
69,2001-02-09,994.48,982.93,994.48,982.93
71,2001-01-02,294.61,,294.61,137.84
71,2001-01-04,,289.99,294.61,289.99
71,2001-01-05,,292.66,294.61,292.66
71,2001-01-06,428.00,397.82,428.00,397.82
75,2001-01-01,128.65,60.03,128.65,60.03
79,2001-01-01,90.60,73.21,90.60,73.21
79,2001-01-06,103.39,,103.39,92.51
85,2001-01-01,112.88,37.40,112.88,37.40
85,2001-01-03,,102.75,112.88,102.75
85,2001-01-06,190.51,,190.51,122.76
87,2001-01-02,,0.83,45.75,0.83
87,2001-01-03,,39.71,45.75,39.71
89,2001-01-13,485.02,306.79,485.02,306.79
89,2001-01-16,,309.40,485.02,309.40
89,2001-01-17,713.32,,713.32,309.40
89,2001-01-20,,431.86,713.32,431.86
89,2001-01-21,,497.61,713.32,497.61
89,2001-01-22,750.02,559.59,750.02,559.59
89,2001-01-23,,567.98,750.02,567.98
89,2001-01-24,,591.05,750.02,591.05
89,2001-01-25,843.06,628.27,843.06,628.27
89,2001-01-27,,758.56,843.06,758.56
89,2001-01-28,845.78,,845.78,758.56
103,2001-01-01,54.41,48.34,54.41,48.34
105,2001-01-01,49.31,13.74,49.31,13.74
105,2001-01-03,,42.15,49.31,42.15
105,2001-01-04,,45.25,49.31,45.25
105,2001-01-06,54.28,49.96,54.28,49.96
109,2001-01-01,97.85,54.80,97.85,54.80
113,2001-01-04,143.91,,143.91,90.96
113,2001-01-08,,92.80,143.91,92.80
