d_year,brand_id,brand,ext_price
2002,1001002,amalgamalg #2,5969346.73
2002,2001002,amalgimporto #2,5487218.72
2002,4004002,edu packedu pack #2,5302929.91
2002,3002002,importoexporti #2,4899310.25
2002,2003002,exportiimporto #2,4546731.41
2002,1004002,edu packamalg #2,4527768.56
2002,2004002,edu packimporto #2,4345342.67
2002,4002002,importoedu pack #2,4299039.20
2002,1003002,exportiamalg #2,4150270.76
2002,1002002,importoamalg #2,3971257.18
2002,3001002,amalgexporti #2,3766053.07
2002,3003002,exportiexporti #2,3684337.02
2002,5003002,exportischolar #2,3582471.69
2002,3004002,edu packexporti #2,3542010.93
2002,5001002,amalgscholar #2,3527613.27
2002,4003002,exportiedu pack #2,3525346.36
2002,5002002,importoscholar #2,3236868.40
2002,4001002,amalgedu pack #2,3107466.17
2002,1002001,importoamalg #1,2568822.99
2002,5004002,edu packscholar #2,2502894.36
2002,2002002,importoimporto #2,2403529.24
2002,3001001,amalgexporti #1,1974878.91
2002,5003001,exportischolar #1,1914776.74
2002,3003001,exportiexporti #1,1862831.66
2002,5004001,edu packscholar #1,1767357.76
2002,2004001,edu packimporto #1,1724828.27
2002,2003001,exportiimporto #1,1686647.87
2002,1003001,exportiamalg #1,1630389.26
2002,1004001,edu packamalg #1,1615686.61
2002,2002001,importoimporto #1,1395061.58
2002,4004001,edu packedu pack #1,1349021.42
2002,4002001,importoedu pack #1,1316762.50
2002,5002001,importoscholar #1,1315641.14
2002,4003001,exportiedu pack #1,1311733.28
2002,3004001,edu packexporti #1,1163432.36
2002,3002001,importoexporti #1,1153277.79
2002,4001001,amalgedu pack #1,952486.57
2002,5001001,amalgscholar #1,928130.68
2002,2001001,amalgimporto #1,927844.28
2002,9014008,edu packunivamalg #8,911956.71
2002,9003008,exportimaxi #8,907326.05
2002,7007004,brandbrand #4,849020.03
2002,9011008,amalgunivamalg #8,814228.47
2002,9015002,scholarunivamalg #2,759092.56
2002,9009002,maximaxi #2,746347.75
2002,7010008,univnameless #8,723769.00
2002,6007006,brandcorp #6,687102.06
2002,1001001,amalgamalg #1,678949.79
2002,9004008,edu packmaxi #8,676657.10
2002,8009010,maxinameless #10,668812.39
2002,9007008,brandmaxi #8,651643.74
2002,6003008,exporticorp #8,641612.44
2002,6013006,exportibrand #6,613422.78
2002,7010004,univnameless #4,609826.94
2002,7004009,edu packbrand #9,600598.86
2002,6015006,scholarbrand #6,597874.42
2002,9009004,maximaxi #4,577501.42
2002,7015002,scholarnameless #2,571847.63
2002,7011008,amalgnameless #8,562267.11
2002,8016006,corpmaxi #6,556153.61
2002,8007010,brandnameless #10,545769.90
2002,10003002,exportiunivamalg #2,538267.26
2002,10015001,scholaramalgamalg #1,535241.88
2002,10011017,amalgamalgamalg #17,532302.31
2002,6012002,importobrand #2,526229.29
2002,9002008,importomaxi #8,524860.67
2002,3002002,edu packimporto #1,522079.63
2002,7002010,importobrand #10,521174.44
2002,9014002,edu packunivamalg #2,520853.84
2002,7004004,edu packbrand #4,513047.84
2002,6009001,maxicorp #1,512441.69
2002,10013002,exportiamalgamalg #2,506249.67
2002,6014004,edu packbrand #4,505018.48
2002,7012010,importonameless #10,503670.20
2002,8004005,edu packnameless #5,491403.07
2002,6010002,univbrand #2,490883.72
2002,6010004,univbrand #4,490101.92
2002,9013002,exportiunivamalg #2,489428.27
2002,10016013,corpamalgamalg #13,487604.69
2002,10001014,amalgunivamalg #14,480471.09
2002,6014002,edu packbrand #2,470240.48
2002,9014004,edu packunivamalg #4,466267.45
2002,10002014,importounivamalg #14,464529.58
2002,7007010,brandbrand #10,463713.77
2002,7013002,exportinameless #2,463573.36
2002,7001007,amalgbrand #7,463071.46
2002,8008002,namelessnameless #2,450580.71
2002,6009005,maxicorp #5,440945.64
2002,7014006,edu packnameless #6,427577.91
2002,8003008,exportinameless #8,420415.27
2002,10004017,edu packunivamalg #17,412553.69
2002,10005010,scholarunivamalg #10,408988.89
2002,10012009,importoamalgamalg #9,403817.21
2002,8015008,scholarmaxi #8,403777.11
2002,10015017,scholaramalgamalg #17,401678.85
2002,6001006,amalgcorp #6,398180.29
2002,7005008,scholarbrand #8,396321.96
2002,10007001,brandunivamalg #1,395145.50
2002,8013008,exportimaxi #8,390564.99
2002,8005006,scholarnameless #6,387573.42
