brand_id,brand,ext_price
1001002,amalgamalg #2,6140504.11
2003002,exportiimporto #2,5492037.02
2001002,amalgimporto #2,5482448.55
2004002,edu packimporto #2,5481715.55
3002002,importoexporti #2,5002644.79
4004002,edu packedu pack #2,4753326.13
1004002,edu packamalg #2,4697567.37
4001002,amalgedu pack #2,4290172.91
1003001,exportiamalg #1,4135193.73
4002002,importoedu pack #2,3919575.64
5001002,amalgscholar #2,3901499.70
5003002,exportischolar #2,3897761.20
1003002,exportiamalg #2,3869616.10
3001002,amalgexporti #2,3864146.63
4003002,exportiedu pack #2,3738866.24
3004002,edu packexporti #2,3730600.40
3003002,exportiexporti #2,3619502.69
4003001,exportiedu pack #1,3605673.19
2002001,importoimporto #1,3561690.61
5002002,importoscholar #2,3239769.29
2001001,amalgimporto #1,2929318.92
2002002,importoimporto #2,2848573.38
4004001,edu packedu pack #1,2824658.69
1002002,importoamalg #2,2812519.94
3004001,edu packexporti #1,2747968.19
3003001,exportiexporti #1,2691213.41
4002001,importoedu pack #1,2621942.72
5004002,edu packscholar #2,2621311.64
4001001,amalgedu pack #1,2609002.49
3001001,amalgexporti #1,2552944.52
1004001,edu packamalg #1,2547446.83
5003001,exportischolar #1,2540133.85
1002001,importoamalg #1,2448602.19
2003001,exportiimporto #1,2261003.78
5001001,amalgscholar #1,2090896.74
3002001,importoexporti #1,1981815.32
1001001,amalgamalg #1,1973014.23
2004001,edu packimporto #1,1728537.61
5002001,importoscholar #1,1549126.28
5004001,edu packscholar #1,1428414.66
9014008,edu packunivamalg #8,942814.99
7007004,brandbrand #4,925395.79
9003008,exportimaxi #8,871608.09
9009012,maximaxi #12,862903.10
6003008,exporticorp #8,833684.02
9015002,scholarunivamalg #2,833188.94
9011008,amalgunivamalg #8,796650.81
8009010,maxinameless #10,793948.69
9006009,corpmaxi #9,761425.08
6010002,univbrand #2,747711.24
6013002,exportibrand #2,740853.76
9009002,maximaxi #2,722176.54
6007006,brandcorp #6,716294.42
9004008,edu packmaxi #8,703171.03
9007008,brandmaxi #8,678273.00
10015001,scholaramalgamalg #1,667547.54
7016001,corpnameless #1,660294.85
6010004,univbrand #4,651301.68
6013006,exportibrand #6,641419.25
7010004,univnameless #4,632576.46
7015009,scholarnameless #9,605911.87
9001003,amalgmaxi #3,597751.13
6005001,scholarcorp #1,594892.58
8003004,exportinameless #4,591217.17
7003004,exportibrand #4,590218.30
10013002,exportiamalgamalg #2,579681.45
7012009,importonameless #9,569655.31
7007010,brandbrand #10,565052.30
9013009,exportiunivamalg #9,560039.58
7004004,edu packbrand #4,554222.04
7009010,maxibrand #10,552163.03
7014002,edu packnameless #2,550810.90
9005009,scholarmaxi #9,543427.00
8003003,exportinameless #3,542771.54
6014003,edu packbrand #3,542398.94
9012003,importounivamalg #3,538665.39
9013002,exportiunivamalg #2,524770.62
8015006,scholarmaxi #6,523383.56
9014002,edu packunivamalg #2,513831.70
10002014,importounivamalg #14,510900.95
8005009,scholarnameless #9,510104.87
9011009,amalgunivamalg #9,510057.41
9010009,univunivamalg #9,506115.00
6003003,exporticorp #3,503553.67
6010007,univbrand #7,497579.18
10009013,maxiunivamalg #13,495939.64
7010009,univnameless #9,495815.10
7013002,exportinameless #2,495535.85
7001005,amalgbrand #5,493765.32
9013012,exportiunivamalg #12,489821.73
8007001,brandnameless #1,487361.98
10007015,brandunivamalg #15,481405.79
9002008,importomaxi #8,479170.32
7010008,univnameless #8,474618.02
8004001,edu packnameless #1,470042.41
6015006,scholarbrand #6,467751.90
7002010,importobrand #10,457078.13
8008007,namelessnameless #7,454122.98
6007007,brandcorp #7,447552.56
7012010,importonameless #10,444371.98
