cc_name,d_year,avg_monthly_sales,sum_sales,psum,nsum
Mid Atlantic_1,1999,135537.779166,65221.42,75448.19,76121.41
North Midwest_1,1999,136239.736666,66050.22,79747.45,75346.44
NY Metro_2,1999,140934.135833,72120.68,83319.36,79872.10
North Midwest,1999,140246.030833,71824.23,75248.12,83287.86
Pacific Northwest_1,1999,133820.315833,65974.75,86417.88,81230.84
Hawaii/Alaska,1999,136794.608333,69184.32,80229.37,78081.60
North Midwest_1,1999,138617.196666,71179.94,79212.96,79332.79
North Midwest_1,1999,133749.196666,66785.88,75959.72,76307.68
Mid Atlantic_1,1999,139167.533333,72243.44,82023.20,76281.82
NY Metro_1,1999,141394.532500,74500.90,78486.65,83431.09
Mid Atlantic_1,1999,136157.473333,69312.64,82202.27,72664.55
California_1,1999,137913.451666,71186.62,88420.89,80198.13
Mid Atlantic_2,1999,135180.195000,68529.30,76814.21,79121.60
California,1999,138722.613333,72105.39,83217.47,81633.27
Hawaii/Alaska,1999,140397.841666,73987.49,83388.79,80891.61
California,1999,134524.023333,68187.06,85390.76,77273.83
Mid Atlantic,1999,136434.250000,70147.57,81662.91,72975.11
Mid Atlantic,1999,141125.724166,74881.13,275366.33,76041.44
North Midwest,1999,135242.764166,69046.77,78865.54,78597.32
California_1,1999,140501.971666,74354.23,83083.90,85995.91
NY Metro_2,1999,134961.880000,68932.17,84700.85,78001.10
Hawaii/Alaska_1,1999,135811.127500,69817.71,79550.41,79031.70
North Midwest,1999,135001.128333,69098.23,75034.60,72138.63
Mid Atlantic,1999,136004.279166,70124.37,80783.67,75007.96
NY Metro,1999,134319.158333,68447.37,79555.29,74244.37
Hawaii/Alaska,1999,135543.779166,69683.83,85653.81,74599.04
Hawaii/Alaska_1,1999,136402.795833,70606.83,81345.13,84600.26
Pacific Northwest,1999,128690.962500,62982.44,76430.71,73590.14
Pacific Northwest_1,1999,137299.117500,71635.90,82907.43,77494.85
Hawaii/Alaska_1,1999,131101.351666,65451.87,76470.64,72666.43
Mid Atlantic_1,1999,131658.710000,66213.94,74237.67,69392.99
Mid Atlantic_2,1999,136294.464166,70970.63,82771.77,80013.03
Hawaii/Alaska_1,1999,136402.795833,71130.25,80348.78,81345.13
Pacific Northwest,1999,130697.576666,65429.03,75098.96,74908.06
California_1,1999,136551.584166,71287.99,78893.44,81741.32
Pacific Northwest,1999,130008.922500,64853.43,78998.34,78227.83
NY Metro,1999,130420.856666,65278.59,78031.63,76522.30
California_1,1999,136551.584166,71415.50,81741.32,82289.71
Mid Atlantic,1999,141125.724166,76041.44,74881.13,82218.70
Pacific Northwest,1999,132765.306666,67725.33,78684.01,78568.48
North Midwest,1999,140246.030833,75248.12,81253.73,71824.23
NY Metro_2,1999,135640.979166,70677.06,80955.34,78620.93
Mid Atlantic_2,1999,136014.315000,71078.74,82068.62,78493.56
Pacific Northwest,1999,130924.498333,66004.86,82033.43,79061.68
NY Metro_2,1999,131259.910833,66438.73,74661.25,75935.51
California,1999,138722.613333,73952.97,85833.83,83803.16
Hawaii/Alaska,1999,136138.818333,71494.52,77797.01,79009.64
Mid Atlantic_1,1999,133932.248333,69296.04,77358.50,74758.17
NY Metro_2,1999,134594.210000,70007.33,78425.30,75432.77
NY Metro,1999,133551.328333,68969.55,80808.53,76381.21
NY Metro,1999,134843.435000,70304.80,78626.35,74887.30
Mid Atlantic_1,1999,131241.253333,66839.00,79874.97,73630.83
Pacific Northwest,1999,135950.088333,71559.59,79196.01,75609.58
California,1999,131609.352500,67241.14,79475.97,73398.03
Mid Atlantic,1999,127262.825833,63017.12,74900.88,73019.54
California,1999,133031.245000,68810.92,78227.95,75528.71
Pacific Northwest,1999,129242.782500,65043.90,77216.14,72535.53
NY Metro,1999,133607.120833,69411.48,80916.92,73957.71
Pacific Northwest,1999,133163.375000,69012.43,74917.79,77667.96
North Midwest_2,1999,135059.480000,70920.33,77577.52,76783.99
Mid Atlantic_1,1999,127242.102500,63115.37,77789.73,73174.31
California,1999,137371.182500,73247.98,80661.29,78817.71
Mid Atlantic_2,1999,134142.098333,70083.83,78964.09,80670.42
Pacific Northwest,1999,135741.543333,71683.56,82100.73,73315.74
NY Metro_1,1999,133802.450000,69777.67,80630.84,75124.39
Mid Atlantic_1,1999,135904.355833,71886.86,76445.07,75317.64
North Midwest,1999,131278.326666,67282.12,79010.48,71704.09
Pacific Northwest,1999,140332.795833,76336.71,84284.37,82247.96
NY Metro,1999,129293.190000,65322.93,77470.13,74886.62
