s_store_name1,s_store_id1,d_week_seq1,y.sun_sales1 / x.sun_sales2,y.mon_sales1 / x.mon_sales2,y.tue_sales1 / x.tue_sales2,y.wed_sales1 / x.wed_sales2,y.thu_sales1 / x.thu_sales2,y.fri_sales1 / x.fri_sales2,y.sat_sales1 / x.sat_sales2
able,AAAAAAAAABBAAAAA,5144,1.18,1.94,1.27,0.94,1.04,0.80,0.94
able,AAAAAAAAABBAAAAA,5144,1.18,1.94,1.27,0.94,1.04,0.80,0.94
able,AAAAAAAAABBAAAAA,5144,1.18,1.94,1.27,0.94,1.04,0.80,0.94
able,AAAAAAAAABBAAAAA,5144,1.18,1.94,1.27,0.94,1.04,0.80,0.94
able,AAAAAAAAABBAAAAA,5144,1.18,1.94,1.27,0.94,1.04,0.80,0.94
able,AAAAAAAAABBAAAAA,5144,1.18,1.94,1.27,0.94,1.04,0.80,0.94
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
able,AAAAAAAAABBAAAAA,5145,0.99,0.89,1.07,1.22,0.81,1.05,0.86
