s_store_name,i_item_desc,revenue,i_current_price,i_wholesale_cost,i_brand
able,A,3.02,8.07,5.64,importoexporti #2
able,A,0.86,8.79,6.76,importoedu pack #2
able,A,8.92,6.54,2.41,exportimaxi #5
able,A,5.61,33.36,27.02,importoimporto #1
able,A,3.80,4.02,3.25,importobrand #3
able,A,8.36,8.79,6.76,importoedu pack #2
able,A,2.05,6.73,4.17,namelessbrand #5
able,A,5.44,8.12,2.43,amalgamalg #1
able,A,8.36,4.87,1.70,amalgmaxi #3
able,A,2.10,4.02,3.25,importobrand #3
able,A,3.63,8.07,5.64,importoexporti #2
able,A,0.73,1.32,0.99,edu packexporti #1
able,A,2.67,0.24,0.20,scholarbrand #5
able,A,9.06,3.48,1.56,exportiamalg #1
able,A,9.53,8.79,6.76,importoedu pack #2
able,A,5.54,3.63,5.60,brandbrand #4
able,A,4.24,6.54,2.41,exportimaxi #5
able,A,4.24,3.89,3.11,importobrand #3
able,A,0.00,3.66,1.13,brandnameless #1
able,A,0.00,9.75,7.11,exporticorp #3
able,A,0.95,4.37,3.84,amalgbrand #3
able,A,0.00,3.66,1.13,brandnameless #1
able,A,3.27,6.61,4.17,edu packedu pack #2
able,A,1.11,3.48,1.56,exportiamalg #1
able,A,0.37,8.05,4.18,corpnameless #4
able,A,7.87,1.20,1.02,importoimporto #2
able,A,4.69,8.12,2.43,amalgamalg #1
able,A,2.49,8.13,7.31,edu packamalgamalg #17
able,A,0.92,3.59,1.61,importoexporti #1
able,A,0.37,0.24,0.20,scholarbrand #5
able,A,8.17,3.59,2.76,edu packamalg #2
able,A,0.27,1.84,1.50,importoscholar #1
able,A,0.61,6.73,4.17,namelessbrand #5
able,A,4.81,33.36,27.02,importoimporto #1
able,A,9.06,4.87,1.70,amalgmaxi #3
able,A,2.17,0.43,3.84,scholarmaxi #4
able,A,0.00,6.78,5.69,importoamalg #1
able,A,5.66,4.02,3.25,importobrand #3
able,A,0.54,9.42,7.06,exportischolar #2
able,A,4.29,4.87,1.70,amalgmaxi #3
able,A,8.39,3.48,1.56,exportiamalg #1
able,A,3.33,4.37,3.84,amalgbrand #3
able,A,5.76,4.37,3.84,amalgbrand #3
able,A,1.75,8.07,5.64,importoexporti #2
able,A,7.39,0.38,0.25,exportiimporto #1
able,A,2.24,8.07,5.64,importoexporti #2
able,A,0.89,8.05,4.18,corpnameless #4
able,A,0.00,9.42,7.06,exportischolar #2
able,A,3.81,8.39,6.29,amalgamalg #1
able,A,6.31,0.38,0.25,exportiimporto #1
able,A,1.45,8.01,4.00,importoimporto #2
able,A,6.67,9.42,7.06,exportischolar #2
able,A,0.78,3.23,2.22,edu packedu pack #1
able,A,1.97,1.84,1.50,importoscholar #1
able,A,2.46,1.84,1.50,importoscholar #1
able,A,3.09,4.37,3.84,amalgbrand #3
able,A,6.89,6.21,3.97,amalgscholar #2
able,A,8.85,4.87,1.70,amalgmaxi #3
able,A,1.79,3.48,1.56,exportiamalg #1
able,A,8.51,0.43,3.84,scholarmaxi #4
able,A,2.30,3.66,1.13,brandnameless #1
able,"A bit good children used to support upper, agricultural properties. Late, arab variations may draw magistrates; very newspapers kill here in a be",9.38,8.55,4.70,importoscholar #2
able,"A bit good children used to support upper, agricultural properties. Late, arab variations may draw magistrates; very newspapers kill here in a be",0.61,8.55,4.70,importoscholar #2
able,"A bit good children used to support upper, agricultural properties. Late, arab variations may draw magistrates; very newspapers kill here in a be",3.80,8.55,4.70,importoscholar #2
able,"A bit little earnings phone indeed local, pure systems; courses shall write. Great, central claims use here social details. Others learn. Just british efforts get to a parents. Difficult products ",0.73,2.87,1.89,edu packscholar #1
able,"A bit little earnings phone indeed local, pure systems; courses shall write. Great, central claims use here social details. Others learn. Just british efforts get to a parents. Difficult products ",9.25,2.87,1.89,edu packscholar #1
able,"A bit national children cannot tell even rich dangers. Little things ought to take hopefully by a advantages. Italian, innocent depths examine here relatively large levels. Group",8.95,1.90,1.08,edu packedu pack #1
able,"A bit national children cannot tell even rich dangers. Little things ought to take hopefully by a advantages. Italian, innocent depths examine here relatively large levels. Group",5.15,1.90,1.08,edu packedu pack #1
able,"A bit national children cannot tell even rich dangers. Little things ought to take hopefully by a advantages. Italian, innocent depths examine here relatively large levels. Group",7.08,1.90,1.08,edu packedu pack #1
able,"A bit national children cannot tell even rich dangers. Little things ought to take hopefully by a advantages. Italian, innocent depths examine here relatively large levels. Group",4.39,1.90,1.08,edu packedu pack #1
able,A bit normal years could allow residential children. Usually dead representations go during a atte,9.61,9.23,3.96,importoexporti #2
able,A bit normal years could allow residential children. Usually dead representations go during a atte,2.67,9.23,3.96,importoexporti #2
able,A bit normal years could allow residential children. Usually dead representations go during a atte,3.79,9.23,3.96,importoexporti #2
able,A bit red walls may appeal occasionally ordinary additional citizens. So western players shall go formally ch,5.92,2.87,2.09,edu packscholar #2
able,A bit young police try evil levels; new quarters tel,9.04,6.24,3.80,exportimaxi #6
