w_warehouse_name,w_warehouse_sq_ft,w_city,w_county,w_state,w_country,ship_carriers,year,jan_sales,feb_sales,mar_sales,apr_sales,may_sales,jun_sales,jul_sales,aug_sales,sep_sales,oct_sales,nov_sales,dec_sales,jan_sales_per_sq_foot,feb_sales_per_sq_foot,mar_sales_per_sq_foot,apr_sales_per_sq_foot,may_sales_per_sq_foot,jun_sales_per_sq_foot,jul_sales_per_sq_foot,aug_sales_per_sq_foot,sep_sales_per_sq_foot,oct_sales_per_sq_foot,nov_sales_per_sq_foot,dec_sales_per_sq_foot,jan_net,feb_net,mar_net,apr_net,may_net,jun_net,jul_net,aug_net,sep_net,oct_net,nov_net,dec_net
Bad cards must make.,621234,Oakland,Richland County,OH,United States,"ZHOU,MSC",2000,945348017.24,909381877.71,959491811.95,930433511.26,918125535.69,931743258.76,975992853.58,2170302151.10,2107798850.97,2182497448.23,3126916503.02,3322388942.97,1521.7261406169013,1463.8314672249104,1544.4933985422560,1497.7182692190061,1477.9061282705066,1499.8265689901067,1571.0551154315443,3493.5340807167673,3392.9225557036476,3513.1648432474719,5033.3956335615886,5348.0475037908423,737769417.83,643892269.50,666669187.42,662785692.33,649240108.47,653901630.52,663453509.64,1549097511.85,1466850171.43,1532584548.10,2208053311.15,2337067969.76
Conventional childr,977787,Salem,Barrow County,GA,United States,"ZHOU,MSC",2000,890747979.13,914460805.45,963223025.71,967337585.35,939758828.51,903906638.36,1011738096.43,2183228262.75,2151434042.80,2200945145.27,3194606873.53,3308383036.55,910.9836591507147,935.2351846056452,985.1051667796770,989.3131994493687,961.1079187082667,924.4412518881923,1034.7223847627343,2232.8260272942882,2200.3095181261357,2250.9453953366122,3267.1807597462433,3383.5416471583282,682900786.82,637244901.24,664737658.28,682942812.46,675337916.91,654635524.35,716166877.51,1533681989.80,1507199557.88,1542252276.57,2289703572.83,2367793972.92
Doors canno,294242,Bethel,Barrow County,GA,United States,"ZHOU,MSC",2000,982615557.63,942692511.76,977039030.02,910142341.52,986341165.57,956247627.81,952077049.25,2214069362.25,2121818783.29,2133605561.94,3178120287.92,3347588656.91,3339.4809633906784,3203.7999733552654,3320.5287824987601,3093.1761662848949,3352.1426770141580,3249.8678904099351,3235.6939160622891,7524.6544077663966,7211.1349953099827,7251.1931061507190,10801.0422982443015,11376.9912415970542,747834800.07,662594116.57,687412165.00,653372534.38,679703374.59,673045507.41,691767243.08,1526388367.77,1530130266.02,1525834110.71,2284694376.22,2358835770.55
"Friendly, suitable ",863277,New Hope,Barrow County,GA,United States,"ZHOU,MSC",2000,947007303.07,873007233.25,925153441.51,883143002.57,948391596.32,932746106.88,981270097.17,2234738418.76,2094174628.59,2192329274.77,3203803289.75,3307418826.76,1096.9912358026451,1011.2712759056479,1071.6762308158331,1023.0123153634347,1098.5947689096315,1080.4713978016325,1136.6804596554756,2588.6690121015621,2425.8431865901674,2539.5432459917269,3711.2112216009462,3831.2370499387799,726354016.83,648006555.52,688406256.36,649233572.46,671324344.72,664913800.65,683053889.10,1558072600.70,1463791481.92,1520491931.03,2227101884.89,2355894309.29
Important dem,185634,Pleasant Hill,Daviess County,MO,United States,"ZHOU,MSC",2000,955634307.72,902153550.59,933041943.85,930940706.53,988538519.20,931246136.72,950579404.27,2247320737.27,2060131055.92,2209720217.83,3101944912.56,3293579197.10,5147.9486932350753,4859.8508386933434,5026.2448896753821,5014.9256414773150,5325.2018444896946,5016.5709768684622,5120.7182104032671,12106.1914157428062,11097.8110471142129,11903.6395155521099,16710.0041617376119,17742.3273597509065,733941406.48,624898399.00,679682908.21,650656856.51,706625338.76,653904093.21,654536902.92,1544790095.57,1476384574.05,1574333247.65,2186574095.94,2270112344.67
Important issues liv,138504,Fairview,Franklin Parish,LA,United States,"ZHOU,MSC",2000,961519626.12,889651523.49,961293909.12,950362096.55,947156244.23,982987547.62,964932554.64,2101350002.29,2122080208.55,2210222772.41,3268165002.64,3276155974.60,6942.1794758274130,6423.2911936839374,6940.5497972621734,6861.6220221076650,6838.4757424334318,7097.1780426558084,6966.8208473401492,15171.7640089094904,15321.4362657396180,15957.8262895656448,23596.1777467798762,23653.8726289493436,753364728.23,648996120.37,685038641.43,659206850.23,677616190.39,680419258.35,696721272.04,1483000569.98,1508096776.84,1545067572.66,2233204997.61,2305932779.01
"Local, mass universi",838797,Bethel,Ziebach County,SD,United States,"ZHOU,MSC",2000,973090499.06,930204494.18,934710964.73,926849920.54,976528621.26,931416068.96,957339694.28,2199979941.31,2170460396.56,2202566924.98,3201520641.50,3354491837.29,1160.1025028224946,1108.9745125220999,1114.3470526599403,1104.9752449519966,1164.2013756129313,1110.4189320658038,1141.3246521864052,2622.7799352048234,2587.5872190291573,2625.8640946259942,3816.8003003110408,3999.1700462567221,726630766.82,646469036.31,671734850.02,652878330.79,665010857.60,658646766.03,675630820.99,1549823504.85,1518105658.45,1564617273.84,2238965429.73,2355990027.26
"National, comple",914242,Liberty,Barrow County,GA,United States,"ZHOU,MSC",2000,1005953741.27,895262150.63,968507339.63,930165732.59,947311169.14,918463341.41,991669236.50,2164992432.61,2099551066.20,2202089299.30,3202224020.09,3331114044.94,1100.3145133017298,979.2397971543637,1059.3555531576977,1017.4174152904812,1036.1711331791801,1004.6173129324621,1084.6900891667634,2368.0736966908102,2296.4937797650949,2408.6503347035030,3502.5999900354609,3643.5801953312143,756999953.30,642370208.92,689295238.65,635351701.21,625963172.32,673118109.87,682816314.16,1530117482.98,1505765722.36,1542054159.31,2295827295.73,2370436423.19
New proceedings fo,926078,Union,Fairfield County,SC,United States,"ZHOU,MSC",2000,955103761.76,888264119.43,936281376.84,941011558.94,957449313.34,905280520.67,952729490.64,2123404282.31,2124479354.24,2256971639.97,3252268094.22,3411242886.00,1031.3426749798611,959.1677152788426,1011.0178374175825,1016.1255951874464,1033.8754547025195,977.5424107580570,1028.7788832474153,2292.9000389923962,2294.0609260127113,2437.1290970846949,3511.8727517768483,3683.5373327084760,710434146.07,630832208.33,673861434.56,663999221.42,697904520.02,635803736.25,711065734.84,1468759547.22,1551643634.41,1556846689.10,2288484773.49,2374895021.56
"New, net purposes",758375,Union,Franklin Parish,LA,United States,"ZHOU,MSC",2000,932054458.32,902148058.75,1003996718.66,890125610.30,942613071.11,856118745.95,931686750.94,2185997494.80,2172483185.06,2184848528.16,3237197313.66,3230360246.04,1229.0152738684686,1189.5804301961431,1323.8789763111917,1173.7275230591726,1242.9379543233888,1128.8857701664743,1228.5304116565023,2882.4756812922370,2864.6555926289762,2880.9606436921046,4268.5970841074663,4259.5816661150485,692759272.98,599308225.30,707586383.02,643200193.14,684701923.00,618056153.00,668800702.01,1527485584.31,1483880000.64,1555544655.89,2258821298.70,2295026567.06
