i_category,i_class,i_brand,i_product_name,d_year,d_qoy,d_moy,s_store_id,sumsales,rk
Books,arts,amalgmaxi #12,,,,,,105499088.55,43
Books,arts,amalgmaxi #2,,,,,,99352540.55999999,58
Books,arts,amalgmaxi #3,,,,,,65798596.970000006,85
Books,arts,amalgmaxi #6,,,,,,95254032.44,68
Books,arts,amalgmaxi #8,,,,,,101303083.36000001,52
Books,arts,,,,,,,615719075.9799997,12
Books,business,importomaxi #12,,,,,,110438589.41999999,34
Books,business,importomaxi #2,,,,,,94343044.19,71
Books,business,importomaxi #3,,,,,,64247978.050000004,87
Books,business,importomaxi #6,,,,,,82454159.11,81
Books,business,importomaxi #8,,,,,,95215459.13000003,69
Books,business,,,,,,,592489218.87,16
Books,computers,exportimaxi #12,,,,,,120463144.77000001,22
Books,computers,exportimaxi #2,,,,,,99040428.96999997,60
Books,computers,exportimaxi #6,,,,,,94344762.21000001,70
Books,computers,exportimaxi #8,,,,,,104125464.75999999,47
Books,computers,,,,,,,610434010.5600001,13
Books,cooking,amalgunivamalg #12,,,,,,103573252.78000003,49
Books,cooking,amalgunivamalg #2,,,,,,95890187.71000004,66
Books,cooking,amalgunivamalg #3,,,,,,56699725.510000005,96
Books,cooking,amalgunivamalg #6,,,,,,124973545.66,19
Books,cooking,amalgunivamalg #8,,,,,,92311410.96000002,73
Books,cooking,,,,,,,620469432.68,10
Books,entertainments,edu packmaxi #12,,,,,,127345092.51000002,18
Books,entertainments,edu packmaxi #2,,,,,,114014100.79999998,28
Books,entertainments,edu packmaxi #3,,,,,,60051896.06,92
Books,entertainments,edu packmaxi #6,,,,,,103633100.88000003,48
Books,entertainments,edu packmaxi #8,,,,,,96473614.37999998,63
Books,entertainments,,,,,,,647402603.65,4
Books,fiction,scholarunivamalg #12,,,,,,114672516.08,27
Books,fiction,scholarunivamalg #2,,,,,,106278752.63000003,41
Books,fiction,scholarunivamalg #6,,,,,,112318487.09000002,32
Books,fiction,scholarunivamalg #8,,,,,,113602588.42000003,30
Books,fiction,scholarunivamalg #9,,,,,,55403955.059999995,100
Books,fiction,,,,,,,656893322.8099997,2
Books,history,scholarmaxi #12,,,,,,109756896.55000003,36
Books,history,scholarmaxi #2,,,,,,95312038.72,67
Books,history,scholarmaxi #3,,,,,,63477353.89000001,88
Books,history,scholarmaxi #6,,,,,,107529883.47000003,39
Books,history,scholarmaxi #8,,,,,,118049235.73999998,26
Books,history,scholarmaxi #9,,,,,,64918378.43000001,86
Books,history,,,,,,,654194603.4099997,3
Books,home repair,importounivamalg #12,,,,,,96304384.52000003,65
Books,home repair,importounivamalg #2,,,,,,119800710.12999994,24
Books,home repair,importounivamalg #6,,,,,,90688228.38000003,76
Books,home repair,importounivamalg #8,,,,,,122245590.99000002,21
Books,home repair,,,,,,,624189344.2400002,8
Books,mystery,corpunivamalg #12,,,,,,108014443.10999994,38
Books,mystery,corpunivamalg #2,,,,,,100904826.42000003,54
Books,mystery,corpunivamalg #3,,,,,,56312716.12000003,98
Books,mystery,corpunivamalg #6,,,,,,82890030.03999998,80
Books,mystery,corpunivamalg #8,,,,,,97633167.47000003,61
Books,mystery,,,,,,,589069171.2699999,17
Books,parenting,corpmaxi #12,,,,,,104495815.09999998,45
Books,parenting,corpmaxi #2,,,,,,105332604.5,44
Books,parenting,corpmaxi #3,,,,,,55875770.6,99
Books,parenting,corpmaxi #6,,,,,,99761427.89999998,57
Books,parenting,corpmaxi #8,,,,,,101713830.25,51
Books,parenting,corpmaxi #9,,,,,,62966632.480000004,89
Books,parenting,,,,,,,620590463.6700002,9
Books,reference,brandmaxi #12,,,,,,103147023.28999999,50
Books,reference,brandmaxi #2,,,,,,92555578.56,72
Books,reference,brandmaxi #3,,,,,,66424963.88000001,84
Books,reference,brandmaxi #6,,,,,,101136500.43000005,53
Books,reference,brandmaxi #8,,,,,,124873752.59999996,20
