cd_gender,cd_marital_status,cd_education_status,cnt1,cd_purchase_estimate,cnt2,cd_credit_rating,cnt3
F,D,2 yr Degree,9,500,9,Good,9
F,D,2 yr Degree,9,500,9,High Risk,9
F,D,2 yr Degree,12,500,12,Low Risk,12
F,D,2 yr Degree,10,500,10,Unknown,10
F,D,2 yr Degree,8,1000,8,Good,8
F,D,2 yr Degree,11,1000,11,High Risk,11
F,D,2 yr Degree,6,1000,6,Low Risk,6
F,D,2 yr Degree,10,1000,10,Unknown,10
F,D,2 yr Degree,7,1500,7,Good,7
F,D,2 yr Degree,17,1500,17,High Risk,17
F,D,2 yr Degree,8,1500,8,Low Risk,8
F,D,2 yr Degree,11,1500,11,Unknown,11
F,D,2 yr Degree,9,2000,9,Good,9
F,D,2 yr Degree,12,2000,12,High Risk,12
F,D,2 yr Degree,13,2000,13,Low Risk,13
F,D,2 yr Degree,13,2000,13,Unknown,13
F,D,2 yr Degree,11,2500,11,Good,11
F,D,2 yr Degree,5,2500,5,High Risk,5
F,D,2 yr Degree,12,2500,12,Low Risk,12
F,D,2 yr Degree,15,2500,15,Unknown,15
F,D,2 yr Degree,13,3000,13,Good,13
F,D,2 yr Degree,9,3000,9,High Risk,9
F,D,2 yr Degree,13,3000,13,Low Risk,13
F,D,2 yr Degree,7,3000,7,Unknown,7
F,D,2 yr Degree,11,3500,11,Good,11
F,D,2 yr Degree,13,3500,13,High Risk,13
F,D,2 yr Degree,11,3500,11,Low Risk,11
F,D,2 yr Degree,8,3500,8,Unknown,8
F,D,2 yr Degree,13,4000,13,Good,13
F,D,2 yr Degree,6,4000,6,High Risk,6
F,D,2 yr Degree,18,4000,18,Low Risk,18
F,D,2 yr Degree,14,4000,14,Unknown,14
F,D,2 yr Degree,7,4500,7,Good,7
F,D,2 yr Degree,5,4500,5,High Risk,5
F,D,2 yr Degree,10,4500,10,Low Risk,10
F,D,2 yr Degree,12,4500,12,Unknown,12
F,D,2 yr Degree,6,5000,6,Good,6
F,D,2 yr Degree,7,5000,7,High Risk,7
F,D,2 yr Degree,5,5000,5,Low Risk,5
F,D,2 yr Degree,11,5000,11,Unknown,11
F,D,2 yr Degree,5,5500,5,Good,5
F,D,2 yr Degree,18,5500,18,High Risk,18
F,D,2 yr Degree,11,5500,11,Low Risk,11
F,D,2 yr Degree,12,5500,12,Unknown,12
F,D,2 yr Degree,12,6000,12,Good,12
F,D,2 yr Degree,8,6000,8,High Risk,8
F,D,2 yr Degree,14,6000,14,Low Risk,14
F,D,2 yr Degree,13,6000,13,Unknown,13
F,D,2 yr Degree,18,6500,18,Good,18
F,D,2 yr Degree,11,6500,11,High Risk,11
F,D,2 yr Degree,12,6500,12,Low Risk,12
F,D,2 yr Degree,12,6500,12,Unknown,12
F,D,2 yr Degree,5,7000,5,Good,5
F,D,2 yr Degree,8,7000,8,High Risk,8
F,D,2 yr Degree,14,7000,14,Low Risk,14
F,D,2 yr Degree,8,7000,8,Unknown,8
F,D,2 yr Degree,11,7500,11,Good,11
F,D,2 yr Degree,21,7500,21,High Risk,21
F,D,2 yr Degree,10,7500,10,Low Risk,10
F,D,2 yr Degree,9,7500,9,Unknown,9
F,D,2 yr Degree,10,8000,10,Good,10
F,D,2 yr Degree,6,8000,6,High Risk,6
F,D,2 yr Degree,14,8000,14,Low Risk,14
F,D,2 yr Degree,10,8000,10,Unknown,10
F,D,2 yr Degree,18,8500,18,Good,18
F,D,2 yr Degree,16,8500,16,High Risk,16
F,D,2 yr Degree,8,8500,8,Low Risk,8
F,D,2 yr Degree,17,8500,17,Unknown,17
F,D,2 yr Degree,12,9000,12,Good,12
F,D,2 yr Degree,7,9000,7,High Risk,7
F,D,2 yr Degree,12,9000,12,Low Risk,12
F,D,2 yr Degree,11,9000,11,Unknown,11
F,D,2 yr Degree,11,9500,11,Good,11
F,D,2 yr Degree,9,9500,9,High Risk,9
F,D,2 yr Degree,14,9500,14,Low Risk,14
F,D,2 yr Degree,13,9500,13,Unknown,13
F,D,2 yr Degree,8,10000,8,Good,8
F,D,2 yr Degree,18,10000,18,High Risk,18
F,D,2 yr Degree,11,10000,11,Low Risk,11
F,D,2 yr Degree,9,10000,9,Unknown,9
F,D,4 yr Degree,10,500,10,Good,10
F,D,4 yr Degree,16,500,16,High Risk,16
F,D,4 yr Degree,13,500,13,Low Risk,13
F,D,4 yr Degree,13,500,13,Unknown,13
F,D,4 yr Degree,19,1000,19,Good,19
F,D,4 yr Degree,6,1000,6,High Risk,6
F,D,4 yr Degree,9,1000,9,Low Risk,9
F,D,4 yr Degree,10,1000,10,Unknown,10
F,D,4 yr Degree,8,1500,8,Good,8
F,D,4 yr Degree,12,1500,12,High Risk,12
F,D,4 yr Degree,10,1500,10,Low Risk,10
F,D,4 yr Degree,7,1500,7,Unknown,7
F,D,4 yr Degree,10,2000,10,Good,10
F,D,4 yr Degree,10,2000,10,High Risk,10
F,D,4 yr Degree,10,2000,10,Low Risk,10
F,D,4 yr Degree,11,2000,11,Unknown,11
F,D,4 yr Degree,10,2500,10,Good,10
F,D,4 yr Degree,10,2500,10,High Risk,10
F,D,4 yr Degree,8,2500,8,Low Risk,8
F,D,4 yr Degree,10,2500,10,Unknown,10
