prev_year,year,i_brand_id,i_class_id,i_category_id,i_manufact_id,prev_yr_cnt,curr_yr_cnt,sales_cnt_diff,sales_amt_diff
1999,2000,4003001,3,4,325,351725,2535,-349190,-15256039.880000003
1999,2000,4002001,2,4,145,408835,91398,-317437,-14167460.5
1999,2000,4004001,4,4,304,314431,1529,-312902,-13898415.25
1999,2000,4001001,1,4,25,354137,45907,-308230,-13464183.099999998
1999,2000,4004001,4,4,1,417869,134412,-283457,-12584519.670000002
1999,2000,4003001,3,4,115,358914,90036,-268878,-11387704.610000001
1999,2000,4003001,3,4,297,325016,88444,-236572,-10612450.280000001
1999,2000,4003001,3,4,3,321067,92014,-229053,-10099555.89
1999,2000,4002001,2,4,295,230073,1669,-228404,-9695025.07
1999,2000,4004001,4,4,609,229081,894,-228187,-9716333.8
1999,2000,4004001,4,4,147,228938,807,-228131,-9990977.320000002
1999,2000,4003001,3,4,177,226202,717,-225485,-9843739.979999999
1999,2000,4003001,3,4,158,359146,133989,-225157,-9990879.78
1999,2000,4003001,3,4,36,362143,137530,-224613,-10140435.129999999
1999,2000,4004001,4,4,32,224388,1344,-223044,-9721129.209999999
1999,2000,4004001,4,4,186,267686,48094,-219592,-9725916.47
1999,2000,4001001,1,4,44,310735,95769,-214966,-9223396.889999999
1999,2000,4003001,3,4,331,263303,49116,-214187,-9466511.62
1999,2000,4001001,1,4,48,307129,95312,-211817,-9348090.760000004
1999,2000,4004001,4,4,58,402466,190730,-211736,-9473182.920000002
1999,2000,4002001,2,4,300,280095,92750,-187345,-8103377.709999999
1999,2000,4001001,1,4,248,186906,460,-186446,-8059533.9399999995
1999,2000,4003001,3,4,97,187187,975,-186212,-8542757.360000001
1999,2000,4004001,4,4,248,230959,45421,-185538,-8191566.010000003
1999,2000,4001001,1,4,131,277441,92183,-185258,-8132745.7299999995
1999,2000,4003001,3,4,267,184893,887,-184006,-8017313.25
1999,2000,4003001,3,4,200,227191,43483,-183708,-8034267.54
1999,2000,4001001,1,4,93,228075,44553,-183522,-7611158.449999998
1999,2000,4002001,2,4,107,316872,134229,-182643,-8034233.589999998
1999,2000,4001001,1,4,31,271807,89689,-182118,-8180183.980000001
1999,2000,4004001,4,4,111,274455,92397,-182058,-8329680.310000001
1999,2000,4002001,2,4,88,320777,138808,-181969,-7873534.92
1999,2000,4004001,4,4,46,276191,94265,-181926,-7529897.139999998
1999,2000,4002001,2,4,55,272917,91010,-181907,-8016432.93
1999,2000,4004001,4,4,635,182527,768,-181759,-7735109.53
1999,2000,4004001,4,4,306,228343,46687,-181656,-7943061.81
1999,2000,4002001,2,4,57,181675,405,-181270,-8178097.890000001
1999,2000,4001001,1,4,46,226396,45561,-180835,-7748449.090000004
1999,2000,4001001,1,4,98,271194,90455,-180739,-8157576.539999997
1999,2000,4003001,3,4,184,226371,45678,-180693,-7991419.310000002
1999,2000,4001001,1,4,137,272912,92525,-180387,-7746484.5200000005
1999,2000,4004001,4,4,614,273089,92709,-180380,-7871455.84
1999,2000,4004001,4,4,295,227492,47255,-180237,-7994275.93
1999,2000,4001001,1,4,270,316624,136442,-180182,-7917478.33
1999,2000,4001001,1,4,281,226800,46906,-179894,-8037396.130000001
1999,2000,4003001,3,4,119,269368,89524,-179844,-7525062.169999998
1999,2000,4003001,3,4,44,268456,88624,-179832,-7409423.24
1999,2000,4004001,4,4,267,180508,818,-179690,-7931261.449999999
1999,2000,4004001,4,4,256,227128,47480,-179648,-7550402.190000001
1999,2000,4003001,3,4,535,180486,870,-179616,-8055402.909999999
1999,2000,4001001,1,4,124,226629,47195,-179434,-7700486.510000001
1999,2000,4002001,2,4,82,179880,456,-179424,-7803598.380000001
1999,2000,4001001,1,4,10,225769,46464,-179305,-7983197.75
1999,2000,4003001,3,4,39,358663,179443,-179220,-7703802.539999998
1999,2000,4002001,2,4,642,270810,91843,-178967,-7560410.41
1999,2000,4002001,2,4,189,274866,95968,-178898,-7967375.529999998
1999,2000,4004001,4,4,151,224227,45453,-178774,-7580951.339999999
1999,2000,4002001,2,4,34,224886,46173,-178713,-7730279.120000001
1999,2000,4003001,3,4,173,267319,88914,-178405,-7744270.869999999
1999,2000,4004001,4,4,131,179191,793,-178398,-7591586.949999998
1999,2000,4001001,1,4,191,179161,803,-178358,-7725884.27
1999,2000,4001001,1,4,202,179114,844,-178270,-7761507.930000001
1999,2000,4002001,2,4,239,179009,833,-178176,-7654355.79
1999,2000,4003001,3,4,224,266368,88470,-177898,-7735327.63
1999,2000,4003001,3,4,303,224837,47414,-177423,-7709810.7299999995
1999,2000,4001001,1,4,214,224172,46911,-177261,-7626175.329999999
1999,2000,4002001,2,4,165,365700,188877,-176823,-7572054.750000002
1999,2000,4004001,4,4,81,176929,393,-176536,-7974589.890000001
1999,2000,4001001,1,4,333,225189,48980,-176209,-7807980.7700000005
1999,2000,4001001,1,4,287,270454,94407,-176047,-7607966.960000001
1999,2000,4004001,4,4,291,224006,48539,-175467,-7683962.120000002
1999,2000,4004001,4,4,22,267490,92656,-174834,-7917438.280000001
