"substr(reason.r_reason_desc,Int64(1),Int64(20))",AVG(web_sales.ws_quantity),AVG(web_returns.wr_refunded_cash),AVG(web_returns.wr_fee)
Did not fit,24.0,298.730000,24.010000
Did not get it on ti,8.5,188.520000,64.360000
Did not like the col,20.8,603.840000,60.248000
Did not like the mak,26.5,382.570000,54.985000
Did not like the mod,45.333333333333336,654.213333,58.393333
Did not like the war,5.5,131.490000,38.420000
Does not work with a,16.333333333333332,214.195000,62.415000
Found a better exten,4.0,171.295000,31.685000
Found a better price,50.5,886.385000,59.930000
Gift exchange,34.0,1012.533333,24.026666
Lost my job,14.0,67.490000,80.430000
No service location ,40.25,98.642500,23.822500
Not the product that,91.0,64.780000,96.440000
Not working any more,31.333333333333332,792.306666,49.953333
Package was damaged,48.5,1075.475000,31.975000
Parts missing,40.8,590.336000,33.058000
Stopped working,70.0,438.030000,56.730000
Wrong size,41.2,901.396000,52.032000
duplicate purchase,69.0,2313.360000,72.980000
it is a girl,11.0,160.330000,33.600000
its is a boy,15.0,357.400000,62.000000
reason 23,22.125,171.751250,43.468750
reason 24,21.428571428571427,520.298333,61.947142
reason 25,9.5,111.725000,60.795000
reason 26,21.5,722.242500,55.565000
reason 27,9.75,109.572500,62.337500
reason 28,29.333333333333332,1370.576666,29.573333
reason 29,25.75,378.215000,59.452500
reason 31,25.09090909090909,613.228181,52.550000
reason 32,23.0,653.640000,47.223333
reason 33,16.0,544.995000,50.635000
reason 34,10.0,153.400000,28.485000
reason 35,19.5,377.175000,14.175000
reason 36,21.0,659.853333,49.903333
reason 37,47.333333333333336,658.996666,38.403333
reason 38,22.5,695.420000,84.920000
reason 39,6.2,85.860000,54.412000
reason 40,35.0,193.395000,47.315000
reason 41,19.0,179.022500,51.020000
reason 42,26.5,315.591250,83.695000
reason 43,8.25,416.560000,50.910000
reason 44,59.0,1370.695000,20.955000
reason 45,48.0,153.705000,56.935000
reason 46,21.333333333333332,295.545000,52.101666
reason 47,14.0,189.260000,62.210000
reason 48,34.5,870.570000,56.140000
reason 49,34.0,564.630000,57.442000
reason 50,6.0,207.263333,65.906666
reason 51,18.666666666666668,268.790000,55.946666
reason 52,33.857142857142854,302.287142,56.940000
reason 53,34.333333333333336,740.706666,46.253333
reason 54,55.0,515.940000,45.800000
reason 55,46.0,539.660000,37.590000
unauthoized purchase,14.6,274.416000,52.656000
