i_category,i_class,i_brand,s_store_name,s_company_name,d_moy,sum_sales,avg_monthly_sales
Women,fragrances,importoamalg #2,bar,Unknown,2,295384.94,562442.703333
Shoes,athletic,edu packedu pack #2,bar,Unknown,2,295042.13,561700.945000
Shoes,athletic,edu packedu pack #2,eing,Unknown,2,293139.22,558357.048333
Shoes,athletic,edu packedu pack #2,able,Unknown,2,296450.94,560889.637500
Music,country,importoscholar #2,able,Unknown,2,297860.34,561258.602500
Children,toddlers,exportiexporti #2,eing,Unknown,2,305085.13,565837.630000
Music,country,importoscholar #2,bar,Unknown,2,297699.74,558189.272500
Children,toddlers,exportiexporti #2,bar,Unknown,2,306123.55,566238.494166
Women,fragrances,importoamalg #2,able,Unknown,2,301872.51,561897.422500
Children,toddlers,exportiexporti #2,able,Unknown,2,305910.95,565032.450000
Music,country,importoscholar #2,eing,Unknown,2,305520.97,562418.141666
Women,fragrances,importoamalg #2,eing,Unknown,2,305859.62,562368.475833
Children,toddlers,exportiexporti #2,cally,Unknown,2,268955.40,521104.847500
Women,fragrances,importoamalg #2,bar,Unknown,4,310915.44,562442.703333
Women,fragrances,importoamalg #2,ese,Unknown,2,293302.05,542555.896666
Music,country,importoscholar #2,ese,Unknown,2,293720.28,541589.160833
Shoes,athletic,edu packedu pack #2,able,Unknown,6,313149.73,560889.637500
Music,country,importoscholar #2,able,Unknown,6,313727.50,561258.602500
Music,country,importoscholar #2,eing,Unknown,3,315435.83,562418.141666
Women,fragrances,importoamalg #2,eing,Unknown,3,315418.88,562368.475833
Children,toddlers,exportiexporti #2,eing,Unknown,3,319208.16,565837.630000
Children,toddlers,exportiexporti #2,able,Unknown,6,318769.39,565032.450000
Children,toddlers,exportiexporti #2,ese,Unknown,2,296841.61,542724.447500
Women,fragrances,importoamalg #2,able,Unknown,6,316474.01,561897.422500
Shoes,athletic,edu packedu pack #2,bar,Unknown,4,316944.12,561700.945000
Children,toddlers,exportiexporti #2,bar,Unknown,6,322281.89,566238.494166
Music,country,importoscholar #2,eing,Unknown,4,318830.64,562418.141666
Music,country,importoscholar #2,able,Unknown,4,318365.08,561258.602500
Children,toddlers,exportiexporti #2,able,Unknown,3,322172.71,565032.450000
