ss_customer_sk,sumsales
3,0.00
18,0.00
154,0.00
526,0.00
646,0.00
788,0.00
795,0.00
968,0.00
1078,0.00
1257,0.00
1283,0.00
1308,0.00
1393,0.00
1595,0.00
1604,0.00
1732,0.00
1899,0.00
2159,0.00
2222,0.00
2224,0.00
2249,0.00
2358,0.00
2359,0.00
2382,0.00
2517,0.00
2721,0.00
2749,0.00
2911,0.00
2937,0.00
3017,0.00
3151,0.00
3240,0.00
3377,0.00
3394,0.00
3496,0.00
3527,0.00
3676,0.00
3883,0.00
3929,0.00
4026,0.00
4211,0.00
4608,0.00
4654,0.00
4696,0.00
4718,0.00
4776,0.00
4797,0.00
4822,0.00
4873,0.00
4956,0.00
5016,0.00
5029,0.00
5105,0.00
5247,0.00
5316,0.00
5456,0.00
5474,0.00
5614,0.00
5805,0.00
5922,0.00
5923,0.00
6031,0.00
6055,0.00
6295,0.00
6413,0.00
6420,0.00
6514,0.00
6726,0.00
6839,0.00
6882,0.00
7163,0.00
7168,0.00
7263,0.00
7276,0.00
7285,0.00
7340,0.00
7430,0.00
7472,0.00
7536,0.00
7573,0.00
7648,0.00
7751,0.00
7841,0.00
7853,0.00
7888,0.00
7944,0.00
7959,0.00
8071,0.00
8225,0.00
8334,0.00
8343,0.00
8515,0.00
8545,0.00
8583,0.00
8609,0.00
8630,0.00
8657,0.00
8661,0.00
8697,0.00
8741,0.00
