"substr(warehouse.w_warehouse_name,Int64(1),Int64(20))",sm_type,cc_name,30 days,31-60 days,61-90 days,91-120 days,>120 days
Bad cards must make.,EXPRESS,California,8121,8486,8283,0,0
Bad cards must make.,EXPRESS,California_1,8197,8607,8410,0,0
Bad cards must make.,EXPRESS,Hawaii/Alaska,8330,8543,8627,0,0
Bad cards must make.,EXPRESS,Hawaii/Alaska_1,8146,8779,8401,0,0
Bad cards must make.,EXPRESS,Mid Atlantic,8064,8624,8481,0,0
Bad cards must make.,EXPRESS,Mid Atlantic_1,8243,8585,8459,0,0
Bad cards must make.,EXPRESS,Mid Atlantic_2,8275,8636,8449,0,0
Bad cards must make.,EXPRESS,NY Metro,8281,8644,8518,0,0
Bad cards must make.,EXPRESS,NY Metro_1,8282,8517,8568,0,0
Bad cards must make.,EXPRESS,NY Metro_2,8102,8513,8505,0,0
Bad cards must make.,EXPRESS,North Midwest,8062,8599,8389,0,0
Bad cards must make.,EXPRESS,North Midwest_1,8246,8460,8554,0,0
Bad cards must make.,EXPRESS,North Midwest_2,8252,8522,8618,0,0
Bad cards must make.,EXPRESS,Pacific Northwest,8381,8411,8791,0,0
Bad cards must make.,EXPRESS,Pacific Northwest_1,8141,8517,8407,0,0
Bad cards must make.,LIBRARY,California,6253,6326,6363,0,0
Bad cards must make.,LIBRARY,California_1,6242,6239,6430,0,0
Bad cards must make.,LIBRARY,Hawaii/Alaska,6117,6409,6505,0,0
Bad cards must make.,LIBRARY,Hawaii/Alaska_1,6107,6483,6547,0,0
Bad cards must make.,LIBRARY,Mid Atlantic,5970,6296,6399,0,0
Bad cards must make.,LIBRARY,Mid Atlantic_1,6261,6381,6503,0,0
Bad cards must make.,LIBRARY,Mid Atlantic_2,6182,6432,6410,0,0
Bad cards must make.,LIBRARY,NY Metro,6036,6374,6404,0,0
Bad cards must make.,LIBRARY,NY Metro_1,6223,6394,6343,0,0
Bad cards must make.,LIBRARY,NY Metro_2,6131,6443,6380,0,0
Bad cards must make.,LIBRARY,North Midwest,6043,6281,6236,0,0
Bad cards must make.,LIBRARY,North Midwest_1,6129,6326,6266,0,0
Bad cards must make.,LIBRARY,North Midwest_2,6201,6292,6436,0,0
Bad cards must make.,LIBRARY,Pacific Northwest,6250,6415,6387,0,0
Bad cards must make.,LIBRARY,Pacific Northwest_1,6050,6378,6339,0,0
