ty_channel,ty_brand,ty_class,ty_category,ty_sales,ty_number_sales,ly_channel,ly_brand,ly_class,ly_category,ly_sales,ly_number_sales
store,1001001,1,1,63322829.83,17193,store,1001001,1,1,128046024.70,34714
store,1001002,1,1,80938460.09,21898,store,1001002,1,1,65586235.40,17808
store,1002001,2,1,64390800.09,17340,store,1002001,2,1,124027478.45,33653
store,1002002,2,1,84679926.65,22951,store,1002002,2,1,66078526.67,17681
store,1003001,3,1,68552493.60,18501,store,1003001,3,1,130555624.76,35271
store,1003002,3,1,84572664.29,22943,store,1003002,3,1,62919157.77,17137
store,1004001,4,1,64844495.75,17543,store,1004001,4,1,127559685.85,34530
store,1004002,4,1,81475049.83,21950,store,1004002,4,1,67010162.75,18027
store,2001001,1,2,67636274.66,18291,store,2001001,1,2,126794960.80,34638
store,2001002,1,2,86779224.73,23499,store,2001002,1,2,67305090.02,18247
store,2002001,2,2,67123568.05,18125,store,2002001,2,2,125442539.58,33992
store,2002002,2,2,78051639.19,21266,store,2002002,2,2,60056433.01,16381
store,2003001,3,2,64269886.11,17476,store,2003001,3,2,125489917.47,34141
store,2003002,3,2,74697260.07,20202,store,2003002,3,2,58224433.42,15710
store,2004001,4,2,69347636.10,19019,store,2004001,4,2,135222851.66,36721
store,2004002,4,2,79922739.02,21725,store,2004002,4,2,58625952.05,16070
store,3001001,1,3,69032150.41,18538,store,3001001,1,3,129815441.79,35276
store,3001002,1,3,79799869.14,21618,store,3001002,1,3,59536448.97,16173
store,3002001,2,3,67886773.16,18378,store,3002001,2,3,127519527.05,34892
store,3002002,2,3,86770939.95,23372,store,3002002,2,3,63530739.47,17479
store,3003001,3,3,66576387.18,17929,store,3003001,3,3,128357572.95,34657
store,3003002,3,3,87047539.74,23643,store,3003002,3,3,67383209.64,18155
store,3004001,4,3,64170913.25,17614,store,3004001,4,3,125328372.87,34021
store,3004002,4,3,79748357.37,21580,store,3004002,4,3,63186221.26,17012
store,4001001,1,4,68356377.41,18474,store,4001001,1,4,131871872.20,35766
store,4001002,1,4,82349907.59,22292,store,4001002,1,4,63908550.78,17016
store,4002001,2,4,65174628.33,17629,store,4002001,2,4,127444870.13,34505
store,4002002,2,4,78781879.56,21149,store,4002002,2,4,62990801.30,16949
store,4003001,3,4,62568037.39,17048,store,4003001,3,4,128385320.71,34483
store,4003002,3,4,85808941.66,23173,store,4003002,3,4,67402521.91,18376
store,4004001,4,4,68106199.05,18529,store,4004001,4,4,127698652.46,34510
store,4004002,4,4,84452689.30,22732,store,4004002,4,4,64658616.83,17506
store,5001001,1,5,65200584.99,17613,store,5001001,1,5,132468733.35,35960
store,5001002,1,5,83274560.23,22468,store,5001002,1,5,64637097.30,17538
store,5002001,2,5,66843905.54,18220,store,5002001,2,5,130081711.71,35224
store,5002002,2,5,83825022.63,22650,store,5002002,2,5,62800855.33,16959
store,5003001,3,5,61501455.01,16611,store,5003001,3,5,125026656.96,33936
store,5003002,3,5,84779817.21,22964,store,5003002,3,5,66367179.12,17853
store,5004001,4,5,67929358.55,18780,store,5004001,4,5,133011704.05,36015
store,5004002,4,5,86631066.88,23290,store,5004002,4,5,67578464.32,18397
store,6001001,1,6,3780084.52,1013,store,6001001,1,6,7393864.53,2048
store,6001002,1,6,5394845.09,1486,store,6001002,1,6,4667987.05,1257
store,6001003,1,6,3703317.38,993,store,6001003,1,6,6722633.90,1877
store,6001004,1,6,4625618.89,1306,store,6001004,1,6,3694904.44,941
store,6001005,1,6,5040791.18,1332,store,6001005,1,6,8574909.85,2284
store,6001006,1,6,4850851.91,1282,store,6001006,1,6,3699835.88,1068
store,6001007,1,6,4196211.12,1154,store,6001007,1,6,8012062.13,2125
store,6001008,1,6,4769234.73,1415,store,6001008,1,6,3780874.52,1021
store,6002001,2,6,4181149.78,1174,store,6002001,2,6,8803719.31,2332
store,6002002,2,6,3936824.42,1056,store,6002002,2,6,3076260.90,849
store,6002003,2,6,3658782.58,1008,store,6002003,2,6,8025442.56,2141
store,6002004,2,6,4677666.62,1314,store,6002004,2,6,3565461.15,950
store,6002005,2,6,4232239.63,1105,store,6002005,2,6,8576138.75,2276
store,6002006,2,6,4809642.75,1288,store,6002006,2,6,3252498.64,904
store,6002007,2,6,3388450.41,919,store,6002007,2,6,7065444.72,1930
store,6002008,2,6,5402935.23,1475,store,6002008,2,6,4181058.27,1074
store,6003001,3,6,4221617.06,1141,store,6003001,3,6,6872294.68,1924
store,6003002,3,6,3991634.22,1181,store,6003002,3,6,3188902.12,863
store,6003003,3,6,4063614.00,1109,store,6003003,3,6,8794454.20,2351
store,6003004,3,6,5830509.39,1548,store,6003004,3,6,4505266.37,1234
store,6003005,3,6,4991475.65,1361,store,6003005,3,6,9042779.28,2434
store,6003006,3,6,5003167.25,1321,store,6003006,3,6,4056423.12,1066
store,6003007,3,6,4145959.81,1134,store,6003007,3,6,7844464.86,2136
store,6003008,3,6,5926726.23,1583,store,6003008,3,6,4811469.98,1272
store,6004001,4,6,3056530.26,822,store,6004001,4,6,6878246.02,1857
store,6004002,4,6,5027808.55,1341,store,6004002,4,6,3756417.10,1032
store,6004003,4,6,4236018.67,1167,store,6004003,4,6,7924722.81,2174
store,6004004,4,6,5009638.32,1363,store,6004004,4,6,3153561.30,863
store,6004005,4,6,3697162.80,982,store,6004005,4,6,7905746.75,2124
