ca_zip,sum(cs_sales_price)
null,225785.03
30001,2564.02
30008,1602.21
30026,3719.39
30049,487.70
30059,87227.65
30069,92982.69
30116,5894.63
30125,3366.24
30141,4879.24
30149,992.86
30150,84003.48
30162,95437.85
30164,5448.62
30169,76375.49
30191,88576.73
30194,1394.30
30216,2649.13
30238,306.64
30254,349.42
30262,808.14
30268,4309.55
30296,1806.73
30302,6204.66
30309,8550.84
30319,5431.03
30344,4420.79
30348,3267.45
30369,6856.60
30399,81732.89
30407,195.83
30408,1916.35
30411,97194.83
30418,6272.08
30419,4631.00
30451,8123.26
30468,455.42
30481,481.67
30492,5093.78
30499,72928.49
30519,1902.91
30522,898.59
30525,8378.74
30534,86500.36
30540,3407.21
30573,5238.70
30580,280.13
30587,91728.92
30589,4018.99
30618,3399.91
30631,3674.48
30634,2314.55
30635,4508.58
30636,691.48
30702,2500.77
30725,991.63
30732,1989.11
30744,1438.27
30766,4245.70
30852,7286.00
30854,6574.81
30875,465.30
30894,2874.20
30899,5601.70
30913,3739.96
30919,3440.39
30945,387.48
30965,2688.41
30974,403.87
31075,2718.88
31083,4730.13
31087,63427.79
31135,631.22
31143,5274.26
31147,2603.37
31150,654.72
31160,5219.32
31185,452.30
31201,1392.49
31204,6371.17
31206,1392.86
31209,3092.25
31216,5690.86
31218,4046.15
31229,4197.56
31233,1219.44
31289,112565.86
31294,1101.14
31338,1712.73
31383,378.78
31387,96524.46
31398,4237.27
31403,1465.24
31409,2322.25
31421,868.57
31423,6191.14
31453,189.56
31495,685.80
31513,2256.25
31521,76382.00
