i_product_name,i_brand,i_class,i_category,qoh
antieingprin stanti,null,null,null,417.56962025316454
antieingprin stanti,amalgscholar #2,null,null,417.56962025316454
antieingprin stanti,amalgscholar #2,rock,null,417.56962025316454
antieingprin stanti,amalgscholar #2,rock,Music,417.56962025316454
pricallyationantiantiought,null,null,null,428.6599190283401
pricallyationantiantiought,edu packbrand #4,null,null,428.6599190283401
pricallyationantiantiought,edu packbrand #4,estate,null,428.6599190283401
pricallyationantiantiought,edu packbrand #4,estate,Jewelry,428.6599190283401
antiationantibarought,null,null,null,428.7061224489796
antiationantibarought,amalgunivamalg #4,null,null,428.7061224489796
antiationantibarought,amalgunivamalg #4,cooking,null,428.7061224489796
antiationantibarought,amalgunivamalg #4,cooking,Books,428.7061224489796
ationantioughtn stationought,null,null,null,429.97131147540983
ationantioughtn stationought,exportibrand #8,null,null,429.97131147540983
ationantioughtn stationought,exportibrand #8,kids,null,429.97131147540983
ationantioughtn stationought,exportibrand #8,kids,Home,429.97131147540983
ationeingantibarese,null,null,null,430.1404958677686
ationeingantibarese,edu packamalgamalg #9,null,null,430.1404958677686
ationeingantibarese,edu packamalgamalg #9,automotive,null,430.1404958677686
ationeingantibarese,edu packamalgamalg #9,automotive,Electronics,430.1404958677686
oughteingn steseeing,null,null,null,433.8491379310345
oughteingn steseeing,amalgunivamalg #10,null,null,433.8491379310345
oughteingn steseeing,amalgunivamalg #10,cooking,null,433.8491379310345
oughteingn steseeing,amalgunivamalg #10,cooking,Books,433.8491379310345
ationationpricallycallyought,null,null,null,435.0995850622407
ationationpricallycallyought,importobrand #8,null,null,435.0995850622407
ationationpricallycallyought,importobrand #8,bedding,null,435.0995850622407
ationationpricallycallyought,importobrand #8,bedding,Home,435.0995850622407
antiantieingeingpriought,null,null,null,436.69547325102883
antiantieingeingpriought,amalgedu pack #2,null,null,436.69547325102883
antiantieingeingpriought,amalgedu pack #2,womens,null,436.69547325102883
antiantieingeingpriought,amalgedu pack #2,womens,Shoes,436.69547325102883
ationbarableablecallyought,null,null,null,437.01234567901236
ationbarableablecallyought,importounivamalg #11,null,null,437.01234567901236
ationbarableablecallyought,importounivamalg #11,camcorders,null,437.01234567901236
ationbarableablecallyought,importounivamalg #11,camcorders,Electronics,437.01234567901236
oughtprin stbaroughtought,null,null,null,437.502024291498
oughtprin stbaroughtought,corpnameless #2,null,null,437.502024291498
oughtprin stbaroughtought,corpnameless #2,football,null,437.502024291498
oughtprin stbaroughtought,corpnameless #2,football,Sports,437.502024291498
ationcallyationeingeing,null,null,null,437.97119341563786
ationcallyationeingeing,exportiedu pack #2,null,null,437.97119341563786
ationcallyationeingeing,exportiedu pack #2,kids,null,437.97119341563786
ationcallyationeingeing,exportiedu pack #2,kids,Shoes,437.97119341563786
ationcallyantiantin stought,null,null,null,438.31983805668017
ationcallyantiantin stought,importobrand #8,null,null,438.31983805668017
ationcallyantiantin stought,importobrand #8,bedding,null,438.31983805668017
ationcallyantiantin stought,importobrand #8,bedding,Home,438.31983805668017
antin stesebarn st,null,null,null,438.5532786885246
antin stesebarn st,exportiedu pack #2,null,null,438.5532786885246
antin stesebarn st,exportiedu pack #2,kids,null,438.5532786885246
antin stesebarn st,exportiedu pack #2,kids,Shoes,438.5532786885246
priesen stable,null,null,null,438.59322033898303
priesen stable,edu packscholar #2,null,null,438.59322033898303
priesen stable,edu packscholar #2,classical,null,438.59322033898303
priesen stable,edu packscholar #2,classical,Music,438.59322033898303
oughtantibaroughtable,null,null,null,438.8595041322314
oughtantibaroughtable,corpunivamalg #6,null,null,438.8595041322314
oughtantibaroughtable,corpunivamalg #6,musical,null,438.8595041322314
oughtantibaroughtable,corpunivamalg #6,musical,Electronics,438.8595041322314
oughtantiablebarn stought,null,null,null,439.1737288135593
oughtantiablebarn stought,amalgedu pack #2,null,null,439.1737288135593
oughtantiablebarn stought,amalgedu pack #2,womens,null,439.1737288135593
oughtantiablebarn stought,amalgedu pack #2,womens,Shoes,439.1737288135593
oughtbarableeingought,null,null,null,439.1966527196653
oughtbarableeingought,corpbrand #2,null,null,439.1966527196653
oughtbarableeingought,corpbrand #2,rugs,null,439.1966527196653
oughtbarableeingought,corpbrand #2,rugs,Home,439.1966527196653
n stcallyantin station,null,null,null,439.6333333333333
n stcallyantin station,importoedu pack #2,null,null,439.6333333333333
n stcallyantin station,importoedu pack #2,mens,null,439.6333333333333
n stcallyantin station,importoedu pack #2,mens,Shoes,439.6333333333333
n stationn stbarable,null,null,null,440.0168776371308
n stationn stbarable,maxicorp #4,null,null,440.0168776371308
n stationn stbarable,maxicorp #4,womens watch,null,440.0168776371308
n stationn stbarable,maxicorp #4,womens watch,Jewelry,440.0168776371308
n stbaroughtbarbarable,null,null,null,440.2396694214876
n stbaroughtbarbarable,scholaramalgamalg #3,null,null,440.2396694214876
n stbaroughtbarbarable,scholaramalgamalg #3,portable,null,440.2396694214876
n stbaroughtbarbarable,scholaramalgamalg #3,portable,Electronics,440.2396694214876
antieingn stbareing,null,null,null,440.34453781512605
antieingn stbareing,importobrand #2,null,null,440.34453781512605
antieingn stbareing,importobrand #2,costume,null,440.34453781512605
antieingn stbareing,importobrand #2,costume,Jewelry,440.34453781512605
n stationationcallyese,null,null,null,440.8395061728395
n stationationcallyese,scholaramalgamalg #13,null,null,440.8395061728395
n stationationcallyese,scholaramalgamalg #13,portable,null,440.8395061728395
n stationationcallyese,scholaramalgamalg #13,portable,Electronics,440.8395061728395
priantipriought,null,null,null,441.68979591836734
priantipriought,corpmaxi #10,null,null,441.68979591836734
priantipriought,corpmaxi #10,parenting,null,441.68979591836734
priantipriought,corpmaxi #10,parenting,Books,441.68979591836734
ationationationcally,null,null,null,441.7479674796748
ationationationcally,exportibrand #8,null,null,441.7479674796748
ationationationcally,exportibrand #8,kids,null,441.7479674796748
ationationationcally,exportibrand #8,kids,Home,441.7479674796748
n stoughtableprically,null,null,null,442.1869918699187
n stoughtableprically,maxicorp #4,null,null,442.1869918699187
n stoughtableprically,maxicorp #4,womens watch,null,442.1869918699187
n stoughtableprically,maxicorp #4,womens watch,Jewelry,442.1869918699187
