i_item_id,s_state,g_state,agg1,agg2,agg3,agg4
null,null,1,50.47243538110061,75.708401,190.830242,37.861305
AAAAAAAAAAAABAAA,null,1,34.5,101.732500,45.737500,33.747500
AAAAAAAAAAAABAAA,GA,0,60.0,135.240000,0.000000,5.400000
AAAAAAAAAAAABAAA,MI,0,64.0,22.250000,0.000000,8.900000
AAAAAAAAAAAABAAA,SC,0,9.0,104.230000,0.000000,77.130000
AAAAAAAAAAAABAAA,SD,0,5.0,145.210000,182.950000,43.560000
AAAAAAAAAAABAAAA,null,1,36.714285714285715,61.038571,0.000000,26.108571
AAAAAAAAAAABAAAA,GA,0,39.0,134.800000,0.000000,17.520000
AAAAAAAAAAABAAAA,MI,0,26.0,3.090000,0.000000,2.780000
AAAAAAAAAAABAAAA,OH,0,25.0,60.323333,0.000000,39.756667
AAAAAAAAAAABAAAA,SC,0,85.0,51.640000,0.000000,5.160000
AAAAAAAAAAABAAAA,SD,0,32.0,56.770000,0.000000,38.030000
AAAAAAAAAAABBAAA,null,1,59.75,73.605000,0.000000,35.875000
AAAAAAAAAAABBAAA,GA,0,56.0,105.950000,0.000000,41.320000
AAAAAAAAAAABBAAA,MI,0,75.0,5.040000,0.000000,4.430000
AAAAAAAAAAABBAAA,SD,0,54.0,91.715000,0.000000,48.875000
AAAAAAAAAAABDAAA,null,1,31.8,87.684000,0.000000,49.936000
AAAAAAAAAAABDAAA,MO,0,35.0,51.355000,0.000000,11.500000
AAAAAAAAAAABDAAA,SD,0,29.666666666666668,111.903333,0.000000,75.560000
AAAAAAAAAAACAAAA,null,1,35.5,112.130000,0.000000,88.035000
AAAAAAAAAAACAAAA,MI,0,35.5,112.130000,0.000000,88.035000
AAAAAAAAAAACCAAA,null,1,51.6,66.258000,640.058000,29.708000
AAAAAAAAAAACCAAA,MO,0,46.0,61.520000,0.000000,37.520000
AAAAAAAAAAACCAAA,SC,0,50.0,47.650000,1475.955000,31.085000
AAAAAAAAAAACCAAA,SD,0,56.0,87.235000,124.190000,24.425000
AAAAAAAAAAADBAAA,null,1,29.333333333333332,110.106667,219.120000,42.476667
AAAAAAAAAAADBAAA,MO,0,45.0,121.780000,657.360000,18.260000
AAAAAAAAAAADBAAA,SD,0,21.5,104.270000,0.000000,54.585000
AAAAAAAAAAADCAAA,null,1,59.0,67.777778,14.955000,11.353750
AAAAAAAAAAADCAAA,MO,0,88.0,27.970000,null,null
AAAAAAAAAAADCAAA,OH,0,32.5,80.950000,29.170000,16.070000
AAAAAAAAAAADCAAA,SC,0,58.0,71.480000,20.433333,10.236667
AAAAAAAAAAADCAAA,SD,0,68.0,68.563333,0.000000,9.326667
AAAAAAAAAAAEAAAA,null,1,44.75,84.632500,0.000000,49.857500
AAAAAAAAAAAEAAAA,MI,0,25.0,112.515000,0.000000,62.160000
AAAAAAAAAAAEAAAA,MO,0,69.0,34.120000,0.000000,18.760000
AAAAAAAAAAAEAAAA,SD,0,60.0,79.380000,0.000000,56.350000
AAAAAAAAAAAEBAAA,null,1,43.0,52.765000,2.355000,28.252500
AAAAAAAAAAAEBAAA,GA,0,29.0,151.510000,0.000000,84.840000
AAAAAAAAAAAEBAAA,MI,0,64.0,23.160000,0.000000,16.670000
AAAAAAAAAAAEBAAA,SC,0,39.5,18.195000,4.710000,5.750000
AAAAAAAAAAAFCAAA,null,1,54.0,94.540000,0.000000,84.825000
AAAAAAAAAAAFCAAA,GA,0,41.0,66.450000,0.000000,53.160000
AAAAAAAAAAAFCAAA,SD,0,67.0,122.630000,0.000000,116.490000
AAAAAAAAAAAGBAAA,null,1,32.0,75.385000,0.000000,63.910000
