gross_margin,i_category,i_class,lochierarchy,rank_within_parent
-0.43340429742465465290,null,null,2,1
-0.43425019255862744618,Sports,null,1,1
-0.43379229431156253671,Men,null,1,2
-0.43373142785479904226,Children,null,1,3
-0.43349615840961995198,Electronics,null,1,4
-0.43344124380582142586,Shoes,null,1,5
-0.43340074429347804226,Jewelry,null,1,6
-0.43332902071739131459,Books,null,1,7
-0.43308583811780448869,Home,null,1,8
-0.43299782345690285246,Women,null,1,9
-0.43255523670065083245,Music,null,1,10
-0.43190581876523794764,null,null,1,11
-0.54120863742415470244,null,self-help,0,1
-0.52866287128089999399,null,camping,0,2
-0.50237194875745573453,null,furniture,0,3
-0.49793800353767775206,null,decor,0,4
-0.49769062253706307261,null,tennis,0,5
-0.49692931557841821980,null,bedding,0,6
-0.49362626153028175239,null,mens,0,7
-0.48114305349098356024,null,swimwear,0,8
-0.47902845083570974422,null,scanners,0,9
-0.47876769000228104553,null,history,0,10
-0.47228675206773991767,null,pop,0,11
-0.47217760596500879770,null,rock,0,12
-0.47150314107033736693,null,diamonds,0,13
-0.47055672703761698932,null,school-uniforms,0,14
-0.46768558437627451830,null,mens watch,0,15
-0.46656063766915681227,null,televisions,0,16
-0.46302754084989024146,null,tables,0,17
-0.46301435138452274188,null,maternity,0,18
-0.45921271128884805594,null,womens,0,19
-0.45876660593807839137,null,earings,0,20
-0.45630379485972863376,null,dvd/vcr players,0,21
-0.45543385046570369671,null,pools,0,22
-0.45293878879493795330,null,mystery,0,23
-0.45190175111677094237,null,archery,0,24
-0.44916094930359564893,null,musical,0,25
-0.44899550442902083941,null,infants,0,26
-0.44868717865714724387,null,memory,0,27
-0.44544522693550388136,null,computers,0,28
-0.44531896989993569705,null,athletic,0,29
-0.44456097217213692782,null,flatware,0,30
-0.43903989292751226625,null,romance,0,31
-0.43496939006185978177,null,toddlers,0,32
-0.43420849729194014514,null,country,0,33
-0.43325937385833894598,null,custom,0,34
-0.43304637790535830073,null,pendants,0,35
-0.43268520613337689841,null,science,0,36
-0.43047744047747306844,null,arts,0,37
-0.42934845899049504292,null,estate,0,38
-0.42920710622078264378,null,travel,0,39
-0.42897912464424633589,null,bracelets,0,40
-0.42808080101290546841,null,accessories,0,41
-0.42618142678815933519,null,null,0,42
-0.42581798282136926581,null,monitors,0,43
-0.42568792938861255435,null,outdoor,0,44
-0.42500162542483532948,null,shirts,0,45
-0.42445342914392008463,null,reference,0,46
-0.42025456887490074975,null,athletic shoes,0,47
-0.41782827296657589339,null,classical,0,48
-0.41624415263371970912,null,fitness,0,49
-0.40848968704503932251,null,pants,0,50
-0.40548113724744317231,null,dresses,0,51
-0.39835708192754999885,null,baseball,0,52
-0.39803951943148245530,null,newborn,0,53
-0.39192733941203557888,null,basketball,0,54
-0.38982188179679917252,null,mattresses,0,55
-0.38906699702388831958,null,fragrances,0,56
-0.38578983594128396291,null,portable,0,57
-0.38129069332935359878,null,guns,0,58
-0.38116781062448916533,null,rugs,0,59
-0.37988675549823168964,null,business,0,60
-0.37659201116080322779,null,sports-apparel,0,61
-0.36688302307140962629,null,womens watch,0,62
-0.43728567973552151586,Books,romance,0,1
-0.43509598560526294967,Books,self-help,0,2
-0.43499991767695170133,Books,home repair,0,3
-0.43483601625189475332,Books,parenting,0,4
-0.43433642825376335173,Books,history,0,5
-0.43364333665361288550,Books,science,0,6
-0.43309517994135641235,Books,sports,0,7
-0.43273339464022022422,Books,fiction,0,8
-0.43249764630541973570,Books,arts,0,9
-0.43234020808051336913,Books,mystery,0,10
-0.43221662847325145333,Books,reference,0,11
-0.43217310039821587793,Books,entertainments,0,12
-0.43215225014508526426,Books,business,0,13
-0.43201440240917064041,Books,computers,0,14
-0.43196976762486289833,Books,travel,0,15
-0.43186801841117638110,Books,cooking,0,16
-0.42688081466578604956,Books,null,0,17
-0.43595802627412368567,Children,school-uniforms,0,1
-0.43417804737773574130,Children,infants,0,2
-0.43296434741945991054,Children,toddlers,0,3
-0.43190520356246642403,Children,newborn,0,4
-0.42590981851590294189,Children,null,0,5
-0.43829924262302603711,Electronics,karoke,0,1
-0.43696751833310542752,Electronics,stereo,0,2
-0.43653761134557808095,Electronics,portable,0,3
-0.43617820276277576047,Electronics,dvd/vcr players,0,4
