i_category,i_brand,d_year,d_moy,avg_monthly_sales,sum_sales,psum,nsum
Children,importoexporti #2,2000,2,392078.160833,209737.31,258061.64,230948.24
Children,importoexporti #2,2000,4,391778.341667,213414.97,223657.46,226500.57
Children,importoexporti #2,2000,2,388829.429167,211475.87,259080.34,227531.36
Music,importoscholar #2,2000,2,380671.274167,203414.56,251319.63,219729.29
Men,amalgimporto #2,2000,2,384753.898333,207551.21,258531.06,229114.61
Shoes,exportiedu pack #2,2000,2,373689.993333,198558.14,246565.88,214074.31
Women,importoamalg #2,2000,4,391214.275000,216390.45,235271.79,228669.68
Children,importoexporti #2,2000,2,391778.341667,217052.80,267272.80,223657.46
Children,importoexporti #2,2000,6,392078.160833,217375.33,233569.46,228705.10
Music,exportischolar #2,2000,2,376810.500000,202303.30,246792.51,222110.04
Women,exportiamalg #2,2000,2,381701.434167,207511.41,252545.61,223224.38
Music,exportischolar #2,2000,2,378856.595833,204748.33,253568.49,226008.04
Women,importoamalg #2,2000,2,384680.497500,211038.78,253767.93,219174.72
Women,importoamalg #2,2000,2,391214.275000,217879.80,269347.62,235271.79
Women,exportiamalg #2,2000,2,382273.156667,209147.02,251747.08,227084.53
Women,importoamalg #2,2000,2,389021.804167,216199.10,257465.49,233412.39
Men,amalgimporto #2,2000,2,381361.036667,208662.67,249522.36,224173.21
Music,edu packscholar #2,2000,2,365747.484167,193150.68,250965.05,218021.06
Children,importoexporti #2,2000,4,392078.160833,219681.71,230948.24,233569.46
Shoes,edu packedu pack #2,2000,6,377216.872500,204842.46,230309.67,220810.48
Shoes,amalgedu pack #2,2000,2,373604.184167,201538.69,249052.92,224253.25
Music,edu packscholar #2,2000,2,380827.755833,208957.46,253048.14,222970.51
Women,exportiamalg #2,2000,2,368100.562500,196390.15,251387.24,214504.00
Music,importoscholar #2,2000,6,380671.274167,209120.16,225981.00,218547.06
Shoes,exportiedu pack #2,2000,2,376166.774167,204733.87,252430.09,226230.23
Women,exportiamalg #2,2000,2,380782.623333,209362.06,252793.93,215454.14
Music,edu packscholar #2,2000,2,382357.705000,210952.85,260499.87,222939.99
Children,exportiexporti #2,2000,2,381316.696667,209916.97,249943.48,224154.65
Shoes,edu packedu pack #2,2000,2,379212.655833,207918.60,253602.75,230917.47
Children,importoexporti #2,2000,4,388829.429167,217841.33,227531.36,222235.29
Women,importoamalg #2,2000,6,389021.804167,218334.89,240380.73,231220.06
Women,importoamalg #2,2000,6,391214.275000,220600.23,228669.68,235202.36
Music,exportischolar #2,2000,2,376824.605833,206231.16,247858.03,227845.77
Children,exportiexporti #2,2000,6,386553.194167,215966.01,230129.11,217961.75
Women,amalgamalg #2,2000,4,370134.986667,199686.39,219840.82,216424.30
Children,exportiexporti #2,2000,2,382858.040833,212467.42,247784.49,227096.73
Children,exportiexporti #2,2000,2,386553.194167,216180.01,261999.86,227691.25
Men,importoimporto #2,2000,2,375074.933333,204730.63,252649.10,221783.26
Shoes,edu packedu pack #2,2000,6,379212.655833,209143.00,222284.26,228212.65
Women,edu packamalg #2,2000,2,374349.875000,204342.14,254766.25,216198.97
Children,importoexporti #2,2000,2,374652.489167,204664.54,248044.31,216022.19
Shoes,importoedu pack #2,2000,2,361487.945833,191578.42,242959.15,225126.25
Shoes,edu packedu pack #2,2000,2,377216.872500,207354.02,244722.16,220664.90
Children,exportiexporti #2,2000,4,386553.194167,216774.12,227691.25,230129.11
Music,edu packscholar #2,2000,4,380827.755833,211159.26,222970.51,220469.29
Men,importoimporto #2,2000,2,376215.023333,206592.15,252948.21,226057.17
Music,edu packscholar #2,2000,2,381523.250000,212021.26,251490.64,223310.68
Women,edu packamalg #2,2000,2,376034.330833,206599.65,252031.89,224016.80
Music,importoscholar #2,2000,6,379169.828333,209960.62,215624.08,221165.65
Children,amalgexporti #2,2000,2,361238.411667,192209.54,243379.07,213524.87
Shoes,edu packedu pack #2,2000,6,378835.839167,210170.17,220403.24,223197.26
Children,exportiexporti #2,2000,7,386553.194167,217961.75,215966.01,511011.88
Children,exportiexporti #2,2000,2,371491.388333,203362.45,249479.66,216891.82
Children,importoexporti #2,2000,3,391778.341667,223657.46,217052.80,213414.97
Women,edu packamalg #2,2000,2,374375.016667,206299.46,248515.28,224792.14
Music,importoscholar #2,2000,2,379169.828333,211122.55,249280.87,226191.39
Children,importoexporti #2,2000,6,391778.341667,223870.91,226500.57,227085.79
Shoes,edu packedu pack #2,2000,4,378835.839167,210938.74,225130.39,220403.24
Women,importoamalg #2,2000,2,372784.448333,204914.19,246187.63,223089.04
Men,importoimporto #2,2000,4,376510.007500,208694.87,224176.89,218511.59
Music,exportischolar #2,2000,4,378856.595833,211056.11,226008.04,225476.07
Shoes,amalgedu pack #2,2000,2,370010.577500,202294.97,245070.30,212663.89
Music,edu packscholar #2,2000,6,380827.755833,213165.42,220469.29,226076.90
Women,edu packamalg #2,2000,4,376034.330833,208405.36,224016.80,215911.09
Music,amalgscholar #2,2000,2,370382.810000,202761.09,244976.51,216083.13
Women,exportiamalg #2,2000,4,380782.623333,213227.70,215454.14,217961.80
Men,amalgimporto #2,2000,4,384796.669167,217272.66,231932.31,224570.33
Music,edu packscholar #2,2000,6,381523.250000,214129.82,220316.62,224927.20
Women,exportiamalg #2,2000,6,382273.156667,215030.37,222146.61,225680.00
Women,importoamalg #2,2000,4,389021.804167,221874.64,233412.39,240380.73
Music,exportischolar #2,2000,6,378856.595833,211895.98,225476.07,221506.40
Children,edu packexporti #2,2000,2,367591.437500,200681.18,245129.60,212346.86
Children,edu packexporti #2,2000,2,369289.439167,202424.66,249269.02,214420.45
Music,importoscholar #2,2000,2,364672.681667,197811.85,237697.96,210990.02
Children,edu packexporti #2,2000,4,369437.627500,202583.67,223336.28,219269.01
Children,importoexporti #2,2000,2,361067.975833,194232.11,244296.86,210012.61
Music,amalgscholar #2,2000,2,369297.765833,202538.30,242000.48,217141.04
Women,importoamalg #2,2000,4,384680.497500,218000.71,219174.72,227451.38
Men,importoimporto #2,2000,2,376510.007500,209852.79,246169.08,224176.89
Shoes,exportiedu pack #2,2000,2,361996.784167,195341.28,234509.88,209014.01
Children,importoexporti #2,2000,5,388829.429167,222235.29,217841.33,225866.37
Men,importoimporto #2,2000,6,375074.933333,208583.77,217414.00,217631.02
Music,importoscholar #2,2000,4,381816.989167,215363.48,222717.29,226810.96
Music,edu packscholar #2,2000,5,382357.705000,216062.93,219697.83,218982.33
Men,amalgimporto #2,2000,2,384796.669167,218561.61,250802.28,231932.31
Shoes,exportiedu pack #2,2000,2,374771.610000,208920.98,241785.75,218318.60
Shoes,exportiedu pack #2,2000,6,376166.774167,210368.00,217326.93,217047.81
Shoes,amalgedu pack #2,2000,6,373604.184167,207969.44,220577.18,221673.86
Women,importoamalg #2,2000,6,384680.497500,219167.16,227451.38,226513.41
Men,edu packimporto #2,2000,2,364002.036667,198490.15,240206.10,218945.62
Women,importoamalg #2,2000,3,384680.497500,219174.72,211038.78,218000.71
Children,exportiexporti #2,2000,4,381316.696667,215895.05,224154.65,225160.64
Men,amalgimporto #2,2000,7,384753.898333,219349.17,221706.28,513030.53
Shoes,importoedu pack #2,2000,2,361009.316667,195629.16,244202.74,209186.55
