channel,item,return_ratio,return_rank,currency_rank
catalog,76063,0E-20,1,45
catalog,61478,0E-20,1,63
catalog,18217,0E-20,1,157
catalog,79253,0E-20,1,262
catalog,18071,0E-20,1,396
catalog,142879,0E-20,1,563
catalog,110033,0E-20,1,590
catalog,104954,0E-20,1,663
catalog,179594,0E-20,1,798
catalog,74389,0E-20,1,912
catalog,136682,0E-20,1,992
catalog,89441,0E-20,1,1087
catalog,31820,0E-20,1,1206
catalog,53275,0E-20,1,1206
catalog,191663,0E-20,1,1348
catalog,92618,0E-20,1,1548
catalog,163904,0E-20,1,1557
catalog,195767,0E-20,1,1561
catalog,106004,0E-20,1,1860
catalog,182813,0E-20,1,2497
catalog,73016,0E-20,1,2588
catalog,139205,0E-20,1,2664
catalog,150026,0E-20,1,2722
catalog,192211,0E-20,1,2755
catalog,5396,0E-20,1,2800
catalog,93818,0E-20,1,2845
catalog,56987,0E-20,1,2856
catalog,178315,0E-20,1,2917
catalog,4583,0E-20,1,3113
catalog,85669,0E-20,1,3113
catalog,119414,0E-20,1,3113
catalog,143929,0E-20,1,3113
catalog,148621,0E-20,1,3364
catalog,160586,0E-20,1,3471
catalog,127163,0E-20,1,3512
catalog,88817,0E-20,1,3578
catalog,32504,0.41666666666666666667,38,1
catalog,65216,0.42000000000000000000,39,2
catalog,107857,0.42000000000000000000,39,2
catalog,115460,0.43877551020408163265,41,4
catalog,29867,0.45918367346938775510,43,5
catalog,20717,0.46067415730337078652,44,6
catalog,110774,0.46315789473684210526,45,7
catalog,190891,0.47368421052631578947,46,8
catalog,154523,0.47959183673469387755,47,9
catalog,148910,0.48000000000000000000,48,10
store,168367,0E-20,1,101
store,143201,0E-20,1,191
store,169075,0E-20,1,221
store,203045,0E-20,1,226
store,71797,0E-20,1,233
store,166898,0E-20,1,242
store,182033,0E-20,1,244
store,82117,0E-20,1,415
store,132272,0E-20,1,434
store,57512,0E-20,1,487
store,32780,0E-20,1,518
store,12986,0E-20,1,542
store,198853,0E-20,1,585
store,144427,0E-20,1,594
store,55688,0E-20,1,640
store,109207,0E-20,1,653
store,134750,0E-20,1,713
store,186697,0E-20,1,780
store,144179,0E-20,1,786
store,67675,0E-20,1,816
store,28613,0E-20,1,973
store,51601,0E-20,1,1079
store,97196,0E-20,1,1079
store,182309,0E-20,1,1079
store,65474,0.59375000000000000000,25,1
store,88511,0.60000000000000000000,26,2
store,23773,0.60824742268041237113,27,3
store,148430,0.61538461538461538462,28,4
store,127232,0.62637362637362637363,29,5
store,155552,0.63000000000000000000,30,6
store,166592,0.64583333333333333333,32,7
store,89387,0.65263157894736842105,33,8
store,180185,0.65306122448979591837,34,9
store,109313,0.65934065934065934066,35,10
web,33661,0E-20,1,7
web,28523,0E-20,1,21
web,8678,0E-20,1,71
web,45650,0E-20,1,84
web,61583,0E-20,1,149
web,176663,0E-20,1,155
web,155924,0E-20,1,562
web,92639,0E-20,1,595
web,180719,0E-20,1,597
web,69629,0E-20,1,628
web,74461,0E-20,1,631
web,66709,0E-20,1,640
web,61991,0E-20,1,674
web,196379,0E-20,1,680
web,11737,0E-20,1,717
web,16169,0E-20,1,721
web,110420,0E-20,1,742
web,201722,0E-20,1,879
web,1322,0E-20,1,964
web,70658,0E-20,1,1052
