channel,id,sales,returns,profit
null,null,11390970474.06,235659203.82,-3111659320.61
catalog channel,null,3936927739.46,78848503.19,-441830944.48
catalog channel,catalog_pageAAAAAAAAAABAAAAA,10068280.32,64297.40,-1142308.62
catalog channel,catalog_pageAAAAAAAAAACAAAAA,5379972.01,22782.68,-425741.18
catalog channel,catalog_pageAAAAAAAAAADAAAAA,0.00,6688.09,-5152.48
catalog channel,catalog_pageAAAAAAAAAAEAAAAA,0.00,17932.75,-7740.05
catalog channel,catalog_pageAAAAAAAAAAFAAAAA,1180142.81,5121.84,-65231.30
catalog channel,catalog_pageAAAAAAAAABAAAAAA,0.00,262390.82,-155265.11
catalog channel,catalog_pageAAAAAAAAABBAAAAA,10541473.78,49816.10,-1041685.21
catalog channel,catalog_pageAAAAAAAAABCAAAAA,5281664.07,18793.64,-549576.09
catalog channel,catalog_pageAAAAAAAAABDAAAAA,0.00,10843.81,-7159.86
catalog channel,catalog_pageAAAAAAAAABEAAAAA,0.00,4960.39,-4565.49
catalog channel,catalog_pageAAAAAAAAABFAAAAA,1087212.04,4222.88,-109188.93
catalog channel,catalog_pageAAAAAAAAACAAAAAA,0.00,327974.84,-169503.22
catalog channel,catalog_pageAAAAAAAAACBAAAAA,10851600.82,94778.20,-1082339.51
catalog channel,catalog_pageAAAAAAAAACCAAAAA,5418826.43,18552.49,-399265.75
catalog channel,catalog_pageAAAAAAAAACDAAAAA,0.00,16065.63,-12614.92
catalog channel,catalog_pageAAAAAAAAACEAAAAA,0.00,7841.15,-8624.04
catalog channel,catalog_pageAAAAAAAAACFAAAAA,1171338.17,2572.85,-58344.70
catalog channel,catalog_pageAAAAAAAAADAAAAAA,0.00,252248.65,-140720.32
catalog channel,catalog_pageAAAAAAAAADBAAAAA,10456133.97,88725.64,-968102.92
catalog channel,catalog_pageAAAAAAAAADCAAAAA,5033314.34,22515.88,-576710.59
catalog channel,catalog_pageAAAAAAAAADDAAAAA,0.00,10715.99,-7616.31
catalog channel,catalog_pageAAAAAAAAADEAAAAA,0.00,10440.07,-8960.83
catalog channel,catalog_pageAAAAAAAAADFAAAAA,4121192.74,0.00,-299401.78
catalog channel,catalog_pageAAAAAAAAAEAAAAAA,0.00,235122.87,-168315.77
catalog channel,catalog_pageAAAAAAAAAEBAAAAA,10278515.74,71885.27,-1018168.71
catalog channel,catalog_pageAAAAAAAAAECAAAAA,0.00,23889.04,-11363.07
catalog channel,catalog_pageAAAAAAAAAEDAAAAA,0.00,13422.93,-14329.88
catalog channel,catalog_pageAAAAAAAAAEEAAAAA,0.00,11308.58,-6010.72
catalog channel,catalog_pageAAAAAAAAAEFAAAAA,4557533.48,0.00,-374919.64
catalog channel,catalog_pageAAAAAAAAAFAAAAAA,0.00,282384.07,-186526.23
catalog channel,catalog_pageAAAAAAAAAFBAAAAA,10096062.17,83266.58,-1213309.33
catalog channel,catalog_pageAAAAAAAAAFCAAAAA,0.00,21564.59,-9912.05
catalog channel,catalog_pageAAAAAAAAAFDAAAAA,0.00,9180.20,-5514.13
catalog channel,catalog_pageAAAAAAAAAFEAAAAA,0.00,1585.33,-1583.25
catalog channel,catalog_pageAAAAAAAAAFFAAAAA,4485658.33,0.00,-401239.46
catalog channel,catalog_pageAAAAAAAAAGAAAAAA,0.00,280525.62,-183431.35
catalog channel,catalog_pageAAAAAAAAAGBAAAAA,10463438.19,71703.92,-1043776.75
catalog channel,catalog_pageAAAAAAAAAGCAAAAA,0.00,30385.61,-17685.00
catalog channel,catalog_pageAAAAAAAAAGDAAAAA,0.00,14372.55,-8316.05
catalog channel,catalog_pageAAAAAAAAAGEAAAAA,0.00,21784.98,-10597.23
catalog channel,catalog_pageAAAAAAAAAGFAAAAA,4111449.70,0.00,-410661.29
catalog channel,catalog_pageAAAAAAAAAHAAAAAA,0.00,239099.83,-141624.96
catalog channel,catalog_pageAAAAAAAAAHBAAAAA,10050959.98,101027.08,-1146301.27
catalog channel,catalog_pageAAAAAAAAAHCAAAAA,0.00,20141.71,-9157.21
catalog channel,catalog_pageAAAAAAAAAHDAAAAA,0.00,25612.74,-15352.04
catalog channel,catalog_pageAAAAAAAAAHEAAAAA,1105502.65,2172.16,-79869.18
catalog channel,catalog_pageAAAAAAAAAHFAAAAA,4157205.51,0.00,-186777.15
catalog channel,catalog_pageAAAAAAAAAIAAAAAA,0.00,273889.51,-164652.39
catalog channel,catalog_pageAAAAAAAAAIBAAAAA,5563082.94,36131.51,-433316.64
catalog channel,catalog_pageAAAAAAAAAICAAAAA,0.00,20535.60,-9724.06
catalog channel,catalog_pageAAAAAAAAAIDAAAAA,0.00,4308.91,-4021.32
catalog channel,catalog_pageAAAAAAAAAIEAAAAA,1084367.01,1050.66,-85602.89
catalog channel,catalog_pageAAAAAAAAAIFAAAAA,4179152.83,0.00,-456457.44
