i_manufact_id,sum_sales,avg_quarterly_sales
847,2040.46,4313.792500
847,2596.67,4313.792500
847,8542.75,4313.792500
830,1645.01,4315.940000
830,2472.12,4315.940000
830,8827.74,4315.940000
712,2046.93,4346.427500
712,2351.06,4346.427500
712,5232.32,4346.427500
712,7755.40,4346.427500
765,2450.75,4371.127500
765,2619.08,4371.127500
765,7726.30,4371.127500
842,2105.01,4371.932500
842,3378.81,4371.932500
842,4900.48,4371.932500
842,7103.43,4371.932500
837,2333.11,4400.777500
837,2622.89,4400.777500
837,4877.21,4400.777500
837,7769.90,4400.777500
705,2164.95,4413.247500
705,2314.29,4413.247500
705,8644.78,4413.247500
835,2128.27,4477.825000
835,2942.30,4477.825000
835,5386.03,4477.825000
835,7454.70,4477.825000
891,2344.26,4486.647500
891,2807.45,4486.647500
891,8668.63,4486.647500
727,2762.13,4524.447500
727,2865.32,4524.447500
727,3879.10,4524.447500
727,8591.24,4524.447500
737,2252.12,4527.037500
737,2655.42,4527.037500
737,9066.85,4527.037500
884,2672.81,4535.797500
884,2737.01,4535.797500
884,8392.17,4535.797500
946,2306.39,4548.032500
946,2448.18,4548.032500
946,5646.81,4548.032500
946,7790.75,4548.032500
708,2276.51,4560.372500
708,3369.61,4560.372500
708,8016.24,4560.372500
795,2322.54,4600.600000
795,2707.96,4600.600000
795,5171.48,4600.600000
795,8200.42,4600.600000
745,3090.19,4626.015000
745,3627.16,4626.015000
745,7545.96,4626.015000
917,2708.24,4632.522500
917,2882.18,4632.522500
917,8051.12,4632.522500
698,2996.70,4675.402500
698,3019.74,4675.402500
698,7747.27,4675.402500
874,2272.81,4695.917500
874,2787.02,4695.917500
874,5370.77,4695.917500
874,8353.07,4695.917500
900,2106.17,4710.807500
900,3167.93,4710.807500
900,5466.79,4710.807500
900,8102.34,4710.807500
953,2394.25,4713.457500
953,2817.12,4713.457500
953,5321.43,4713.457500
953,8321.03,4713.457500
881,3244.44,4750.510000
881,3708.95,4750.510000
881,4222.46,4750.510000
881,7826.19,4750.510000
823,2043.61,4762.460000
823,3013.98,4762.460000
823,8999.92,4762.460000
939,2508.45,4772.217500
939,2805.27,4772.217500
939,8592.63,4772.217500
805,2569.18,4772.500000
805,2575.71,4772.500000
805,5344.31,4772.500000
805,8600.80,4772.500000
714,2935.65,4818.962500
714,3019.35,4818.962500
714,5501.34,4818.962500
714,7819.51,4818.962500
811,2193.16,4842.880000
811,4085.40,4842.880000
811,7911.20,4842.880000
716,3098.26,4845.050000
716,3099.53,4845.050000
716,7960.24,4845.050000
853,2449.95,4852.385000
853,2738.59,4852.385000
853,5933.42,4852.385000
