i_manager_id,sum_sales,avg_monthly_sales
null,1729.72,2581.177500
null,2230.70,2581.177500
null,2897.62,2581.177500
null,3466.67,2581.177500
1,645.09,53793.319167
1,712.64,53793.319167
1,919.56,53793.319167
1,923.60,53793.319167
1,1184.26,53793.319167
1,1195.22,53793.319167
1,1433.50,53793.319167
1,2037.94,53793.319167
1,126584.37,53793.319167
1,130020.01,53793.319167
1,183905.09,53793.319167
1,195958.55,53793.319167
2,1298.65,51386.158333
2,1522.33,51386.158333
2,1545.52,51386.158333
2,1628.61,51386.158333
2,1715.68,51386.158333
2,2302.83,51386.158333
2,2429.72,51386.158333
2,3938.43,51386.158333
2,114797.00,51386.158333
2,119842.33,51386.158333
2,178753.34,51386.158333
2,186859.46,51386.158333
3,1491.73,69209.747500
3,1579.75,69209.747500
3,1614.83,69209.747500
3,1630.85,69209.747500
3,1769.83,69209.747500
3,1946.10,69209.747500
3,2052.67,69209.747500
3,3359.39,69209.747500
3,154063.39,69209.747500
3,169638.76,69209.747500
3,237214.63,69209.747500
3,254155.04,69209.747500
4,3487.74,72927.050833
4,4061.61,72927.050833
4,4322.02,72927.050833
4,4676.06,72927.050833
4,5257.55,72927.050833
4,5442.76,72927.050833
4,5611.27,72927.050833
4,9563.60,72927.050833
4,156811.13,72927.050833
4,167920.46,72927.050833
4,252131.22,72927.050833
4,255839.19,72927.050833
5,1401.63,73118.527500
5,1470.43,73118.527500
5,1812.74,73118.527500
5,1833.32,73118.527500
5,1981.70,73118.527500
5,2149.75,73118.527500
5,2213.26,73118.527500
5,4965.18,73118.527500
5,173584.32,73118.527500
5,176179.64,73118.527500
5,249905.57,73118.527500
5,259924.79,73118.527500
6,3709.40,59367.200000
6,4220.25,59367.200000
6,4365.37,59367.200000
6,4428.12,59367.200000
6,4471.18,59367.200000
6,5159.64,59367.200000
6,5222.64,59367.200000
6,11391.62,59367.200000
6,134806.84,59367.200000
6,135908.83,59367.200000
6,187668.43,59367.200000
6,211054.08,59367.200000
7,124003.72,157661.325000
7,128022.43,157661.325000
7,185953.84,157661.325000
7,192665.31,157661.325000
8,4085.62,74881.036667
8,4096.18,74881.036667
8,4218.96,74881.036667
8,4509.06,74881.036667
8,4663.94,74881.036667
8,4846.23,74881.036667
8,4993.08,74881.036667
8,12122.07,74881.036667
8,165625.06,74881.036667
8,172807.06,74881.036667
8,254648.01,74881.036667
8,261957.17,74881.036667
9,3278.05,70245.415833
9,4101.64,70245.415833
9,4324.19,70245.415833
9,4460.81,70245.415833
9,4663.27,70245.415833
9,4680.10,70245.415833
9,5339.97,70245.415833
9,11034.65,70245.415833
