product_name,store_name,store_zip,b_street_number,b_street_name,b_city,b_zip,c_street_number,c_street_name,c_city,c_zip,syear,cnt,s11,s21,s31,s12,s22,s32,syear,cnt
antiantin stcallycally,bar,68370,607,Davis ,Friendship,54536,687,Jefferson Adams,Pinecrest,69981,2001,1,85.09,134.44,0.00,1.30,1.97,0.00,2002,1
antiantin stcallycally,eing,55709,150,Sycamore ,Oak Ridge,98371,702,Main Ridge,Farmington,79145,2001,1,70.11,131.10,0.00,51.11,84.33,0.00,2002,1
antiantin stcallycally,ese,28048,203,First ,Woodlawn,24098,58,Franklin ,Covington,99966,2001,1,18.46,24.55,0.00,48.91,90.97,0.00,2002,1
antiantin stcallycally,ese,43604,879,Maple Central,Walnut Grove,08352,612,5th Sixth,Centerville,40059,2001,1,53.54,96.37,778.80,65.05,111.23,0.00,2002,1
antiantin stcallycally,ese,35281,209,5th ,Oakwood,50169,343,4th Adams,Red Hill,44338,2001,1,97.62,116.16,1522.85,26.21,36.16,0.00,2002,1
antiantin stcallycally,ese,35281,209,5th ,Oakwood,50169,343,4th Adams,Red Hill,44338,2001,1,97.62,116.16,1522.85,82.44,121.18,0.00,2002,1
antiantipriationeing,ation,40059,693,Walnut View,Stringtown,20162,659,Park Lakeview,Pine Grove,94593,2001,1,22.63,29.41,0.00,10.33,12.29,0.00,2002,1
antiantipriationeing,bar,75709,380,Jefferson Oak,Oakdale,79584,743,Pine 9th,Spring Hill,26787,2001,1,64.00,126.08,0.00,28.27,28.55,2.67,2002,1
antiantipriationeing,bar,29843,632,Locust Main,Plainview,43683,265,Lake ,Oak Grove,null,2001,1,81.10,107.86,0.00,24.13,25.33,0.00,2002,1
antiantipriationeing,eing,72812,412,East ,Valley View,55124,993,1st ,Midway,61904,2001,1,40.43,50.13,1085.77,18.43,27.82,0.00,2002,1
antiantipriationeing,pri,69231,174,Davis Pine,Riverside,69231,520,North Second,Flatwoods,54212,2001,1,14.67,28.01,0.00,28.08,55.87,0.00,2002,1
antiantipriationeing,pri,69231,174,Davis Pine,Riverside,69231,520,North Second,Flatwoods,54212,2001,1,14.67,28.01,0.00,40.93,63.85,0.00,2002,1
antibarbaroughtcally,bar,78721,433,Park Johnson,Harmony,65804,228,West ,Valley View,25124,2001,1,44.53,60.11,0.00,93.25,146.40,0.00,2002,1
antibarbaroughtcally,cally,61904,817,Walnut Center,Mountain View,84466,186,Fourth ,Franklin,29101,2001,1,10.07,14.70,0.00,13.86,21.89,0.00,2002,1
antibarbaroughtcally,eing,52812,106,5th View,Jones,92686,505,Elm Lake,Union Hill,27746,2001,1,51.18,88.54,0.00,86.01,96.33,0.00,2002,1
antibarbaroughtcally,ese,26098,91,Sixth ,Oakwood,60169,393,Hill ,Belmont,60191,2001,1,31.01,52.09,0.00,31.55,34.38,0.00,2002,1
antibarbaroughtcally,ese,49431,826,Fifth ,Springdale,48883,161,Cherry Cedar,Belmont,20191,2001,1,31.49,58.25,862.98,41.54,58.98,0.00,2002,1
antibarbaroughtcally,ese,56098,34,Thirteenth Lincoln,Fisher,22819,739,Dogwood ,King,80008,2001,1,55.45,63.76,0.00,86.75,137.93,0.00,2002,1
antibarbaroughtcally,ese,35281,707,15th ,Stringtown,30162,6,Locust ,Franklin,89101,2001,1,72.75,76.38,0.00,13.40,17.01,0.00,2002,1
antibarbaroughtcally,ese,35281,707,15th ,Stringtown,30162,6,Locust ,Franklin,89101,2001,1,72.75,76.38,0.00,29.86,46.58,1065.30,2002,1
antibarbaroughtcally,ese,56098,609,1st ,Kimball,53595,85,Cedar Green,Lebanon,62898,2001,1,88.61,144.43,0.00,86.75,137.93,0.00,2002,1
antibarbaroughtcally,n st,50059,953,South ,Springdale,78883,16,4th ,Newport,51521,2001,1,41.17,46.52,0.00,51.59,85.63,925.96,2002,1
antieingesebarable,able,30059,433,Poplar ,Waterloo,21675,879,Dogwood Maple,Florence,33394,2001,1,88.50,125.67,12.73,85.67,123.36,0.00,2002,1
antieingesebarable,anti,35281,444,Sycamore ,Bunker Hill,70150,309,Ridge ,Pleasant Hill,73604,2001,1,26.26,44.90,0.00,52.87,66.08,0.00,2002,1
antieingesebarable,anti,35281,318,Elevnth ,Highland,69454,46,Ridge Wilson,Bethel,25281,2001,1,56.88,103.52,1450.44,52.87,66.08,0.00,2002,1
antieingesebarable,cally,73604,897,Spruce ,Oakwood,30169,700,Sunset Laurel,Mount Vernon,88482,2001,1,60.59,77.55,0.00,20.45,36.19,82.22,2002,1
antieingesebarable,n st,31933,250,Laurel ,Newtown,31749,160,Main River,Oak Hill,47838,2001,1,85.58,170.30,0.00,30.91,52.54,0.00,2002,1
antioughteingprieing,bar,34136,378,Jefferson Cedar,Oak Grove,78370,266,South Sunset,Summit,70499,2001,1,19.27,37.76,0.00,80.31,88.34,0.00,2002,1
antioughteingprieing,bar,34136,7,Birch ,Hamilton,72808,400,1st Poplar,Crossroads,60534,2001,1,62.43,109.25,278.70,80.31,88.34,0.00,2002,1
antioughteingprieing,bar,34136,537,Lee Ninth,Point Pleasant,34749,435,Lake ,Oak Hill,27838,2001,1,80.74,83.96,0.00,80.31,88.34,0.00,2002,1
antioughteingprieing,bar,33604,781,Cherry ,Springdale,68883,408,Miller ,King,40008,2001,1,99.79,197.58,0.00,66.47,91.06,0.00,2002,1
antioughteingprieing,cally,48048,924,Main ,Spring Valley,66060,857,Woodland River,Sulphur Springs,28354,2001,1,31.41,57.48,0.00,79.67,145.79,0.00,2002,1
antioughteingprieing,eing,38721,520,Mill West,Pine Grove,14593,894,Adams ,White Oak,56668,2001,1,61.44,106.90,0.00,27.01,52.66,313.37,2002,1
antioughteingprieing,eing,38721,197,Hill ,Sunnyside,71952,151,South Elm,Lebanon,82898,2001,1,73.03,74.49,0.00,27.01,52.66,313.37,2002,1
antioughteingprieing,ese,28828,716,West Broadway,Georgetown,37057,126,4th ,null,14107,2001,1,55.06,58.91,0.00,29.38,42.01,0.00,2002,1
antioughteingprieing,ese,26098,252,5th ,Riverview,79003,938,East Second,Union Hill,27746,2001,1,84.91,116.32,0.00,86.20,112.06,2939.89,2002,1
antioughteingprieing,pri,69231,403,Jefferson ,Jamestown,36867,209,Walnut ,Unionville,51711,2001,1,55.72,61.84,0.00,30.64,53.00,949.76,2002,1
antioughteingprieing,pri,69231,403,Jefferson ,Jamestown,36867,209,Walnut ,Unionville,51711,2001,1,55.72,61.84,0.00,76.81,144.40,0.00,2002,1
antipriprin stought,able,45709,116,Park Birch,Valley View,85124,8,Washington Davis,Centerville,60059,2001,1,73.68,83.99,0.00,40.45,66.74,0.00,2002,1
antipriprin stought,ation,33604,603,Meadow ,Kingston,05575,965,Johnson Highland,Unionville,61711,2001,1,82.25,90.47,0.00,25.36,35.50,0.00,2002,1
antipriprin stought,bar,33604,755,North Park,Jamestown,56867,393,Park Poplar,Highland,79454,2001,1,4.87,5.30,0.00,29.19,49.62,0.00,2002,1
antipriprin stought,bar,33604,922,Pine Spruce,Deerfield,39840,null,null,Mount Olive,98059,2001,1,96.65,165.27,0.00,29.19,49.62,0.00,2002,1
antipriprin stought,cally,72812,867,14th ,Woodville,24289,438,13th Fourth,Greenville,51387,2001,1,43.00,73.10,0.00,74.44,142.18,0.00,2002,1
antipriprin stought,cally,33451,28,11th ,Newtown,71749,244,Cedar ,Shiloh,79275,2001,1,70.59,136.94,0.00,40.26,65.62,0.00,2002,1
antipriprin stought,cally,78370,760,12th View,Fayetteville,51732,138,Main ,Oak Ridge,88371,2001,1,96.52,132.23,0.00,47.24,81.25,0.00,2002,1
antipriprin stought,ese,78048,416,9th ,Pleasant Hill,63604,325,Railroad ,Leland,59452,2001,1,39.77,58.85,67.81,87.67,103.45,0.00,2002,1
antipriprin stought,n st,68048,381,null,null,null,645,Fifth ,New Hope,49431,2001,1,99.97,138.95,0.00,64.58,120.11,0.00,2002,1
antipriprin stought,ought,30059,5,Cedar Ash,Salem,78048,129,Cherry View,Lakewood,98877,2001,1,65.07,96.30,24.24,40.60,75.51,0.00,2002,1
ationableprin stese,able,65709,638,Cedar ,Lakewood,68877,944,Hickory Lee,Forest Hills,39237,2001,1,57.98,62.61,0.00,62.84,74.15,0.00,2002,1
ationableprin stese,cally,48048,370,Park ,Forest Hills,89237,603,View ,Enterprise,31757,2001,1,39.34,60.19,0.00,97.02,184.33,0.00,2002,1
ationableprin stese,eing,55709,917,Cedar 8th,Oakdale,79584,856,Valley ,Summit,50499,2001,1,48.11,78.41,0.00,75.99,105.62,0.00,2002,1
ationableprin stese,ese,35281,482,Sixth Washington,Deerfield,29840,304,Center Hill,Silver Springs,54843,2001,1,8.59,12.97,0.00,81.39,158.71,0.00,2002,1
ationableprin stese,ese,32477,null,null,Lakeside,null,805,Church ,Hillcrest,23003,2001,1,45.98,55.17,57.35,12.87,17.37,0.00,2002,1
ationableprin stese,ese,32477,665,Forest Cedar,Shelby,56575,116,East Third,Waterloo,41675,2001,1,69.18,136.28,0.00,12.87,17.37,0.00,2002,1
ationableprin stese,n st,68048,null,null,Brownsville,49310,900,Elm Railroad,Belleville,52924,2001,1,72.46,80.43,0.00,46.12,76.09,0.00,2002,1
ationationn steingcally,able,38721,736,Fifth ,Newtown,31749,26,First ,Elizabeth,82935,2001,1,83.11,133.80,0.00,71.78,73.21,0.00,2002,1
ationationn steingcally,cally,49843,676,2nd ,Hamilton,42808,152,Eigth Ninth,Sleepy Hollow,23592,2001,1,91.13,178.61,9703.40,44.02,55.90,0.00,2002,1
ationationn steingcally,eing,46098,190,Chestnut ,Lakeside,49532,936,Cherry ,Harmony,85804,2001,1,31.62,44.90,0.00,92.77,116.89,0.00,2002,1
ationationn steingcally,eing,46098,447,Oak ,Oak Grove,68370,713,null,null,45124,2001,1,41.57,46.14,0.00,92.77,116.89,0.00,2002,1
ationationn steingcally,ese,49431,9,Oak ,Unionville,71711,null,null,null,40399,2001,1,61.23,64.90,0.00,33.44,58.18,0.00,2002,1
ationationn steingcally,ese,56098,135,Broadway Third,Oak Ridge,78371,183,Mill ,Sugar Hill,65114,2001,1,72.49,96.41,0.00,15.66,17.69,0.00,2002,1
ationationn steingcally,ese,49431,948,Williams College,Jackson,79583,997,Smith Railroad,Riverview,59003,2001,1,86.38,141.66,0.00,33.44,58.18,0.00,2002,1
ationationn steingcally,ese,49431,193,Main ,Cedar Grove,80411,44,6th ,Liberty,73451,2001,1,91.65,97.14,1041.95,33.44,58.18,0.00,2002,1
ationationn steingcally,ese,49431,830,3rd ,Clinton,58222,289,2nd Third,Arlington,36557,2001,1,93.49,128.08,0.00,33.44,58.18,0.00,2002,1
ationationn steingcally,n st,29843,330,Main Mill,Hubbard,56291,245,Thirteenth ,Mount Vernon,58482,2001,1,9.24,11.55,0.00,25.87,31.56,0.00,2002,1
ationbarationcallyoughtought,able,55281,12,13th ,Friendship,74536,472,Miller Forest,Maple Grove,48252,2001,1,10.57,13.42,0.00,8.75,14.87,0.00,2002,1
ationbarationcallyoughtought,able,55281,12,13th ,Friendship,74536,472,Miller Forest,Maple Grove,48252,2001,1,10.57,13.42,0.00,39.81,57.72,33.92,2002,1
ationbarationcallyoughtought,able,44136,342,West South,Woodlawn,44098,833,Wilson Meadow,Crossroads,80534,2001,1,73.92,133.05,0.00,22.79,38.97,0.00,2002,1
ationbarationcallyoughtought,able,55281,29,Smith ,Woodlawn,24098,447,Pine Sixth,Wildwood,36871,2001,1,85.27,154.33,0.00,8.75,14.87,0.00,2002,1
ationbarationcallyoughtought,able,55281,29,Smith ,Woodlawn,24098,447,Pine Sixth,Wildwood,36871,2001,1,85.27,154.33,0.00,39.81,57.72,33.92,2002,1
ationbarationcallyoughtought,cally,49843,649,College 7th,Roy,50744,324,Lincoln 5th,Spring Hill,56787,2001,1,50.61,66.29,0.00,5.37,9.18,0.00,2002,1
ationbarationcallyoughtought,cally,73604,null,null,null,null,822,Church ,Fairfield,86192,2001,1,93.64,140.46,2010.77,72.01,110.89,47.38,2002,1
ationbarationcallyoughtought,eing,45709,533,Highland Center,Red Hill,54338,852,South Willow,Arlington,56557,2001,1,60.42,95.46,0.00,35.76,69.01,0.00,2002,1
ationbarationcallyoughtought,eing,29843,274,5th Lake,Greenfield,55038,141,Poplar ,Union Hill,37746,2001,1,95.73,178.05,5320.13,75.02,75.02,0.00,2002,1
ationbarationcallyoughtought,ese,49431,null,Sixth ,New Hope,49431,145,Main ,Clinton,68222,2001,1,37.99,66.86,0.00,74.99,103.48,283.25,2002,1
ationbarationcallyoughtought,n st,29843,666,Hill 4th,Red Bank,34975,304,13th ,Greenville,51387,2001,1,22.52,38.50,0.00,86.58,117.74,0.00,2002,1
ationn stcallyableese,able,38721,630,Railroad Lake,null,45281,894,Lee Lincoln,Buckingham,94092,2001,1,23.97,23.97,0.00,75.90,113.85,0.00,2002,1
