w_warehouse_name,w_warehouse_sq_ft,w_city,w_county,w_state,w_country,ship_carriers,year,jan_sales,feb_sales,mar_sales,apr_sales,may_sales,jun_sales,jul_sales,aug_sales,sep_sales,oct_sales,nov_sales,dec_sales,jan_sales_per_sq_foot,feb_sales_per_sq_foot,mar_sales_per_sq_foot,apr_sales_per_sq_foot,may_sales_per_sq_foot,jun_sales_per_sq_foot,jul_sales_per_sq_foot,aug_sales_per_sq_foot,sep_sales_per_sq_foot,oct_sales_per_sq_foot,nov_sales_per_sq_foot,dec_sales_per_sq_foot,jan_net,feb_net,mar_net,apr_net,may_net,jun_net,jul_net,aug_net,sep_net,oct_net,nov_net,dec_net
null,null,Riverside,Luce County,MI,United States,ZHOU,MSC,2000,926926309.32,903401432.06,978500125.27,901380573.71,896388551.37,969600615.57,965056925.26,2174365784.14,2146414800.52,2199028597.48,3098117710.91,3312652303.87,null,null,null,null,null,null,null,null,null,null,null,null,709011057.58,609769996.04,694725325.36,638965858.02,642150979.86,680040030.01,667346218.58,1503953857.79,1501110770.22,1550290675.76,2191476308.25,2359806560.07
Bad cards must make.,621234,Oakland,Richland County,OH,United States,ZHOU,MSC,2000,945348017.24,909381877.71,959491811.95,930433511.26,918125535.69,931743258.76,975992853.58,2170302151.10,2107798850.97,2182497448.23,3126916503.02,3322388942.97,1521.726140616901,1463.831467224910,1544.493398542257,1497.718269219006,1477.906128270507,1499.826568990107,1571.055115431544,3493.534080716767,3392.922555703648,3513.164843247472,5033.395633561589,5348.047503790842,737769417.83,643892269.50,666669187.42,662785692.33,649240108.47,653901630.52,663453509.64,1549097511.85,1466850171.43,1532584548.10,2208053311.15,2337067969.76
Conventional childr,977787,Salem,Barrow County,GA,United States,ZHOU,MSC,2000,890747979.13,914460805.45,963223025.71,967337585.35,939758828.51,903906638.36,1011738096.43,2183228262.75,2151434042.80,2200945145.27,3194606873.53,3308383036.55,910.983659150715,935.235184605645,985.105166779677,989.313199449369,961.107918708267,924.441251888193,1034.722384762735,2232.826027294288,2200.309518126136,2250.945395336612,3267.180759746243,3383.541647158328,682900786.82,637244901.24,664737658.28,682942812.46,675337916.91,654635524.35,716166877.51,1533681989.80,1507199557.88,1542252276.57,2289703572.83,2367793972.92
Doors canno,294242,Bethel,Barrow County,GA,United States,ZHOU,MSC,2000,982615557.63,942692511.76,977039030.02,910142341.52,986341165.57,956247627.81,952077049.25,2214069362.25,2121818783.29,2133605561.94,3178120287.92,3347588656.91,3339.480963390679,3203.799973355266,3320.528782498760,3093.176166284895,3352.142677014159,3249.867890409935,3235.693916062289,7524.654407766396,7211.134995309983,7251.193106150720,10801.042298244303,11376.991241597053,747834800.07,662594116.57,687412165.00,653372534.38,679703374.59,673045507.41,691767243.08,1526388367.77,1530130266.02,1525834110.71,2284694376.22,2358835770.55
Friendly, suitable ,863277,New Hope,Barrow County,GA,United States,ZHOU,MSC,2000,947007303.07,873007233.25,925153441.51,883143002.57,948391596.32,932746106.88,981270097.17,2234738418.76,2094174628.59,2192329274.77,3203803289.75,3307418826.76,1096.991235802645,1011.271275905648,1071.676230815833,1023.012315363435,1098.594768909632,1080.471397801633,1136.680459655476,2588.669012101562,2425.843186590168,2539.543245991727,3711.211221600946,3831.237049938780,726354016.83,648006555.52,688406256.36,649233572.46,671324344.72,664913800.65,683053889.10,1558072600.70,1463791481.92,1520491931.03,2227101884.89,2355894309.29
Important dem,185634,Pleasant Hill,Daviess County,MO,United States,ZHOU,MSC,2000,955634307.72,902153550.59,933041943.85,930940706.53,988538519.20,931246136.72,950579404.27,2247320737.27,2060131055.92,2209720217.83,3101944912.56,3293579197.10,5147.948693235075,4859.850838693342,5026.244889675383,5014.925641477316,5325.201844489695,5016.570976868461,5120.718210403266,12106.191415742806,11097.811047114214,11903.639515552108,16710.004161737613,17742.327359750908,733941406.48,624898399.00,679682908.21,650656856.51,706625338.76,653904093.21,654536902.92,1544790095.57,1476384574.05,1574333247.65,2186574095.94,2270112344.67
Important issues liv,138504,Fairview,Franklin Parish,LA,United States,ZHOU,MSC,2000,961519626.12,889651523.49,961293909.12,950362096.55,947156244.23,982987547.62,964932554.64,2101350002.29,2122080208.55,2210222772.41,3268165002.64,3276155974.60,6942.179475827413,6423.291193683937,6940.549797262173,6861.622022107665,6838.475742433432,7097.178042655808,6966.820847340149,15171.764008909490,15321.436265739618,15957.826289565644,23596.177746779876,23653.872628949344,753364728.23,648996120.37,685038641.43,659206850.23,677616190.39,680419258.35,696721272.04,1483000569.98,1508096776.84,1545067572.66,2233204997.61,2305932779.01
Local, mass universi,838797,Bethel,Ziebach County,SD,United States,ZHOU,MSC,2000,973090499.06,930204494.18,934710964.73,926849920.54,976528621.26,931416068.96,957339694.28,2199979941.31,2170460396.56,2202566924.98,3201520641.50,3354491837.29,1160.102502822494,1108.974512522100,1114.347052659940,1104.975244951997,1164.201375612932,1110.418932065804,1141.324652186405,2622.779935204823,2587.587219029157,2625.864094625994,3816.800300311040,3999.170046256722,726630766.82,646469036.31,671734850.02,652878330.79,665010857.60,658646766.03,675630820.99,1549823504.85,1518105658.45,1564617273.84,2238965429.73,2355990027.26
National, comple,914242,Liberty,Barrow County,GA,United States,ZHOU,MSC,2000,1005953741.27,895262150.63,968507339.63,930165732.59,947311169.14,918463341.41,991669236.50,2164992432.61,2099551066.20,2202089299.30,3202224020.09,3331114044.94,1100.314513301730,979.239797154364,1059.355553157698,1017.417415290481,1036.171133179180,1004.617312932462,1084.690089166763,2368.073696690811,2296.493779765095,2408.650334703503,3502.599990035461,3643.580195331214,756999953.30,642370208.92,689295238.65,635351701.21,625963172.32,673118109.87,682816314.16,1530117482.98,1505765722.36,1542054159.31,2295827295.73,2370436423.19
New proceedings fo,926078,Union,Fairfield County,SC,United States,ZHOU,MSC,2000,955103761.76,888264119.43,936281376.84,941011558.94,957449313.34,905280520.67,952729490.64,2123404282.31,2124479354.24,2256971639.97,3252268094.22,3411242886.00,1031.342674979861,959.167715278842,1011.017837417583,1016.125595187446,1033.875454702520,977.542410758057,1028.778883247416,2292.900038992396,2294.060926012712,2437.129097084694,3511.872751776848,3683.537332708476,710434146.07,630832208.33,673861434.56,663999221.42,697904520.02,635803736.25,711065734.84,1468759547.22,1551643634.41,1556846689.10,2288484773.49,2374895021.56
