i_category,i_class,i_brand,i_product_name,d_year,d_qoy,d_moy,s_store_id,sumsales,rk
null,null,null,null,null,null,null,null,34377944.06,5
null,null,null,null,null,null,null,null,63579249.89,4
null,null,null,null,null,null,null,null,128848797.08,3
null,null,null,null,null,null,null,null,248127377.07,2
null,null,null,null,null,null,null,null,100416743000.94,1
null,null,null,null,2000,null,null,null,17404280.26,6
null,null,null,null,2000,3,null,null,3623107.68,24
null,null,null,null,2000,3,9,null,3623107.68,24
null,null,null,null,2000,4,null,null,13781172.58,8
null,null,null,null,2000,4,10,null,3521513.98,26
null,null,null,null,2000,4,11,null,5073443.69,14
null,null,null,null,2000,4,12,null,5186214.91,13
null,null,null,null,2001,null,null,null,16973663.80,7
null,null,null,null,2001,1,null,null,5571398.88,10
null,null,null,null,2001,1,1,null,2091372.55,47
null,null,null,null,2001,1,2,null,1642573.82,72
null,null,null,null,2001,1,3,null,1793036.51,66
null,null,null,null,2001,2,null,null,5517415.75,11
null,null,null,null,2001,2,4,null,1777836.09,69
null,null,null,null,2001,2,5,null,1820726.00,65
null,null,null,null,2001,2,6,null,1886408.74,63
null,null,null,null,2001,3,null,null,5884849.17,9
null,null,null,null,2001,3,7,null,1788303.75,68
null,null,null,null,2001,3,8,null,4096545.42,21
null,null,amalgedu pack #2,null,null,null,null,null,1741673.54,70
null,null,amalgimporto #2,null,null,null,null,null,2714818.56,36
null,null,amalgmaxi #2,null,null,null,null,null,1594761.25,80
null,null,amalgscholar #2,null,null,null,null,null,3106885.63,28
null,null,edu packamalg #2,null,null,null,null,null,2498377.97,41
null,null,edu packexporti #2,null,null,null,null,null,1969308.97,56
null,null,edu packimporto #2,null,null,null,null,null,1481039.40,87
null,null,exportiedu pack #2,null,null,null,null,null,2335251.48,45
null,null,exportiedu pack #2,null,null,null,null,null,2798685.53,35
null,null,exportiexporti #2,null,null,null,null,null,1442736.69,91
null,null,exportiexporti #2,null,null,null,null,null,1893539.48,62
null,null,exportiimporto #2,null,null,null,null,null,2035384.54,53
null,null,exportischolar #2,null,null,null,null,null,1394652.14,93
null,null,importoamalg #2,null,null,null,null,null,1378379.51,97
null,accessories,null,null,null,null,null,null,1790147.86,67
null,accessories,amalgimporto #2,null,null,null,null,null,1385959.02,94
null,archery,null,null,null,null,null,null,2044649.59,50
null,athletic,null,null,null,null,null,null,2576162.20,38
null,athletic,null,null,null,null,null,null,4172509.57,18
null,baseball,null,null,null,null,null,null,1529575.03,84
null,basketball,null,null,null,null,null,null,1504211.05,85
null,business,null,null,null,null,null,null,1616832.29,74
null,classical,null,null,null,null,null,null,2451066.20,42
null,classical,edu packscholar #2,null,null,null,null,null,1905463.92,61
null,computers,null,null,null,null,null,null,1473080.74,88
null,country,null,null,null,null,null,null,2597347.84,37
null,country,importoscholar #2,null,null,null,null,null,2086025.03,48
null,country,importoscholar #2,null,null,null,null,null,2086025.03,48
null,custom,null,null,null,null,null,null,1650442.02,71
null,diamonds,null,null,null,null,null,null,1924311.44,60
null,dresses,null,null,null,null,null,null,2036295.23,52
null,dresses,null,null,null,null,null,null,4957782.95,15
null,dresses,amalgamalg #2,null,null,null,null,null,2921487.72,33
null,earings,null,null,null,null,null,null,1600761.97,77
null,earings,null,null,null,null,null,null,1600761.97,77
null,earings,null,null,null,null,null,null,1600761.97,77
null,fragrances,null,null,null,null,null,null,1999008.25,55
null,fragrances,null,null,null,null,null,null,4131978.69,20
null,history,null,null,null,null,null,null,1463194.84,89
null,history,null,null,null,null,null,null,1463194.84,89
null,history,null,null,null,null,null,null,1962650.26,57
null,infants,null,null,null,null,null,null,2554989.28,39
null,infants,importoexporti #2,null,null,null,null,null,1545313.37,83
null,loose stones,null,null,null,null,null,null,2437734.13,43
null,memory,null,null,null,null,null,null,2038068.00,51
null,mens,null,null,null,null,null,null,1425451.34,92
null,mens,null,null,null,null,null,null,2512572.27,40
null,mens,null,null,null,null,null,null,4147610.43,19
null,mens,importoedu pack #2,null,null,null,null,null,1635038.16,73
null,newborn,null,null,null,null,null,null,2884774.45,34
null,newborn,null,null,null,null,null,null,4223854.70,17
null,pants,null,null,null,null,null,null,3908917.24,23
null,pants,exportiimporto #2,null,null,null,null,null,2017102.67,54
null,pants,exportiimporto #2,null,null,null,null,null,2954651.43,32
null,pendants,null,null,null,null,null,null,1928404.72,59
null,pop,null,null,null,null,null,null,1584808.04,81
null,reference,null,null,null,null,null,null,1820809.60,64
null,rock,null,null,null,null,null,null,1383153.84,95
null,rock,null,null,null,null,null,null,1383153.84,95
null,school-uniforms,null,null,null,null,null,null,1366460.47,98
null,school-uniforms,edu packexporti #2,null,null,null,null,null,1366460.47,98
null,school-uniforms,edu packexporti #2,null,null,null,null,null,1366460.47,98
null,shirts,null,null,null,null,null,null,1601225.29,75
null,shirts,null,null,null,null,null,null,1601225.29,75
null,shirts,null,null,null,null,null,null,3263791.81,27
null,sports-apparel,null,null,null,null,null,null,2165627.51,46
null,sports-apparel,null,null,null,null,null,null,3068664.57,30
null,swimwear,null,null,null,null,null,null,3080708.35,29
null,swimwear,null,null,null,null,null,null,5217268.57,12
null,toddlers,null,null,null,null,null,null,1567182.44,82
null,toddlers,null,null,null,null,null,null,3956460.80,22
null,toddlers,exportiexporti #2,null,null,null,null,null,2389278.36,44
null,womens,null,null,null,null,null,null,1486197.47,86
null,womens,null,null,null,null,null,null,4505219.92,16
null,womens,amalgedu pack #2,null,null,null,null,null,1950673.57,58
null,womens,amalgedu pack #2,null,null,null,null,null,3019022.45,31
