total_sum,s_state,s_county,lochierarchy,rank_within_parent
-43599876267.79,null,null,2,1
-3043143408.33,MO,null,1,1
-3494708264.87,GA,null,1,2
-4355480648.17,AL,null,1,3
-4788357591.77,MI,null,1,4
-4795832228.53,OH,null,1,5
-5450279966.78,TN,null,1,6
-5462091368.08,LA,null,1,7
-5885195343.62,SC,null,1,8
-6324787447.64,SD,null,1,9
-4355480648.17,AL,Walker County,0,1
-3494708264.87,GA,Barrow County,0,1
-5462091368.08,LA,Franklin Parish,0,1
-4788357591.77,MI,Luce County,0,1
-3043143408.33,MO,Daviess County,0,1
-4795832228.53,OH,Richland County,0,1
-217768251.00,SC,null,0,1
-5667427092.62,SC,Fairfield County,0,2
-6324787447.64,SD,Ziebach County,0,1
-5450279966.78,TN,Williamson County,0,1
