brand_id,brand,t_hour,t_minute,ext_price
3002002,importoexporti #2,19,14,74227.94
2003002,exportiimporto #2,19,21,68208.09
1001002,amalgamalg #2,17,51,60093.88
2003002,exportiimporto #2,17,28,58518.38
5001002,amalgscholar #2,18,32,55732.77
4002002,importoedu pack #2,19,9,55092.23
3002002,importoexporti #2,18,5,53972.07
1001002,amalgamalg #2,18,36,53661.30
2001002,amalgimporto #2,19,10,52660.20
4003002,exportiedu pack #2,18,46,52449.96
2003002,exportiimporto #2,9,26,52397.91
3002002,importoexporti #2,17,44,52007.65
4001002,amalgedu pack #2,17,58,50899.99
5003002,exportischolar #2,18,29,50684.58
4002002,importoedu pack #2,19,47,50650.08
1001002,amalgamalg #2,19,24,50097.71
1003002,exportiamalg #2,17,5,50043.19
2003002,exportiimporto #2,17,20,49771.02
2001002,amalgimporto #2,17,3,49452.35
3002002,importoexporti #2,18,48,49244.00
1001002,amalgamalg #2,9,33,49226.15
4004002,edu packedu pack #2,18,36,49124.15
2004002,edu packimporto #2,19,1,49029.01
3002002,importoexporti #2,17,43,48110.80
3002002,importoexporti #2,17,59,48055.55
1001002,amalgamalg #2,19,35,47418.27
1004002,edu packamalg #2,18,22,46813.13
2004002,edu packimporto #2,19,11,46077.01
4003002,exportiedu pack #2,19,32,45726.52
2001002,amalgimporto #2,17,49,45671.19
1001002,amalgamalg #2,19,14,45478.59
2001002,amalgimporto #2,17,26,45374.18
3002002,importoexporti #2,19,7,45342.60
1001002,amalgamalg #2,17,1,45298.79
4004002,edu packedu pack #2,17,46,45018.07
3001002,amalgexporti #2,17,58,44829.21
2001002,amalgimporto #2,18,50,44769.80
4004002,edu packedu pack #2,17,33,44663.74
4004002,edu packedu pack #2,18,59,44638.79
2001002,amalgimporto #2,18,23,44419.75
2001002,amalgimporto #2,17,45,44100.82
3001002,amalgexporti #2,18,27,44022.09
1001002,amalgamalg #2,17,31,44003.71
4003002,exportiedu pack #2,19,13,43926.56
3002002,importoexporti #2,18,45,43700.44
3004002,edu packexporti #2,19,59,43603.09
2001002,amalgimporto #2,18,21,43496.58
2001002,amalgimporto #2,9,30,43435.93
1004002,edu packamalg #2,17,22,43400.83
3002002,importoexporti #2,18,57,43187.81
3002002,importoexporti #2,19,37,42977.57
3002002,importoexporti #2,7,42,42527.31
1004002,edu packamalg #2,17,55,42423.87
2003002,exportiimporto #2,18,9,42386.90
2003002,exportiimporto #2,8,10,42249.56
1003002,exportiamalg #2,19,36,42191.94
1004002,edu packamalg #2,19,15,42150.06
2001002,amalgimporto #2,9,32,42133.01
1002002,importoamalg #2,9,25,42089.18
2003002,exportiimporto #2,18,41,41675.50
4004002,edu packedu pack #2,19,2,41526.65
1001002,amalgamalg #2,19,47,41347.05
2003002,exportiimporto #2,19,34,41214.57
1001002,amalgamalg #2,18,20,41110.71
2004002,edu packimporto #2,18,54,41043.42
3002002,importoexporti #2,19,17,41022.63
1001002,amalgamalg #2,9,6,41020.49
3001002,amalgexporti #2,9,50,41002.88
1001002,amalgamalg #2,17,43,41001.64
1001002,amalgamalg #2,17,25,40902.72
1001002,amalgamalg #2,19,13,40771.45
3004002,edu packexporti #2,19,16,40744.30
1001002,amalgamalg #2,18,28,40686.39
1002002,importoamalg #2,19,28,40565.04
5001002,amalgscholar #2,9,21,40553.78
2004002,edu packimporto #2,18,42,40389.36
2004002,edu packimporto #2,19,29,40364.56
2003002,exportiimporto #2,19,23,40289.17
1004002,edu packamalg #2,9,12,40179.05
4001002,amalgedu pack #2,18,24,40112.49
4004002,edu packedu pack #2,19,41,40026.01
3002002,importoexporti #2,17,42,39961.69
1001002,amalgamalg #2,17,15,39881.87
2001002,amalgimporto #2,18,17,39833.17
5001002,amalgscholar #2,17,46,39831.75
4002002,importoedu pack #2,19,34,39618.67
5002002,importoscholar #2,17,30,39613.46
3002002,importoexporti #2,9,51,39517.13
3002002,importoexporti #2,18,16,39450.45
1001002,amalgamalg #2,19,41,39402.28
1003002,exportiamalg #2,18,27,39391.45
1001002,amalgamalg #2,9,27,39317.98
1001002,amalgamalg #2,19,2,39298.18
2003002,exportiimporto #2,19,2,39293.70
1001002,amalgamalg #2,17,33,39141.66
5003002,exportischolar #2,19,1,39110.73
5002002,importoscholar #2,9,52,39064.96
1001002,amalgamalg #2,18,2,39022.48
2001002,amalgimporto #2,18,47,38983.54
3002002,importoexporti #2,9,9,38952.30
1001002,amalgamalg #2,19,20,38884.86
4004002,edu packedu pack #2,9,9,38828.60
2004002,edu packimporto #2,17,7,38762.74
5001002,amalgscholar #2,9,3,38685.45
1004002,edu packamalg #2,17,41,38665.53
1002002,importoamalg #2,18,1,38632.84
3003002,exportiexporti #2,19,50,38585.11
2001002,amalgimporto #2,9,13,38404.98
1002002,importoamalg #2,19,8,38206.31
2001002,amalgimporto #2,19,43,38107.28
5002002,importoscholar #2,17,47,37918.02
3002002,importoexporti #2,19,18,37747.51
5003002,exportischolar #2,17,11,37744.81
4004002,edu packedu pack #2,17,21,37693.34
3002002,importoexporti #2,17,38,37679.13
2001002,amalgimporto #2,17,23,37605.19
2004002,edu packimporto #2,19,35,37596.35
2003002,exportiimporto #2,19,28,37411.88
3002002,importoexporti #2,18,41,37327.68
4003002,exportiedu pack #2,17,7,37326.47
5001002,amalgscholar #2,17,6,37286.61
3004002,edu packexporti #2,17,21,37232.23
1003002,exportiamalg #2,19,54,37227.21
2004002,edu packimporto #2,17,8,37201.20
1001002,amalgamalg #2,18,3,37178.20
4003002,exportiedu pack #2,19,51,37116.13
1004002,edu packamalg #2,17,38,36980.00
3001002,amalgexporti #2,9,57,36975.08
3004002,edu packexporti #2,18,45,36970.47
1002002,importoamalg #2,18,35,36909.43
4004002,edu packedu pack #2,19,21,36844.65
2001002,amalgimporto #2,17,41,36820.63
1003002,exportiamalg #2,18,45,36766.52
4004002,edu packedu pack #2,19,42,36732.17
2001002,amalgimporto #2,17,14,36708.02
1003002,exportiamalg #2,17,22,36702.03
3002002,importoexporti #2,19,53,36646.67
1004002,edu packamalg #2,17,49,36639.22
4003002,exportiedu pack #2,18,45,36517.97
2001002,amalgimporto #2,17,8,36514.71
2004002,edu packimporto #2,9,51,36305.13
5002002,importoscholar #2,9,42,36208.81
2001002,amalgimporto #2,19,42,36195.90
3001002,amalgexporti #2,18,52,36136.16
2001002,amalgimporto #2,8,59,36136.09
3002002,importoexporti #2,17,48,36008.71
3002002,importoexporti #2,9,50,35994.81
2003002,exportiimporto #2,17,42,35935.29
3002002,importoexporti #2,19,33,35854.88
3001002,amalgexporti #2,17,15,35693.34
2003002,exportiimporto #2,8,28,35656.06
1003002,exportiamalg #2,17,14,35504.24
4004002,edu packedu pack #2,17,41,35328.00
2003002,exportiimporto #2,17,3,35309.84
4002002,importoedu pack #2,17,44,35248.77
4004002,edu packedu pack #2,18,18,35228.60
2003002,exportiimporto #2,17,23,35210.25
4004002,edu packedu pack #2,19,58,35187.80
4001002,amalgedu pack #2,17,39,35187.38
2004002,edu packimporto #2,19,46,35187.36
