i_item_desc,w_warehouse_name,d_week_seq,no_promo,promo,total_cnt
null,Doors canno,5253,0,11,11
null,Conventional childr,5269,0,10,10
null,Conventional childr,5270,0,10,10
null,null,5264,0,9,9
null,Important issues liv,5269,0,9,9
null,Quite effectiv,5264,0,9,9
null,null,5268,0,8,8
null,Friendly, suitable ,5262,0,8,8
null,Important dem,5265,0,8,8
null,Please central m,5266,0,8,8
null,Conventional childr,5266,0,7,7
null,Doors canno,5262,0,7,7
null,Friendly, suitable ,5252,0,7,7
null,Friendly, suitable ,5263,0,7,7
null,Friendly, suitable ,5270,0,7,7
null,Important dem,5267,0,7,7
null,New proceedings fo,5262,0,7,7
null,New proceedings fo,5263,0,7,7
null,New proceedings fo,5265,0,7,7
null,Please central m,5254,0,7,7
null,Please central m,5255,0,7,7
null,null,5259,0,6,6
null,null,5266,0,6,6
null,Bad cards must make.,5230,0,6,6
null,Bad cards must make.,5270,0,6,6
null,Conventional childr,5265,0,6,6
null,Doors canno,5259,0,6,6
null,Doors canno,5267,0,6,6
null,Important dem,5252,0,6,6
null,Important dem,5270,0,6,6
null,Important issues liv,5267,0,6,6
null,National, comple,5254,0,6,6
null,National, comple,5266,0,6,6
null,National, comple,5267,0,6,6
null,Plain, reluctant,5266,0,6,6
null,Plain, reluctant,5270,0,6,6
null,Please central m,5250,0,6,6
null,Rooms cook ,5257,0,6,6
null,null,5262,0,5,5
null,null,5267,0,5,5
null,null,5269,0,5,5
null,null,5270,0,5,5
null,Bad cards must make.,5250,0,5,5
null,Conventional childr,5253,0,5,5
null,Conventional childr,5267,0,5,5
null,Doors canno,5251,0,5,5
null,Doors canno,5261,0,5,5
null,Doors canno,5264,0,5,5
null,Doors canno,5268,0,5,5
null,Friendly, suitable ,5264,0,5,5
null,Friendly, suitable ,5265,0,5,5
null,Important issues liv,5252,0,5,5
null,Important issues liv,5262,0,5,5
null,Important issues liv,5268,0,5,5
null,Local, mass universi,5249,0,5,5
null,Local, mass universi,5268,0,5,5
null,National, comple,5255,0,5,5
null,National, comple,5261,0,5,5
null,National, comple,5262,0,5,5
null,National, comple,5270,0,5,5
null,New proceedings fo,5249,0,5,5
null,New proceedings fo,5256,0,5,5
null,New proceedings fo,5266,0,5,5
null,New proceedings fo,5267,0,5,5
null,New proceedings fo,5270,0,5,5
null,New, net purposes,5253,0,5,5
null,New, net purposes,5267,0,5,5
null,Plain, reluctant,5253,0,5,5
null,Plain, reluctant,5268,0,5,5
null,Please central m,5269,0,5,5
null,Quite effectiv,5249,0,5,5
null,Quite effectiv,5254,0,5,5
null,Quite effectiv,5267,0,5,5
null,Quite effectiv,5269,0,5,5
null,Rooms cook ,5226,0,5,5
null,Rooms cook ,5265,0,5,5
null,Rooms cook ,5266,0,5,5
Dead, crude degrees could say also significantly small things. Terms confirm,Doors canno,5263,0,5,5
Growin,null,5262,0,5,5
Immediate, blue doubts pay yet unique, soviet things; obvious, new investors might not take about now evident things. Productive, blue heads shall buy long formerly abstract f,Important issues liv,5267,0,5,5
Immediate, blue doubts pay yet unique, soviet things; obvious, new investors might not take about now evident things. Productive, blue heads shall buy long formerly abstract f,Plain, reluctant,5267,0,5,5
Major, insufficient obligations lead then. Pretty ready consequences ought to ,Local, mass universi,5264,0,5,5
Major, insufficient obligations lead then. Pretty ready consequences ought to ,Plain, reluctant,5264,0,5,5
O,National, comple,5256,0,5,5
Social rates feel along the blacks. Boys should provide ,Bad cards must make.,5267,0,5,5
null,null,5249,0,4,4
null,null,5252,0,4,4
null,null,5258,0,4,4
null,Bad cards must make.,5223,0,4,4
null,Bad cards must make.,5253,0,4,4
null,Bad cards must make.,5262,0,4,4
null,Bad cards must make.,5268,0,4,4
null,Bad cards must make.,5269,0,4,4
null,Conventional childr,5230,0,4,4
null,Conventional childr,5240,0,4,4
null,Conventional childr,5252,0,4,4
null,Conventional childr,5264,0,4,4
null,Conventional childr,5268,0,4,4
null,Doors canno,5248,0,4,4
null,Friendly, suitable ,5226,0,4,4
