channel,col_name,d_year,d_qoy,i_category,sales_cnt,sales_amt
catalog,cs_bill_addr_sk,1998,1,null,24,40347.46
catalog,cs_bill_addr_sk,1998,1,Books,971,1231610.60
catalog,cs_bill_addr_sk,1998,1,Children,1025,1503172.63
catalog,cs_bill_addr_sk,1998,1,Electronics,1007,1263328.33
catalog,cs_bill_addr_sk,1998,1,Home,956,1193833.19
catalog,cs_bill_addr_sk,1998,1,Jewelry,1024,1328965.42
catalog,cs_bill_addr_sk,1998,1,Men,1042,1352852.58
catalog,cs_bill_addr_sk,1998,1,Music,1076,1553376.81
catalog,cs_bill_addr_sk,1998,1,Shoes,968,1310505.42
catalog,cs_bill_addr_sk,1998,1,Sports,1036,1282775.78
catalog,cs_bill_addr_sk,1998,1,Women,987,1332994.67
catalog,cs_bill_addr_sk,1998,2,null,26,63952.88
catalog,cs_bill_addr_sk,1998,2,Books,1024,1259840.86
catalog,cs_bill_addr_sk,1998,2,Children,1034,1313156.19
catalog,cs_bill_addr_sk,1998,2,Electronics,997,1270379.71
catalog,cs_bill_addr_sk,1998,2,Home,1050,1513242.20
catalog,cs_bill_addr_sk,1998,2,Jewelry,1031,1266617.89
catalog,cs_bill_addr_sk,1998,2,Men,985,1249597.41
catalog,cs_bill_addr_sk,1998,2,Music,1010,1291872.32
catalog,cs_bill_addr_sk,1998,2,Shoes,1036,1310401.27
catalog,cs_bill_addr_sk,1998,2,Sports,1014,1234006.26
catalog,cs_bill_addr_sk,1998,2,Women,1025,1276811.90
catalog,cs_bill_addr_sk,1998,3,null,59,81520.09
catalog,cs_bill_addr_sk,1998,3,Books,1933,2520373.44
catalog,cs_bill_addr_sk,1998,3,Children,1940,2395437.25
catalog,cs_bill_addr_sk,1998,3,Electronics,1979,2615032.60
catalog,cs_bill_addr_sk,1998,3,Home,1912,2383028.96
catalog,cs_bill_addr_sk,1998,3,Jewelry,1978,2443675.29
catalog,cs_bill_addr_sk,1998,3,Men,1892,2473761.61
catalog,cs_bill_addr_sk,1998,3,Music,1921,2558276.56
catalog,cs_bill_addr_sk,1998,3,Shoes,1960,2412427.92
catalog,cs_bill_addr_sk,1998,3,Sports,1999,2579945.99
catalog,cs_bill_addr_sk,1998,3,Women,1857,2541689.50
catalog,cs_bill_addr_sk,1998,4,null,62,84229.84
catalog,cs_bill_addr_sk,1998,4,Books,3051,3708771.28
catalog,cs_bill_addr_sk,1998,4,Children,3122,4007731.25
catalog,cs_bill_addr_sk,1998,4,Electronics,3199,4160760.08
catalog,cs_bill_addr_sk,1998,4,Home,3165,3816773.89
catalog,cs_bill_addr_sk,1998,4,Jewelry,3058,3973253.32
catalog,cs_bill_addr_sk,1998,4,Men,3104,4086013.17
catalog,cs_bill_addr_sk,1998,4,Music,3103,3954460.03
catalog,cs_bill_addr_sk,1998,4,Shoes,3214,4246440.71
catalog,cs_bill_addr_sk,1998,4,Sports,3259,3932304.83
catalog,cs_bill_addr_sk,1998,4,Women,3141,3987053.97
catalog,cs_bill_addr_sk,1999,1,null,29,6453.29
catalog,cs_bill_addr_sk,1999,1,Books,1009,1307773.48
catalog,cs_bill_addr_sk,1999,1,Children,986,1317737.60
catalog,cs_bill_addr_sk,1999,1,Electronics,986,1335969.50
catalog,cs_bill_addr_sk,1999,1,Home,1056,1300395.70
catalog,cs_bill_addr_sk,1999,1,Jewelry,995,1362640.79
catalog,cs_bill_addr_sk,1999,1,Men,977,1268067.67
catalog,cs_bill_addr_sk,1999,1,Music,996,1267543.96
catalog,cs_bill_addr_sk,1999,1,Shoes,1036,1181152.42
