ss_customer_sk,ratio,store_qty,store_wholesale_cost,store_sales_price,other_chan_qty,other_chan_wholesale_cost,other_chan_sales_price
171,6.29,44,76.61,20.82,7,84.68,22.55
181,1.0,8,69.16,34.61,8,69.41,12.11
322,2.02,91,87.15,47.10,45,34.43,40.42
417,4.29,73,64.79,96.15,17,2.45,2.33
564,1.66,68,78.83,44.88,41,57.52,33.63
652,1.23,96,38.34,46.77,78,2.95,1.95
764,8.4,42,62.06,9.42,5,2.56,3.89
975,1.69,59,61.33,19.74,35,70.31,173.91
981,1.15,78,97.24,2.48,68,95.77,5.93
1024,0.66,63,23.09,3.15,95,99.22,144.06
1295,1.84,35,97.01,117.86,19,60.05,48.99
1353,0.62,34,64.39,28.47,55,37.66,15.96
1361,0.82,82,45.63,57.18,100,88.01,176.49
1766,0.69,25,15.20,3.69,36,73.57,147.57
1884,0.44,8,70.18,107.52,18,26.87,31.85
2166,1.35,73,62.29,70.02,54,76.30,180.55
2478,10.0,60,14.87,17.08,6,33.45,0.74
2639,null,null,null,null,35,21.65,8.89
2788,1.06,56,26.77,2.40,53,50.93,3.20
3175,1.47,87,63.64,50.40,59,67.31,148.08
3503,null,null,null,null,78,14.76,5.34
3507,0.73,69,93.01,123.88,94,73.42,84.49
4392,0.01,1,53.27,20.02,100,83.98,0.00
4476,0.01,1,30.65,0.84,97,61.86,132.75
4534,0.63,52,84.72,27.21,83,80.42,118.98
4907,1.41,96,77.78,81.62,68,44.70,42.43
5393,0.41,20,96.30,29.04,49,71.62,117.65
5397,0.53,42,69.44,88.59,79,64.09,55.26
5849,1.45,81,49.09,26.05,56,99.46,113.76
6383,9.63,77,2.31,1.74,8,79.53,83.87
6621,4.82,82,87.99,66.96,17,96.34,25.31
6744,0.59,45,85.44,71.12,76,22.93,2.06
6925,2.88,69,null,7.07,24,85.50,136.80
6949,6.0,54,41.83,3.78,9,91.75,136.92
7314,0.22,15,55.32,3.38,69,50.68,63.76
7332,1.11,63,76.73,35.19,57,21.57,43.96
7437,1.38,65,17.60,20.84,47,89.78,162.53
7624,0.62,53,21.15,31.72,86,38.49,43.39
7948,2.57,36,37.02,19.63,14,18.37,18.83
8060,0.34,17,21.13,2.18,50,61.24,24.77
8106,1.15,45,56.37,33.70,39,76.49,104.02
8471,0.98,52,31.13,2.44,53,17.81,11.39
8483,0.8,32,70.98,112.38,40,13.07,20.28
8683,0.67,52,51.00,76.65,78,43.47,44.12
8874,0.22,16,19.71,7.18,72,3.23,8.73
9093,0.36,4,15.49,5.73,11,95.31,103.69
9137,1.4,21,34.61,0.00,15,27.98,38.11
9399,0.07,7,67.94,44.13,94,80.33,21.36
10203,0.73,60,39.89,26.22,82,4.89,4.88
11530,1.5,66,32.19,20.87,44,77.74,55.97
11576,0.18,10,65.31,11.46,57,87.00,79.86
11668,6.88,55,84.67,71.12,8,80.14,23.84
11785,1.01,73,89.53,110.75,72,11.61,15.39
11850,0.06,6,11.68,2.24,95,8.67,21.76
12123,1.9,55,5.47,0.24,29,70.83,61.70
12273,1.0,24,45.29,23.24,24,19.64,23.27
12381,1.63,44,48.86,31.70,27,94.72,138.21
12414,0.63,5,60.74,21.38,8,57.54,53.96
12549,5.2,52,93.28,14.46,10,54.43,36.46
12769,0.75,27,28.64,16.42,36,81.90,14.21
13006,2.3,92,97.63,78.74,40,56.76,114.24
13417,0.16,15,63.50,11.58,91,80.16,25.33
13449,0.94,48,94.02,47.97,51,16.51,14.37
13488,1.03,74,79.60,39.54,72,92.67,125.00
13926,2.81,90,25.41,28.57,32,21.67,16.90
14306,2.29,32,79.74,84.53,14,46.88,54.11
14331,1.44,85,63.69,29.81,59,3.44,6.81
14440,1.23,74,88.37,70.28,60,37.90,62.53
14918,0.08,4,67.92,78.97,49,21.26,26.87
14952,0.52,42,14.21,4.71,81,16.80,18.44
15042,1.32,79,97.88,30.53,60,83.71,28.51
15084,0.34,10,34.46,2.60,29,63.54,20.45
15389,0.58,54,89.59,75.72,93,63.23,171.78
16298,0.47,44,82.59,99.87,94,60.32,11.49
16299,0.71,69,9.29,9.27,97,18.95,49.31
16340,94.0,94,77.28,24.31,1,61.06,116.05
16571,7.15,93,99.82,47.88,13,82.39,101.06
16618,0.53,46,49.23,17.39,87,73.07,33.40
16728,1.54,83,56.94,67.91,54,10.61,5.26
16730,0.83,53,82.43,28.50,64,20.42,34.75
16858,0.69,54,38.19,33.19,78,9.94,2.79
17036,4.43,31,51.43,66.64,7,63.38,15.15
17369,0.82,82,36.87,1.43,100,66.35,97.50
17667,0.16,13,52.62,48.66,82,88.91,133.12
17824,1.34,83,93.17,112.32,62,71.16,52.51
18146,0.15,13,2.14,1.14,87,94.61,1.88
18558,16.5,33,96.84,124.00,2,77.71,93.95
18727,15.75,63,78.44,137.65,4,7.02,1.38
18854,0.46,11,96.70,76.93,24,86.82,43.33
19346,1.38,29,29.46,11.02,21,65.45,18.14
19640,0.71,35,8.65,7.21,49,42.16,103.36
20045,1.97,57,13.03,15.23,29,48.89,15.44
20057,3.15,63,41.49,32.10,20,10.43,2.49
20221,1.44,95,42.12,71.71,66,18.84,0.34
20491,0.71,15,20.89,11.95,21,91.39,33.39
20981,0.13,13,62.63,64.25,98,25.48,40.22
20998,0.9,52,93.23,13.94,58,71.45,72.96
21092,0.06,2,83.73,0.00,31,28.09,1.46
21658,0.09,4,1.92,2.37,47,27.13,16.04
21830,0.65,57,98.64,61.54,88,38.56,22.36
