total_sum,i_category,i_class,lochierarchy,rank_within_parent
32942514177.02,null,null,2,1
3332717883.08,Sports,null,1,1
3295124239.72,Children,null,1,2
3293034669.98,Music,null,1,3
3292111696.47,Electronics,null,1,4
3287495508.33,Women,null,1,5
3281394016.12,Books,null,1,6
3277926214.39,Shoes,null,1,7
3274326525.23,Home,null,1,8
3268761544.09,Jewelry,null,1,9
3257970162.36,Men,null,1,10
81651717.25,null,null,1,11
42252341.91,null,null,0,1
1818781.96,null,dresses,0,2
1724469.42,null,swimwear,0,3
1597705.49,null,womens,0,4
1448090.39,null,athletic,0,5
1422951.56,null,newborn,0,6
1395445.41,null,fragrances,0,7
1316213.44,null,toddlers,0,8
1257852.51,null,pants,0,9
1228405.60,null,mens,0,10
1005756.33,null,shirts,0,11
854849.07,null,classical,0,12
854658.62,null,country,0,13
845445.35,null,sports-apparel,0,14
836108.90,null,history,0,15
749416.75,null,memory,0,16
725307.27,null,loose stones,0,17
722636.42,null,pendants,0,18
686017.81,null,infants,0,19
653494.93,null,archery,0,20
645411.40,null,baseball,0,21
639190.07,null,rock,0,22
634451.42,null,business,0,23
609385.10,null,basketball,0,24
605946.64,null,diamonds,0,25
588800.87,null,earings,0,26
550623.73,null,accessories,0,27
547163.09,null,reference,0,28
498825.22,null,custom,0,29
484086.60,null,pop,0,30
406993.04,null,school-uniforms,0,31
391040.35,null,televisions,0,32
382518.20,null,glassware,0,33
379150.01,null,fitness,0,34
378797.15,null,entertainments,0,35
376321.36,null,curtains/drapes,0,36
373589.26,null,bracelets,0,37
360148.37,null,womens watch,0,38
355739.71,null,accent,0,39
342140.38,null,computers,0,40
336720.16,null,self-help,0,41
335092.56,null,disk drives,0,42
333794.54,null,wallpaper,0,43
332112.62,null,dvd/vcr players,0,44
330540.75,null,monitors,0,45
322235.17,null,tables,0,46
319193.66,null,camping,0,47
313402.43,null,guns,0,48
303094.72,null,estate,0,49
299747.50,null,lighting,0,50
297389.84,null,outdoor,0,51
296342.65,null,science,0,52
285688.84,null,semi-precious,0,53
282030.66,null,maternity,0,54
274704.35,null,mystery,0,55
273826.91,null,travel,0,56
272310.76,null,decor,0,57
269128.72,null,musical,0,58
264667.98,null,stereo,0,59
261320.84,null,tennis,0,60
261134.50,null,flatware,0,61
256523.68,null,scanners,0,62
255961.10,null,rugs,0,63
249957.90,null,mens watch,0,64
248633.78,null,kids,0,65
243075.50,null,portable,0,66
229973.44,null,athletic shoes,0,67
197323.99,null,arts,0,68
185000.43,null,romance,0,69
109087.98,null,camcorders,0,70
107410.28,null,birdal,0,71
89799.65,null,parenting,0,72
75712.90,null,optics,0,73
74000.56,null,golf,0,74
64698.18,null,karoke,0,75
53806.61,null,fishing,0,76
215792960.29,Books,history,0,1
213786909.07,Books,fiction,0,2
212249377.93,Books,entertainments,0,3
211104945.79,Books,reference,0,4
207561036.83,Books,sports,0,5
207239596.66,Books,travel,0,6
207186373.99,Books,home repair,0,7
205536372.85,Books,romance,0,8
204347070.65,Books,cooking,0,9
204114253.39,Books,parenting,0,10
202106233.14,Books,self-help,0,11
201594922.07,Books,arts,0,12
