Call_Center,Call_Center_Name,Manager,Returns_Loss
AAAAAAAADBAAAAAA,Pacific Northwest_1,Roderick Walls,34774.42
AAAAAAAAMBAAAAAA,North Midwest_2,Andrew West,30598.14
AAAAAAAAKBAAAAAA,Mid Atlantic_2,Dion Speer,29876.99
AAAAAAAANAAAAAAA,NY Metro_1,Jack Little,29542.39
AAAAAAAAJBAAAAAA,NY Metro_2,Richard James,28096.64
AAAAAAAAKAAAAAAA,Hawaii/Alaska,Ronnie Trinidad,27755.41
AAAAAAAAEAAAAAAA,North Midwest,Larry Mccray,22199.46
AAAAAAAABAAAAAAA,NY Metro,Bob Belcher,20741.38
AAAAAAAABAAAAAAA,NY Metro,Bob Belcher,20300.15
AAAAAAAAEBAAAAAA,California_1,Jason Brito,19593.09
AAAAAAAAHAAAAAAA,Pacific Northwest,Alden Snyder,19036.10
AAAAAAAAEAAAAAAA,North Midwest,Larry Mccray,18531.38
AAAAAAAADBAAAAAA,Pacific Northwest_1,Roderick Walls,18486.65
AAAAAAAAIAAAAAAA,California,Wayne Ray,17831.22
AAAAAAAAGBAAAAAA,Hawaii/Alaska_1,Travis Wilson,17161.03
AAAAAAAAKAAAAAAA,Hawaii/Alaska,Ronnie Trinidad,15616.22
AAAAAAAAKBAAAAAA,Mid Atlantic_2,Dion Speer,15478.83
AAAAAAAANAAAAAAA,NY Metro_1,Jack Little,15126.88
AAAAAAAAGBAAAAAA,Hawaii/Alaska_1,Travis Wilson,14974.37
AAAAAAAAIAAAAAAA,California,Wayne Ray,14797.37
AAAAAAAAMBAAAAAA,North Midwest_2,Andrew West,13494.17
AAAAAAAACAAAAAAA,Mid Atlantic,Mark Hightower,12912.15
AAAAAAAAABAAAAAA,North Midwest_1,Miguel Bird,12387.64
AAAAAAAAABAAAAAA,North Midwest_1,Miguel Bird,12192.21
AAAAAAAAJBAAAAAA,NY Metro_2,Richard James,11986.82
AAAAAAAAHAAAAAAA,Pacific Northwest,Alden Snyder,10986.81
AAAAAAAAOAAAAAAA,Mid Atlantic_1,Charles Hinkle,9744.39
AAAAAAAAOAAAAAAA,Mid Atlantic_1,Charles Hinkle,8735.50
AAAAAAAACAAAAAAA,Mid Atlantic,Mark Hightower,8066.08
AAAAAAAAEBAAAAAA,California_1,Jason Brito,7961.06
